id,purchase_order_id,product_variant_id,quantity_ordered,unit_cost,line_total
145,48,521,29,1208.52,35047.08
146,48,888,28,380.58,10656.24
147,48,380,42,606.22,25461.24
148,49,8,16,394.05,6304.80
149,49,982,22,448.13,9858.86
150,49,150,48,1989.56,95498.88
151,49,629,19,659.77,12535.63
152,50,278,12,1036.64,12439.68
153,50,685,29,396.21,11490.09
154,50,300,4,545.10,2180.40
155,50,89,48,470.51,22584.48
156,51,191,5,306.29,1531.45
157,51,437,17,378.26,6430.42
158,51,769,44,54.69,2406.36
159,51,960,46,2021.76,93000.96
160,52,143,46,563.71,25930.66
161,53,808,40,230.36,9214.40
162,53,125,10,1721.59,17215.90
163,53,834,27,72.83,1966.41
164,53,858,7,1190.45,8333.15
165,53,591,11,1443.62,15879.82
166,54,721,49,1152.81,56487.69
167,54,816,47,1617.13,76005.11
168,54,563,48,436.98,20975.04
169,55,205,17,1380.56,23469.52
170,55,766,7,1947.24,13630.68
171,55,418,5,752.12,3760.60
172,55,30,11,660.53,7265.83
173,55,356,50,252.72,12636.00
174,56,455,25,1182.17,29554.25
175,56,24,2,1493.14,2986.28
176,57,544,45,1080.24,48610.80
177,57,211,22,1184.00,26048.00
178,57,579,26,1068.20,27773.20
179,58,833,25,29.64,741.00
180,58,878,16,1128.57,18057.12
181,59,357,38,164.92,6266.96
182,59,1001,35,1053.17,36860.95
183,60,615,41,1356.59,55620.19
184,61,120,15,864.58,12968.70
185,62,323,1,1619.93,1619.93
186,63,324,8,262.18,2097.44
187,63,630,48,940.18,45128.64
188,63,363,39,342.39,13353.21
189,63,711,34,544.24,18504.16
190,63,13,41,657.35,26951.35
191,64,261,13,1263.68,16427.84
192,64,169,9,1399.92,12599.28
193,65,503,8,1235.56,9884.48
194,66,927,29,1280.34,37129.86
195,67,554,23,624.50,14363.50
196,67,688,9,1683.95,15155.55
197,68,800,12,82.82,993.84
198,68,20,16,1724.31,27588.96
199,68,797,23,60.31,1387.13
200,68,64,44,1490.26,65571.44
201,68,146,28,1002.58,28072.24
202,69,171,13,1370.20,17812.60
203,69,957,24,968.33,23239.92
204,69,18,16,596.15,9538.40
205,69,22,36,827.20,29779.20
206,70,545,22,296.43,6521.46
207,71,145,50,1410.86,70543.00
208,71,1,17,1339.11,22764.87
209,72,907,23,1926.17,44301.91
210,72,445,37,1786.90,66115.30
211,73,521,2,1153.08,2306.16
212,73,865,44,795.56,35004.64
213,73,190,30,113.24,3397.20
214,74,268,38,1195.14,45415.32
215,74,3,47,26.88,1263.36
216,74,603,41,1321.55,54183.55
217,74,694,5,796.42,3982.10
218,74,659,27,831.20,22442.40
219,75,962,32,1623.53,51952.96
220,75,135,14,630.21,8822.94
221,75,861,50,476.67,23833.50
222,75,570,43,1235.86,53141.98
223,76,648,18,1327.45,23894.10
224,76,644,42,1372.43,57642.06
225,76,515,43,677.55,29134.65
226,76,243,38,219.62,8345.56
227,77,553,45,1395.89,62815.05
228,77,684,43,554.39,23838.77
229,77,49,27,1458.57,39381.39
230,78,454,19,1352.99,25706.81
231,79,568,39,320.62,12504.18
232,79,434,28,64.24,1798.72
233,80,376,46,614.76,28278.96
234,81,608,40,896.73,35869.20
235,81,487,13,1360.97,17692.61
236,81,80,20,39.77,795.40
237,82,773,2,739.87,1479.74
238,82,933,19,707.96,13451.24
239,83,682,23,1958.49,45045.27
240,83,68,3,228.98,686.94
241,83,946,28,1639.31,45900.68
242,83,227,27,2062.61,55690.47
243,84,815,18,1249.83,22496.94
244,84,722,28,404.27,11319.56
245,84,33,36,311.75,11223.00
246,85,819,36,1096.59,39477.24
247,85,61,25,1525.05,38126.25
248,86,714,15,632.48,9487.20
249,87,114,26,349.58,9089.08
250,87,476,30,1475.77,44273.10
251,88,962,24,1757.43,42178.32
252,88,712,49,1009.36,49458.64
253,88,20,45,1773.58,79811.10
254,88,569,7,131.44,920.08
255,88,972,12,446.84,5362.08
256,89,628,6,1805.20,10831.20
257,90,239,22,331.86,7300.92
258,90,15,7,373.29,2613.03
259,91,497,9,227.91,2051.19
260,91,962,49,1790.90,87754.10
261,91,45,22,1917.09,42175.98
262,91,125,33,1906.71,62921.43
263,92,477,27,2008.86,54239.22
264,93,420,10,1126.43,11264.30
265,93,469,20,1090.31,21806.20
266,93,290,48,649.76,31188.48
267,93,483,44,1489.22,65525.68
268,94,986,37,187.37,6932.69
269,94,343,29,530.47,15383.63
270,94,798,14,1530.08,21421.12
271,94,416,39,571.37,22283.43
272,94,707,37,192.36,7117.32
273,95,899,10,1748.58,17485.80
274,95,512,31,170.06,5271.86
275,95,702,16,1216.95,19471.20
276,95,293,44,1448.70,63742.80
277,96,662,7,1053.93,7377.51
278,96,952,48,157.20,7545.60
279,96,873,5,508.46,2542.30
280,96,970,2,1822.02,3644.04
281,96,586,43,1635.50,70326.50
282,97,989,36,1511.79,54424.44
283,97,792,32,255.94,8190.08
284,98,244,27,1952.26,52711.02
285,98,499,21,1279.84,26876.64
286,98,763,11,958.51,10543.61
287,98,738,13,370.04,4810.52
288,98,343,46,490.43,22559.78
289,99,667,41,874.88,35870.08
290,100,993,34,1250.04,42501.36
291,100,667,20,892.21,17844.20
292,101,691,18,1435.61,25840.98
293,101,358,40,171.86,6874.40
294,101,709,1,711.01,711.01
295,101,509,13,1898.83,24684.79
296,102,23,40,719.68,28787.20
297,102,167,12,281.65,3379.80
298,102,668,20,432.18,8643.60
299,103,247,35,1703.73,59630.55
300,103,965,15,679.78,10196.70
301,103,357,7,147.48,1032.36
302,103,842,18,639.30,11507.40
303,103,416,40,634.16,25366.40
304,104,603,49,1153.35,56514.15
305,104,207,33,1949.63,64337.79
306,105,666,14,1460.29,20444.06
307,105,999,18,2023.29,36419.22
308,105,523,45,1736.64,78148.80
309,105,1001,21,1096.15,23019.15
310,106,941,19,1157.08,21984.52
311,106,122,22,450.90,9919.80
312,106,270,43,64.38,2768.34
313,106,752,3,1265.34,3796.02
314,106,226,48,753.87,36185.76
315,107,653,21,997.08,20938.68
316,107,316,4,1922.80,7691.20
317,107,988,34,58.10,1975.40
318,108,82,26,1295.61,33685.86
319,108,430,34,240.15,8165.10
320,108,523,7,1887.65,13213.55
321,108,405,37,1519.04,56204.48
322,109,921,38,1436.88,54601.44
323,110,589,2,972.07,1944.14
324,110,921,5,1575.93,7879.65
325,110,743,1,1667.93,1667.93
326,110,808,8,230.36,1842.88
327,110,791,19,1707.88,32449.72
328,111,94,47,1414.47,66480.09
329,111,960,44,1863.19,81980.36
330,111,597,27,1078.97,29132.19
331,111,286,11,1035.28,11388.08
332,111,502,44,753.55,33156.20
333,112,463,49,1181.66,57901.34
334,112,957,31,947.28,29365.68
335,113,128,24,938.84,22532.16
336,113,341,24,166.21,3989.04
337,113,72,30,1537.02,46110.60
338,113,48,20,791.07,15821.40
339,114,242,38,338.03,12845.14
340,114,530,10,609.72,6097.20
341,114,943,6,1182.92,7097.52
342,114,649,38,1593.07,60536.66
343,114,144,2,2008.86,4017.72
344,115,80,14,45.63,638.82
345,115,369,49,1848.41,90572.09
346,115,723,10,778.03,7780.30
347,116,943,15,1182.92,17743.80
348,116,907,49,1985.74,97301.26
349,117,880,23,554.22,12747.06
350,117,648,12,1465.73,17588.76
351,117,787,41,154.67,6341.47
352,117,341,32,184.27,5896.64
353,118,373,7,1341.56,9390.92
354,118,607,43,1171.68,50382.24
355,118,155,2,27.02,54.04
356,119,58,26,538.49,14000.74
357,119,1005,40,1042.35,41694.00
358,119,118,33,444.80,14678.40
359,119,203,21,710.84,14927.64
360,120,846,20,920.68,18413.60
361,120,303,8,1295.95,10367.60
362,121,599,9,1007.93,9071.37
363,122,258,11,1694.75,18642.25
364,122,806,1,673.34,673.34
365,122,833,44,26.62,1171.28
366,122,935,4,166.83,667.32
367,122,739,25,1190.91,29772.75
368,123,431,41,2161.54,88623.14
369,123,938,7,298.01,2086.07
370,123,947,43,990.19,42578.17
371,124,941,11,1217.98,13397.78
372,124,980,41,1872.43,76769.63
373,124,675,15,1776.76,26651.40
374,124,257,5,44.98,224.90
375,125,424,9,37.09,333.81
376,125,996,32,950.12,30403.84
377,126,322,47,1809.57,85049.79
378,127,679,50,1315.25,65762.50
379,128,866,34,361.07,12276.38
380,128,516,13,239.22,3109.86
381,128,776,6,1522.91,9137.46
382,128,573,24,353.49,8483.76
383,129,200,48,1533.53,73609.44
384,129,908,47,1248.75,58691.25
385,129,70,47,62.91,2956.77
386,129,542,39,187.74,7321.86
387,129,17,47,689.78,32419.66
388,130,895,35,1897.96,66428.60
389,130,1007,16,1602.44,25639.04
390,130,426,45,734.27,33042.15
391,130,352,31,1196.95,37105.45
392,131,475,5,1495.13,7475.65
393,131,92,38,1103.39,41928.82
394,131,558,12,1333.51,16002.12
395,131,313,8,1482.80,11862.40
396,132,633,27,696.98,18818.46
397,132,978,2,1657.06,3314.12
398,132,38,46,1566.75,72070.50
399,132,986,32,185.47,5935.04
400,132,596,2,1421.69,2843.38
401,133,240,32,1090.05,34881.60
402,133,68,24,215.10,5162.40
403,133,608,20,1020.75,20415.00
404,133,893,33,1700.23,56107.59
405,134,497,16,245.78,3932.48
406,135,79,3,445.53,1336.59
407,135,622,21,721.88,15159.48
408,135,630,44,1105.48,48641.12
409,135,813,2,1774.87,3549.74
410,136,627,9,474.63,4271.67
411,136,233,35,1305.29,45685.15
412,136,840,9,2084.19,18757.71
413,136,266,50,1732.71,86635.50
414,136,951,50,2022.82,101141.00
415,137,747,10,1528.77,15287.70
416,137,893,31,1999.18,61974.58
417,137,80,42,43.12,1811.04
418,137,270,21,55.60,1167.60
419,137,65,25,1002.53,25063.25
420,138,732,4,982.35,3929.40
421,138,793,8,786.08,6288.64
422,138,260,18,1057.13,19028.34
423,138,876,12,452.82,5433.84
424,139,888,29,384.28,11144.12
425,139,265,41,1770.08,72573.28
426,140,919,25,558.96,13974.00
427,140,610,23,879.85,20236.55
428,140,1005,6,962.93,5777.58
429,140,407,38,1146.14,43553.32
430,140,683,13,1750.37,22754.81
431,141,45,14,1880.23,26323.22
432,141,148,5,651.70,3258.50
433,141,557,1,1201.86,1201.86
434,142,551,9,1672.49,15052.41
435,143,59,28,1552.06,43457.68
436,143,58,4,448.74,1794.96
437,143,447,49,1123.76,55064.24
438,143,589,50,883.70,44185.00
439,144,16,39,1342.07,52340.73
440,144,838,35,1389.26,48624.10
441,145,148,48,589.64,28302.72
442,145,274,29,1321.23,38315.67
443,145,189,17,1210.72,20582.24
444,145,343,38,460.40,17495.20
445,145,946,11,1702.36,18725.96
446,146,285,22,264.66,5822.52
447,146,473,33,678.45,22388.85
448,147,467,32,448.49,14351.68
449,147,527,50,793.90,39695.00
450,147,724,42,1425.05,59852.10
451,147,939,8,943.54,7548.32
452,148,609,32,920.03,29440.96
453,148,714,19,744.92,14153.48
454,149,574,38,1484.49,56410.62
455,149,336,46,2051.36,94362.56
456,150,761,32,1530.46,48974.72
457,151,475,32,1610.14,51524.48
458,151,517,13,567.90,7382.70
459,152,431,3,2004.34,6013.02
460,152,838,16,1376.39,22022.24
461,152,333,1,648.90,648.90
462,152,313,24,1467.19,35212.56
463,152,366,29,1263.02,36627.58
464,153,746,6,958.13,5748.78
465,153,890,2,452.46,904.92
466,153,400,32,1402.79,44889.28
467,154,675,23,1863.85,42868.55
468,155,566,24,149.57,3589.68
469,155,28,43,1057.35,45466.05
470,155,102,20,247.41,4948.20
471,156,824,26,353.30,9185.80
472,156,33,23,301.80,6941.40
473,157,456,32,604.14,19332.48
474,157,51,9,546.56,4919.04
475,157,130,19,386.15,7336.85
476,158,956,24,1083.41,26001.84
477,158,366,39,1287.54,50214.06
478,158,512,32,174.92,5597.44
479,158,733,50,1138.54,56927.00
480,159,72,47,1356.19,63740.93
481,159,879,13,1899.33,24691.29
482,160,411,37,1883.25,69680.25
483,161,852,23,1207.38,27769.74
484,161,151,25,843.69,21092.25
485,162,927,27,1293.96,34936.92
486,162,136,6,720.85,4325.10
487,163,956,11,1214.37,13358.07
488,163,465,38,1040.39,39534.82
489,163,772,16,1677.00,26832.00
490,163,405,33,1819.50,60043.50
491,164,465,3,998.36,2995.08
492,164,323,38,1856.17,70534.46
493,165,294,3,1965.77,5897.31
494,165,490,34,1309.92,44537.28
495,165,893,27,1774.97,47924.19
496,166,705,13,846.47,11004.11
497,166,360,19,787.11,14955.09
498,166,889,40,1432.92,57316.80
499,166,179,41,653.58,26796.78
500,167,167,49,263.40,12906.60
501,167,733,5,1208.25,6041.25
502,167,151,14,879.59,12314.26
503,167,789,21,381.97,8021.37
504,168,895,18,1699.13,30584.34
505,168,224,35,1668.82,58408.70
506,169,426,25,639.09,15977.25
507,169,910,44,1955.81,86055.64
508,169,649,24,1663.10,39914.40
509,169,880,22,655.53,14421.66
510,170,183,12,428.87,5146.44
511,170,735,45,298.50,13432.50
512,170,508,29,1312.72,38068.88
513,170,886,22,1755.59,38622.98
514,170,999,32,2101.87,67259.84
515,171,113,47,24.87,1168.89
516,171,239,38,319.68,12147.84
517,172,501,20,2049.42,40988.40
518,172,759,29,777.70,22553.30
519,172,998,14,2126.70,29773.80
520,173,667,41,944.18,38711.38
521,173,773,21,638.05,13399.05
522,174,320,30,1180.80,35424.00
523,174,571,9,1743.11,15687.99
524,174,953,13,1833.27,23832.51
525,174,502,41,830.44,34048.04
526,174,203,20,710.84,14216.80
527,175,35,12,822.96,9875.52
528,175,666,10,1460.29,14602.90
529,175,675,5,1724.50,8622.50
530,175,930,25,1593.78,39844.50
531,176,634,10,1393.39,13933.90
532,177,991,37,1595.81,59044.97
533,178,879,16,2099.25,33588.00
534,179,410,31,185.09,5737.79
535,180,2,50,497.45,24872.50
536,180,508,27,1384.06,37369.62
537,181,315,16,1568.28,25092.48
538,181,131,22,587.11,12916.42
539,181,730,2,256.59,513.18
540,181,345,23,2072.13,47658.99
541,182,242,13,312.03,4056.39
542,183,358,11,160.82,1769.02
543,183,311,3,1858.43,5575.29
544,184,289,10,1647.31,16473.10
545,185,461,45,736.18,33128.10
546,185,524,38,1641.00,62358.00
547,185,360,2,762.52,1525.04
548,186,652,16,1871.11,29937.76
549,186,425,29,1299.42,37683.18
550,186,601,17,1292.00,21964.00
551,186,531,42,697.11,29278.62
552,186,399,27,424.71,11467.17
553,187,457,22,639.27,14063.94
554,187,923,23,1938.57,44587.11
555,187,230,14,915.34,12814.76
556,188,944,16,1711.93,27390.88
557,188,476,16,1650.32,26405.12
558,189,708,36,318.77,11475.72
559,189,587,42,1026.94,43131.48
560,189,411,50,1809.39,90469.50
561,189,583,33,1021.68,33715.44
562,189,318,44,734.11,32300.84
563,190,617,25,930.24,23256.00
564,190,30,40,774.17,30966.80
565,190,557,13,1276.20,16590.60
566,190,553,5,1435.40,7177.00
567,191,110,21,1406.76,29541.96
568,191,229,47,1644.01,77268.47
569,191,605,4,549.07,2196.28
570,192,820,15,1311.77,19676.55
571,192,114,7,333.24,2332.68
572,192,18,22,514.11,11310.42
573,192,118,48,423.41,20323.68
574,192,449,24,1964.62,47150.88
575,193,521,25,1130.90,28272.50
576,193,687,40,811.96,32478.40
577,193,531,4,682.89,2731.56
578,193,448,11,1375.85,15134.35
579,193,556,43,1355.29,58277.47
580,194,482,43,630.02,27090.86
581,194,964,45,553.95,24927.75
582,194,50,21,342.83,7199.43
583,194,972,36,488.73,17594.28
584,194,631,7,1851.65,12961.55
585,195,440,13,1977.86,25712.18
586,195,635,16,2161.91,34590.56
587,196,210,47,1545.91,72657.77
588,196,456,30,667.74,20032.20
589,196,338,45,173.19,7793.55
590,197,839,37,1548.11,57280.07
591,197,271,19,32.01,608.19
592,197,984,2,272.03,544.06
593,197,387,1,1677.93,1677.93
594,198,1006,17,1314.70,22349.90
595,199,350,38,1460.95,55516.10
596,199,786,18,175.97,3167.46
597,200,255,2,1987.78,3975.56
598,200,822,18,158.81,2858.58
599,200,166,20,1806.54,36130.80
600,201,573,10,357.33,3573.30
601,201,778,41,121.24,4970.84
602,201,82,43,1166.05,50140.15
603,202,976,50,293.13,14656.50
604,202,184,26,163.29,4245.54
605,202,193,29,1888.07,54754.03
606,203,704,1,1028.30,1028.30
607,203,665,44,227.52,10010.88
608,203,894,7,34.77,243.39
609,204,518,12,894.66,10735.92
610,204,742,43,1245.16,53541.88
611,204,85,7,1572.90,11010.30
612,204,269,15,563.75,8456.25
613,204,197,31,232.66,7212.46
614,205,138,3,1340.32,4020.96
615,205,40,42,766.08,32175.36
616,205,152,17,1006.12,17104.04
617,205,580,29,734.32,21295.28
618,205,583,1,947.38,947.38
619,206,815,23,1112.23,25581.29
620,206,863,31,941.45,29184.95
621,207,463,4,1156.78,4627.12
622,207,221,37,985.61,36467.57
623,207,267,48,546.12,26213.76
624,207,606,47,1661.56,78093.32
625,208,180,1,1388.54,1388.54
626,208,22,11,782.08,8602.88
627,208,231,46,1869.26,85985.96
628,209,365,38,73.76,2802.88
629,209,651,13,894.34,11626.42
630,210,100,46,1690.98,77785.08
631,210,322,14,2016.92,28236.88
632,210,548,30,575.98,17279.40
633,210,839,29,1414.14,41010.06
634,211,272,16,1616.25,25860.00
635,211,628,28,1748.79,48966.12
636,212,680,50,995.11,49755.50
637,212,859,45,1058.76,47644.20
638,213,1003,13,1104.60,14359.80
639,213,354,7,280.31,1962.17
640,213,285,44,270.29,11892.76
641,213,77,30,790.64,23719.20
642,213,430,30,262.90,7887.00
643,214,383,3,32.07,96.21
644,214,273,27,441.97,11933.19
645,214,971,27,870.91,23514.57
646,215,391,37,899.77,33291.49
647,215,981,23,189.29,4353.67
648,215,222,18,967.68,17418.24
649,215,416,19,646.72,12287.68
650,215,236,6,222.10,1332.60
651,216,32,36,601.81,21665.16
652,216,83,7,1958.37,13708.59
653,216,306,16,284.45,4551.20
654,216,278,44,1046.71,46055.24
655,216,329,19,1386.06,26335.14
656,217,121,39,1625.43,63391.77
657,217,483,44,1387.02,61028.88
658,217,983,2,2014.98,4029.96
659,218,883,31,279.57,8666.67
660,218,651,6,788.65,4731.90
661,218,598,48,1309.35,62848.80
662,218,624,26,1829.60,47569.60
663,218,614,12,991.87,11902.44
664,219,535,23,2051.28,47179.44
665,219,123,19,1348.74,25626.06
666,219,114,46,359.38,16531.48
667,219,303,20,1244.11,24882.20
668,219,531,47,739.79,34770.13
669,220,862,44,1529.05,67278.20
670,220,702,14,1170.59,16388.26
671,220,685,25,449.31,11232.75
672,220,443,38,1098.36,41737.68
673,221,403,26,1740.62,45256.12
674,221,537,21,894.70,18788.70
675,221,296,32,415.47,13295.04
676,221,593,38,1265.69,48096.22
677,221,316,6,2101.21,12607.26
678,222,457,45,680.07,30603.15
679,222,215,29,692.06,20069.74
680,223,676,46,1474.99,67849.54
681,223,488,42,1388.09,58299.78
682,223,454,30,1185.48,35564.40
683,223,914,26,1202.54,31266.04
684,223,468,23,319.43,7346.89
685,224,721,3,1007.31,3021.93
686,224,348,49,1018.65,49913.85
687,224,249,28,1219.81,34154.68
688,225,863,30,902.23,27066.90
689,225,38,33,1507.06,49732.98
690,225,123,35,1247.90,43676.50
691,225,574,24,1484.49,35627.76
692,225,392,45,643.39,28952.55
693,226,972,39,418.91,16337.49
694,226,805,43,1852.78,79669.54
695,226,922,30,1663.68,49910.40
696,226,740,49,1547.03,75804.47
697,226,782,6,653.76,3922.56
698,227,322,29,1866.12,54117.48
699,227,820,33,1378.02,45474.66
700,227,22,31,827.20,25643.20
701,227,375,45,1202.73,54122.85
702,228,737,48,1950.83,93639.84
703,228,148,34,626.88,21313.92
704,229,708,32,318.77,10200.64
705,229,182,32,1091.01,34912.32
706,230,569,37,145.88,5397.56
707,230,704,35,850.69,29774.15
708,230,927,46,1402.92,64534.32
709,231,471,29,1857.52,53868.08
710,232,191,38,319.32,12134.16
711,232,247,18,1911.96,34415.28
712,232,831,18,934.55,16821.90
713,232,375,23,1414.20,32526.60
714,233,455,47,1317.63,61928.61
715,233,373,37,1259.42,46598.54
716,233,684,19,543.30,10322.70
717,234,925,5,76.15,380.75
718,234,741,34,1155.38,39282.92
719,235,323,7,1738.05,12166.35
720,235,450,28,1115.85,31243.80
721,236,925,22,71.84,1580.48
722,237,55,36,1324.11,47667.96
723,238,797,44,66.80,2939.20
724,238,788,38,530.57,20161.66
725,238,983,25,1843.89,46097.25
726,239,962,25,1807.64,45191.00
727,239,701,14,715.38,10015.32
728,239,452,26,625.55,16264.30
729,239,65,46,925.41,42568.86
730,240,497,29,205.56,5961.24
731,240,425,22,1367.81,30091.82
732,240,283,1,1369.57,1369.57
733,240,107,49,1548.23,75863.27
734,241,512,17,166.82,2835.94
735,241,848,45,1236.76,55654.20
736,241,1006,46,1557.63,71650.98
737,241,298,27,708.33,19124.91
738,242,471,2,1772.32,3544.64
739,242,601,25,1100.60,27515.00
740,243,386,5,748.56,3742.80
741,243,505,11,1872.17,20593.87
742,244,269,33,633.50,20905.50
743,245,355,49,251.60,12328.40
744,245,728,16,1071.21,17139.36
745,245,721,46,1119.23,51484.58
746,245,699,47,1851.38,87014.86
747,246,836,38,1830.84,69571.92
748,246,726,31,106.17,3291.27
749,246,593,48,1409.23,67643.04
750,246,301,5,1083.43,5417.15
751,246,900,41,928.41,38064.81
752,247,576,43,1697.74,73002.82
753,247,772,49,1677.00,82173.00
754,248,1001,38,1053.17,40020.46
755,248,690,35,1266.64,44332.40
756,249,396,1,300.54,300.54
757,249,44,15,117.08,1756.20
758,249,539,8,1215.46,9723.68
759,249,801,47,550.78,25886.66
760,249,26,42,975.92,40988.64
761,250,632,42,953.48,40046.16
762,250,77,48,696.35,33424.80
763,250,137,21,718.85,15095.85
764,250,228,45,965.28,43437.60
765,250,537,25,920.76,23019.00
766,251,50,24,339.62,8150.88
767,251,81,8,1164.65,9317.20
768,251,433,29,1183.80,34330.20
769,251,315,33,1672.83,55203.39
770,252,472,35,1244.40,43554.00
771,252,104,18,515.22,9273.96
772,252,987,46,1799.42,82773.32
773,252,475,36,1692.29,60922.44
774,253,74,2,1223.46,2446.92
775,253,435,4,1876.02,7504.08
776,253,172,13,262.42,3411.46
777,254,521,1,1042.21,1042.21
778,255,394,42,1525.39,64066.38
779,255,905,17,660.02,11220.34
780,255,752,1,1398.54,1398.54
781,256,69,31,140.65,4360.15
782,257,37,11,86.27,948.97
783,257,933,21,707.96,14867.16
784,257,339,25,1201.60,30040.00
785,257,84,3,423.14,1269.42
786,258,176,38,1597.32,60698.16
787,258,716,38,456.10,17331.80
788,259,108,38,870.79,33090.02
789,259,848,45,1272.43,57259.35
790,259,441,24,315.87,7580.88
791,260,754,39,1583.02,61737.78
792,260,941,45,1242.34,55905.30
793,261,61,36,1510.53,54379.08
794,261,870,33,878.73,28998.09
795,261,815,17,1226.89,20857.13
