id,purchase_order_id,received_by_employee_id,received_at,notes,created_at
83,107,2,2024-12-26 06:29:14,,2024-12-26 06:29:14
84,108,14,2025-12-27 05:25:41,,2025-12-27 05:25:41
85,109,14,2020-12-15 22:38:21,,2020-12-15 22:38:21
86,110,7,2025-06-30 15:27:46,,2025-06-30 15:27:46
87,111,4,2022-06-14 09:28:11,,2022-06-14 09:28:11
88,112,3,2023-09-01 23:29:48,,2023-09-01 23:29:48
89,113,11,2021-08-26 04:21:26,,2021-08-26 04:21:26
90,115,14,2020-03-21 01:48:26,conferido,2020-03-21 01:48:26
91,116,15,2021-11-29 11:00:25,,2021-11-29 11:00:25
92,118,5,2022-06-29 22:00:49,,2022-06-29 22:00:49
93,120,3,2026-07-07 08:56:22,,2026-07-07 08:56:22
94,122,13,2025-12-16 22:30:50,,2025-12-16 22:30:50
95,123,5,2026-11-11 16:38:28,,2026-11-11 16:38:28
96,124,13,2022-11-16 06:17:41,,2022-11-16 06:17:41
97,125,4,2024-10-28 05:57:53,,2024-10-28 05:57:53
98,128,1,2022-08-11 16:04:21,,2022-08-11 16:04:21
99,129,15,2022-07-12 20:52:05,,2022-07-12 20:52:05
100,133,7,2021-08-19 11:56:46,,2021-08-19 11:56:46
101,135,4,2025-09-11 21:46:55,,2025-09-11 21:46:55
102,137,5,2022-12-02 09:44:56,,2022-12-02 09:44:56
103,138,2,2020-10-26 16:25:14,,2020-10-26 16:25:14
104,139,3,2023-09-15 16:41:19,,2023-09-15 16:41:19
105,140,11,2021-11-11 01:31:06,,2021-11-11 01:31:06
106,141,2,2025-12-24 09:02:30,,2025-12-24 09:02:30
107,142,5,2026-09-12 05:45:38,,2026-09-12 05:45:38
108,143,1,2025-11-09 11:41:26,,2025-11-09 11:41:26
109,144,4,2023-11-12 22:11:35,,2023-11-12 22:11:35
110,145,5,2027-01-01 05:29:27,,2027-01-01 05:29:27
111,146,2,2020-09-07 05:32:37,,2020-09-07 05:32:37
112,147,4,2023-11-11 23:23:17,,2023-11-11 23:23:17
113,148,4,2024-11-24 08:49:39,,2024-11-24 08:49:39
114,149,13,2022-09-14 05:32:16,,2022-09-14 05:32:16
115,150,5,2025-09-25 01:21:11,,2025-09-25 01:21:11
116,151,3,2023-12-20 17:27:30,,2023-12-20 17:27:30
117,152,3,2026-04-19 19:16:33,,2026-04-19 19:16:33
118,153,1,2022-10-20 10:32:17,,2022-10-20 10:32:17
119,154,5,2026-02-01 04:06:35,,2026-02-01 04:06:35
120,156,14,2024-10-17 03:51:56,,2024-10-17 03:51:56
121,158,13,2026-11-29 03:29:24,,2026-11-29 03:29:24
122,159,1,2026-01-20 08:08:50,,2026-01-20 08:08:50
123,160,3,2026-12-30 00:30:32,,2026-12-30 00:30:32
124,161,5,2026-12-18 08:30:31,,2026-12-18 08:30:31
125,162,13,2025-08-26 14:22:25,,2025-08-26 14:22:25
126,163,2,2026-08-29 06:43:57,,2026-08-29 06:43:57
127,164,4,2026-09-07 06:37:52,,2026-09-07 06:37:52
128,166,15,2023-09-28 20:01:12,,2023-09-28 20:01:12
129,168,2,2020-09-07 06:53:54,,2020-09-07 06:53:54
130,169,13,2024-11-30 17:01:46,,2024-11-30 17:01:46
131,170,15,2024-09-10 13:57:29,,2024-09-10 13:57:29
132,171,11,2027-01-05 19:00:40,,2027-01-05 19:00:40
133,173,3,2024-12-16 00:10:08,,2024-12-16 00:10:08
134,174,4,2022-04-13 06:18:47,,2022-04-13 06:18:47
135,176,1,2023-07-26 11:10:52,,2023-07-26 11:10:52
136,177,15,2025-06-24 15:44:55,,2025-06-24 15:44:55
137,178,11,2024-08-21 13:05:30,,2024-08-21 13:05:30
138,179,13,2026-12-15 03:40:51,,2026-12-15 03:40:51
139,180,7,2025-06-12 04:31:02,,2025-06-12 04:31:02
140,181,5,2026-12-07 13:06:47,,2026-12-07 13:06:47
141,183,2,2020-10-31 18:24:09,,2020-10-31 18:24:09
142,185,2,2024-05-16 14:29:09,,2024-05-16 14:29:09
143,186,13,2026-09-08 14:59:38,ok,2026-09-08 14:59:38
144,187,15,2025-05-28 09:43:11,,2025-05-28 09:43:11
145,188,5,2020-09-24 09:42:09,,2020-09-24 09:42:09
146,189,14,2026-03-02 16:58:05,,2026-03-02 16:58:05
147,190,14,2024-12-01 22:53:17,,2024-12-01 22:53:17
148,191,5,2026-11-01 08:42:14,,2026-11-01 08:42:14
149,192,1,2023-12-07 03:59:08,,2023-12-07 03:59:08
150,193,11,2021-11-14 09:59:57,,2021-11-14 09:59:57
151,195,2,2020-07-22 17:02:25,,2020-07-22 17:02:25
152,196,13,2026-10-06 02:39:15,,2026-10-06 02:39:15
153,197,13,2024-10-11 19:24:45,,2024-10-11 19:24:45
154,199,11,2020-09-12 09:48:11,,2020-09-12 09:48:11
155,200,7,2021-03-04 04:40:47,,2021-03-04 04:40:47
156,201,2,2027-01-21 19:14:04,,2027-01-21 19:14:04
157,203,13,2025-08-18 09:44:29,,2025-08-18 09:44:29
158,204,4,2025-08-19 13:17:57,,2025-08-19 13:17:57
159,205,13,2021-10-21 01:09:22,,2021-10-21 01:09:22
160,206,3,2020-12-19 09:06:49,,2020-12-19 09:06:49
161,207,15,2024-11-14 04:21:02,,2024-11-14 04:21:02
162,208,13,2026-10-23 01:54:08,,2026-10-23 01:54:08
163,211,11,2026-07-20 13:59:03,,2026-07-20 13:59:03
164,212,11,2021-09-13 00:13:05,,2021-09-13 00:13:05
165,214,15,2022-01-25 12:54:00,,2022-01-25 12:54:00
166,216,1,2025-02-05 20:02:56,,2025-02-05 20:02:56
167,217,7,2026-03-14 13:51:52,,2026-03-14 13:51:52
168,218,14,2022-11-16 22:51:43,,2022-11-16 22:51:43
169,219,15,2022-08-19 13:12:47,,2022-08-19 13:12:47
170,221,11,2025-12-18 17:50:35,,2025-12-18 17:50:35
171,222,5,2026-11-18 04:05:20,,2026-11-18 04:05:20
172,223,15,2024-11-11 13:56:41,,2024-11-11 13:56:41
173,224,4,2023-07-17 21:28:56,,2023-07-17 21:28:56
174,225,5,2026-10-22 03:39:34,,2026-10-22 03:39:34
175,226,13,2022-10-29 04:57:05,,2022-10-29 04:57:05
176,227,5,2026-11-03 18:13:38,,2026-11-03 18:13:38
177,228,14,2026-12-25 05:14:54,,2026-12-25 05:14:54
178,230,5,2026-08-19 04:47:25,,2026-08-19 04:47:25
179,232,14,2022-10-25 20:58:52,,2022-10-25 20:58:52
180,233,1,2023-02-03 20:38:12,,2023-02-03 20:38:12
181,235,2,2026-02-08 22:35:19,,2026-02-08 22:35:19
182,236,15,2025-02-25 00:56:54,,2025-02-25 00:56:54
183,237,15,2023-10-31 17:11:40,,2023-10-31 17:11:40
184,238,1,2021-11-16 11:32:29,,2021-11-16 11:32:29
185,241,13,2022-10-18 01:53:32,,2022-10-18 01:53:32
186,242,11,2024-04-08 18:01:24,,2024-04-08 18:01:24
187,243,14,2021-09-22 10:56:03,,2021-09-22 10:56:03
188,244,11,2025-10-28 04:07:16,,2025-10-28 04:07:16
189,245,1,2020-04-08 16:07:28,,2020-04-08 16:07:28
190,246,5,2025-11-12 08:01:33,,2025-11-12 08:01:33
191,247,1,2023-07-29 14:44:27,...,2023-07-29 14:44:27
192,249,7,2020-08-25 17:39:14,,2020-08-25 17:39:14
193,250,5,2023-04-12 20:32:55,,2023-04-12 20:32:55
194,251,3,2025-11-28 01:24:04,,2025-11-28 01:24:04
195,253,4,2026-11-22 12:04:13,,2026-11-22 12:04:13
196,254,7,2024-12-02 06:59:21,,2024-12-02 06:59:21
197,255,5,2022-11-04 01:20:56,,2022-11-04 01:20:56
198,256,5,2026-09-25 08:54:31,,2026-09-25 08:54:31
199,257,13,2026-04-25 01:32:17,,2026-04-25 01:32:17
200,258,7,2021-10-13 11:09:04,,2021-10-13 11:09:04
201,259,11,2026-01-15 03:25:47,,2026-01-15 03:25:47
202,262,5,2026-09-01 04:02:23,,2026-09-01 04:02:23
203,263,7,2024-05-10 23:07:57,,2024-05-10 23:07:57
204,264,1,2024-09-17 03:33:42,,2024-09-17 03:33:42
205,267,14,2024-09-25 12:34:45,,2024-09-25 12:34:45
206,268,15,2025-01-01 01:10:06,,2025-01-01 01:10:06
207,269,2,2022-08-24 16:52:23,,2022-08-24 16:52:23
208,270,7,2025-12-04 02:30:46,,2025-12-04 02:30:46
209,271,2,2026-03-15 23:36:59,,2026-03-15 23:36:59
210,272,4,2020-04-27 04:00:59,,2020-04-27 04:00:59
211,273,1,2025-12-09 01:52:25,,2025-12-09 01:52:25
212,274,13,2023-03-05 02:40:53,,2023-03-05 02:40:53
213,275,7,2021-11-27 14:58:41,,2021-11-27 14:58:41
214,276,7,2026-07-12 02:38:36,,2026-07-12 02:38:36
215,278,3,2023-07-07 17:45:11,,2023-07-07 17:45:11
216,279,4,2026-12-06 19:32:39,,2026-12-06 19:32:39
217,280,7,2026-01-16 03:21:33,,2026-01-16 03:21:33
218,281,15,2021-01-07 20:25:46,,2021-01-07 20:25:46
219,282,7,2024-11-29 09:30:06,,2024-11-29 09:30:06
220,283,13,2023-05-13 23:06:39,,2023-05-13 23:06:39
221,284,2,2023-08-03 10:08:39,,2023-08-03 10:08:39
222,285,14,2024-10-29 06:55:12,,2024-10-29 06:55:12
223,287,4,2023-03-31 04:14:24,,2023-03-31 04:14:24
224,290,14,2026-01-18 07:21:29,,2026-01-18 07:21:29
225,291,14,2027-01-06 07:47:17,,2027-01-06 07:47:17
226,292,15,2022-08-18 14:05:28,,2022-08-18 14:05:28
227,293,14,2026-04-06 09:05:25,,2026-04-06 09:05:25
228,294,13,2022-09-27 04:23:48,,2022-09-27 04:23:48
229,295,1,2020-02-07 18:31:41,,2020-02-07 18:31:41
230,296,3,2022-07-23 19:56:54,,2022-07-23 19:56:54
231,297,1,2022-09-20 12:39:14,,2022-09-20 12:39:14
232,298,1,2023-10-26 21:42:33,,2023-10-26 21:42:33
233,300,1,2024-08-01 15:25:40,ver com gerente,2024-08-01 15:25:40
234,301,5,2021-06-06 21:01:02,,2021-06-06 21:01:02
235,302,3,2023-10-02 11:03:52,,2023-10-02 11:03:52
236,303,13,2022-03-01 05:49:22,,2022-03-01 05:49:22
237,304,13,2023-10-31 15:09:33,,2023-10-31 15:09:33
238,305,2,2023-11-03 19:29:15,,2023-11-03 19:29:15
239,307,4,2023-02-16 22:30:43,,2023-02-16 22:30:43
240,308,11,2022-02-15 22:55:28,,2022-02-15 22:55:28
241,312,7,2021-09-21 15:44:52,—,2021-09-21 15:44:52
242,313,2,2025-01-13 23:39:19,,2025-01-13 23:39:19
243,314,15,2020-05-04 10:38:53,,2020-05-04 10:38:53
244,315,13,2021-09-30 18:12:32,,2021-09-30 18:12:32
245,316,2,2022-01-28 19:05:09,,2022-01-28 19:05:09
246,318,7,2024-08-15 13:05:10,,2024-08-15 13:05:10
247,319,5,2025-07-19 03:37:58,,2025-07-19 03:37:58
248,320,5,2025-09-13 20:30:04,,2025-09-13 20:30:04
249,321,15,2025-10-15 03:50:00,ok!,2025-10-15 03:50:00
250,322,15,2024-09-07 05:59:15,,2024-09-07 05:59:15
251,323,4,2023-12-28 19:37:08,,2023-12-28 19:37:08
252,325,11,2022-12-06 15:51:08,,2022-12-06 15:51:08
253,327,5,2021-02-17 02:18:09,,2021-02-17 02:18:09
254,329,4,2026-08-29 04:09:39,,2026-08-29 04:09:39
255,330,13,2024-03-05 19:55:58,,2024-03-05 19:55:58
256,331,13,2022-07-29 21:35:54,,2022-07-29 21:35:54
257,332,15,2025-12-22 09:50:43,,2025-12-22 09:50:43
258,333,11,2025-12-11 04:21:41,,2025-12-11 04:21:41
259,334,14,2026-08-15 17:42:16,,2026-08-15 17:42:16
260,335,1,2025-12-13 17:00:55,,2025-12-13 17:00:55
261,336,4,2022-02-22 20:27:54,,2022-02-22 20:27:54
262,338,15,2021-02-26 21:32:35,,2021-02-26 21:32:35
263,339,5,2023-09-04 08:53:08,,2023-09-04 08:53:08
264,340,4,2022-07-14 07:29:56,,2022-07-14 07:29:56
265,342,11,2025-08-25 12:51:37,,2025-08-25 12:51:37
266,343,3,2023-03-07 14:22:17,,2023-03-07 14:22:17
267,344,3,2025-11-17 07:56:10,,2025-11-17 07:56:10
268,345,7,2025-02-04 10:46:22,,2025-02-04 10:46:22
269,346,3,2024-04-29 14:38:57,,2024-04-29 14:38:57
270,347,3,2020-02-14 09:45:38,,2020-02-14 09:45:38
271,348,11,2024-06-09 16:36:04,,2024-06-09 16:36:04
272,349,15,2025-09-17 00:11:32,,2025-09-17 00:11:32
273,350,4,2026-06-11 12:53:38,,2026-06-11 12:53:38
274,351,7,2024-02-28 14:51:47,,2024-02-28 14:51:47
275,352,14,2026-04-27 23:04:40,,2026-04-27 23:04:40
276,353,3,2021-12-23 07:54:03,,2021-12-23 07:54:03
277,355,15,2024-11-16 14:16:51,,2024-11-16 14:16:51
278,356,11,2026-01-02 17:58:23,,2026-01-02 17:58:23
279,357,1,2024-06-25 05:13:50,,2024-06-25 05:13:50
280,359,5,2025-07-01 18:13:45,conferido,2025-07-01 18:13:45
281,360,15,2026-05-27 23:05:38,,2026-05-27 23:05:38
282,361,2,2024-07-04 10:33:38,,2024-07-04 10:33:38
283,362,3,2021-01-07 01:54:02,,2021-01-07 01:54:02
284,363,1,2022-04-19 10:40:32,,2022-04-19 10:40:32
285,365,14,2021-09-04 16:25:30,,2021-09-04 16:25:30
286,366,13,2025-05-09 22:07:48,,2025-05-09 22:07:48
287,368,1,2023-01-08 15:44:55,,2023-01-08 15:44:55
288,369,13,2021-09-18 17:26:27,,2021-09-18 17:26:27
289,372,7,2023-11-13 07:55:35,,2023-11-13 07:55:35
290,373,5,2025-12-15 20:36:12,,2025-12-15 20:36:12
291,374,7,2025-09-02 14:50:40,,2025-09-02 14:50:40
292,375,5,2020-12-19 09:28:15,,2020-12-19 09:28:15
293,376,1,2021-07-09 19:55:26,,2021-07-09 19:55:26
294,377,3,2025-05-29 00:05:50,,2025-05-29 00:05:50
295,378,2,2022-11-29 23:33:09,,2022-11-29 23:33:09
296,379,7,2022-09-13 15:04:09,,2022-09-13 15:04:09
297,380,4,2023-09-06 15:43:16,tudo certo,2023-09-06 15:43:16
298,381,1,2021-01-09 10:50:53,,2021-01-09 10:50:53
299,383,2,2024-12-26 12:50:51,,2024-12-26 12:50:51
300,384,11,2025-11-23 09:34:12,,2025-11-23 09:34:12
301,385,3,2025-11-03 03:48:51,,2025-11-03 03:48:51
302,386,15,2023-01-12 00:40:49,,2023-01-12 00:40:49
303,387,4,2025-08-07 13:32:21,,2025-08-07 13:32:21
304,392,5,2020-09-02 10:38:14,,2020-09-02 10:38:14
305,394,13,2020-07-23 01:45:31,—,2020-07-23 01:45:31
306,396,2,2021-09-23 18:01:21,,2021-09-23 18:01:21
307,397,3,2025-10-20 19:52:58,,2025-10-20 19:52:58
308,398,5,2020-04-26 17:59:34,,2020-04-26 17:59:34
309,399,11,2026-11-10 04:02:30,,2026-11-10 04:02:30
310,400,4,2024-02-22 08:56:48,,2024-02-22 08:56:48
311,401,14,2026-08-20 19:26:22,,2026-08-20 19:26:22
312,402,14,2024-01-18 23:52:02,,2024-01-18 23:52:02
313,404,3,2023-02-22 02:57:36,,2023-02-22 02:57:36
314,405,2,2024-08-25 07:26:31,,2024-08-25 07:26:31
315,406,4,2024-09-07 09:03:42,,2024-09-07 09:03:42
316,407,1,2026-11-12 10:34:50,conferido,2026-11-12 10:34:50
317,408,3,2024-11-08 17:52:41,,2024-11-08 17:52:41
318,409,3,2025-10-29 09:44:34,,2025-10-29 09:44:34
319,412,7,2024-07-30 21:16:35,,2024-07-30 21:16:35
320,413,4,2021-11-19 09:22:40,,2021-11-19 09:22:40
321,414,4,2025-01-11 11:13:10,,2025-01-11 11:13:10
322,415,11,2020-11-02 16:29:22,,2020-11-02 16:29:22
323,416,2,2024-01-15 21:56:31,,2024-01-15 21:56:31
324,417,5,2025-01-15 17:42:56,,2025-01-15 17:42:56
325,419,2,2022-07-07 10:36:56,ver com gerente,2022-07-07 10:36:56
326,420,1,2020-08-22 07:36:18,,2020-08-22 07:36:18
327,422,3,2024-10-03 06:09:16,,2024-10-03 06:09:16
328,423,14,2020-07-25 02:48:02,,2020-07-25 02:48:02
329,424,15,2025-04-07 12:24:46,,2025-04-07 12:24:46
330,427,4,2026-08-26 16:54:59,,2026-08-26 16:54:59
331,430,3,2020-10-21 03:23:17,,2020-10-21 03:23:17
332,431,3,2026-01-12 15:19:57,,2026-01-12 15:19:57
333,433,15,2020-10-05 01:41:08,,2020-10-05 01:41:08
334,434,3,2020-06-15 03:28:52,,2020-06-15 03:28:52
335,435,1,2025-05-26 16:14:45,,2025-05-26 16:14:45
336,436,4,2022-03-29 17:54:33,,2022-03-29 17:54:33
337,437,5,2024-10-25 18:33:42,,2024-10-25 18:33:42
338,438,2,2022-04-18 04:10:36,,2022-04-18 04:10:36
339,439,3,2021-12-22 08:53:06,,2021-12-22 08:53:06
340,440,3,2023-12-23 13:05:26,,2023-12-23 13:05:26
341,441,4,2024-08-18 13:09:04,,2024-08-18 13:09:04
342,442,3,2022-11-29 07:52:07,,2022-11-29 07:52:07
343,443,5,2024-12-08 22:32:38,,2024-12-08 22:32:38
344,444,3,2023-10-09 01:26:43,,2023-10-09 01:26:43
345,445,4,2026-08-11 14:23:00,,2026-08-11 14:23:00
346,446,5,2025-01-12 06:19:56,,2025-01-12 06:19:56
347,447,2,2024-12-14 06:04:46,,2024-12-14 06:04:46
348,448,14,2023-07-29 14:17:44,,2023-07-29 14:17:44
349,450,2,2026-01-26 08:20:23,,2026-01-26 08:20:23
350,451,3,2025-10-03 18:55:33,,2025-10-03 18:55:33
351,452,3,2022-08-28 04:22:54,,2022-08-28 04:22:54
352,453,11,2020-05-26 14:10:09,,2020-05-26 14:10:09
353,455,13,2026-11-26 18:13:56,,2026-11-26 18:13:56
354,456,2,2024-01-08 01:02:05,,2024-01-08 01:02:05
355,458,7,2025-06-02 08:26:12,,2025-06-02 08:26:12
356,459,3,2020-07-26 15:37:55,,2020-07-26 15:37:55
357,461,15,2021-10-02 11:17:23,,2021-10-02 11:17:23
358,462,2,2020-06-11 19:30:05,,2020-06-11 19:30:05
359,463,11,2026-10-15 06:36:21,,2026-10-15 06:36:21
360,464,4,2024-01-24 04:15:26,,2024-01-24 04:15:26
361,465,7,2025-04-05 03:21:23,,2025-04-05 03:21:23
362,466,14,2022-12-12 01:55:38,,2022-12-12 01:55:38
363,467,11,2024-07-10 13:53:28,,2024-07-10 13:53:28
364,468,13,2025-10-10 08:05:14,,2025-10-10 08:05:14
365,469,11,2022-07-20 23:58:58,,2022-07-20 23:58:58
366,471,11,2026-08-30 03:06:41,,2026-08-30 03:06:41
367,472,11,2021-07-19 12:59:00,,2021-07-19 12:59:00
368,473,5,2023-11-29 05:25:51,,2023-11-29 05:25:51
369,474,3,2022-12-22 04:17:03,,2022-12-22 04:17:03
370,475,1,2025-12-14 11:56:52,,2025-12-14 11:56:52
371,476,4,2025-06-23 11:12:48,,2025-06-23 11:12:48
372,480,5,2023-12-05 11:05:05,,2023-12-05 11:05:05
373,481,11,2022-11-08 04:24:55,,2022-11-08 04:24:55
374,482,11,2025-08-28 22:56:01,,2025-08-28 22:56:01
375,483,2,2023-11-13 13:39:30,,2023-11-13 13:39:30
376,484,5,2026-10-02 05:53:35,,2026-10-02 05:53:35
377,486,13,2026-10-21 20:17:30,,2026-10-21 20:17:30
378,487,11,2022-12-27 21:07:07,,2022-12-27 21:07:07
379,488,14,2024-06-06 17:29:54,,2024-06-06 17:29:54
380,490,3,2020-11-01 04:36:02,,2020-11-01 04:36:02
381,491,15,2022-01-09 05:10:40,,2022-01-09 05:10:40
382,492,11,2024-11-06 02:57:14,,2024-11-06 02:57:14
383,493,1,2026-10-21 03:41:54,,2026-10-21 03:41:54
384,494,4,2020-08-28 10:20:25,,2020-08-28 10:20:25
385,495,5,2025-05-22 15:10:00,,2025-05-22 15:10:00
386,496,11,2025-04-25 18:37:34,,2025-04-25 18:37:34
387,497,14,2021-10-16 19:14:33,...,2021-10-16 19:14:33
388,498,5,2026-11-09 05:09:56,,2026-11-09 05:09:56
389,499,2,2023-04-09 21:04:51,,2023-04-09 21:04:51
390,501,15,2025-01-07 19:46:01,,2025-01-07 19:46:01
391,502,11,2026-04-26 00:03:41,conferido,2026-04-26 00:03:41
392,503,11,2022-05-15 06:09:17,,2022-05-15 06:09:17
393,505,15,2026-07-31 08:55:43,,2026-07-31 08:55:43
394,506,14,2022-09-29 13:51:32,,2022-09-29 13:51:32
395,509,15,2022-02-11 09:34:59,,2022-02-11 09:34:59
396,510,15,2026-09-14 04:38:01,,2026-09-14 04:38:01
397,511,1,2024-06-14 13:20:31,,2024-06-14 13:20:31
398,512,7,2026-10-17 18:00:00,,2026-10-17 18:00:00
399,513,5,2023-02-13 06:13:30,,2023-02-13 06:13:30
400,514,5,2020-08-27 11:40:38,,2020-08-27 11:40:38
401,515,15,2021-08-29 18:05:47,,2021-08-29 18:05:47
402,517,7,2023-10-27 16:44:49,,2023-10-27 16:44:49
403,518,5,2025-04-19 17:26:49,,2025-04-19 17:26:49
404,520,15,2024-09-27 18:27:21,,2024-09-27 18:27:21
405,522,7,2021-07-07 06:55:22,,2021-07-07 06:55:22
406,523,7,2026-01-11 01:17:12,,2026-01-11 01:17:12
407,526,5,2024-03-24 21:01:10,,2024-03-24 21:01:10
408,527,13,2021-10-24 07:02:17,,2021-10-24 07:02:17
409,528,1,2022-10-03 04:26:06,,2022-10-03 04:26:06
410,529,5,2022-01-15 18:51:47,,2022-01-15 18:51:47
411,530,15,2023-11-26 03:09:49,,2023-11-26 03:09:49
412,532,1,2026-02-23 16:50:27,,2026-02-23 16:50:27
413,533,15,2026-07-31 16:26:39,,2026-07-31 16:26:39
414,535,14,2024-11-03 08:35:39,,2024-11-03 08:35:39
415,536,1,2024-04-04 12:49:48,,2024-04-04 12:49:48
416,538,15,2024-07-30 01:29:14,,2024-07-30 01:29:14
417,540,14,2020-12-21 20:00:42,,2020-12-21 20:00:42
418,543,11,2024-09-05 10:31:01,,2024-09-05 10:31:01
419,545,11,2026-02-22 11:14:58,,2026-02-22 11:14:58
420,547,15,2025-08-26 16:23:05,,2025-08-26 16:23:05
421,549,14,2026-10-30 01:11:57,,2026-10-30 01:11:57
