id,product_id,sku,barcode_ean,sale_price,cost_price,weight_kg,icms_rate,ipi_rate,is_active,created_at,updated_at
17,7,LHN-220347,6435258488210,1238.93,669.69,32.115,12.00,10.00,TRUE,2024-02-18 12:45:03,2026-09-28 01:32:56
18,7,LHN-510202,8300539548960,973.54,546.93,18.521,12.00,10.00,TRUE,2025-10-13 18:48:58,2025-12-05 04:18:09
19,8,LHN-457547,2337953164113,1517.55,1039.42,1.815,18.00,10.00,TRUE,2026-03-06 01:19:23,2026-11-19 12:12:18
20,9,LHN-016677,5880759743299,2315.50,1642.20,23.955,12.00,0.00,TRUE,2021-05-09 09:55:13,2023-03-30 08:22:39
21,9,LHN-444755,7645809984262,798.36,364.55,32.244,18.00,10.00,TRUE,2020-03-11 06:30:38,2026-09-25 01:06:32
22,9,LHN-256375,5981477681020,1541.60,752.00,18.481,18.00,0.00,TRUE,2023-01-28 21:44:13,2025-01-12 03:15:54
23,10,LHN-235717,1516517327237,1629.17,790.86,10.308,18.00,10.00,TRUE,2020-06-19 05:55:09,2023-11-01 22:57:48
24,11,LHN-162345,,2659.65,1555.35,11.337,12.00,10.00,TRUE,2021-12-19 13:42:27,2025-04-06 09:07:43
25,11,LHN-415543,0662631499525,516.75,335.55,21.786,17.00,5.00,TRUE,2023-10-06 05:23:43,2024-04-05 10:42:11
26,12,LHN-533184,,1726.63,1072.44,32.772,17.00,5.00,TRUE,2022-11-28 06:31:43,2026-09-24 12:04:42
27,13,LHN-811383,4026653408921,2928.08,1673.19,42.21,12.00,5.00,TRUE,2025-08-24 03:39:25,2026-11-06 14:06:25
28,14,LHN-224847,6371127117471,1614.87,961.23,9.626,18.00,0.00,TRUE,2024-07-16 12:45:29,2025-09-26 05:05:13
29,14,LHN-010981,6853279803629,3180.67,1445.76,24.48,12.00,5.00,TRUE,2024-02-21 15:54:02,2026-11-07 16:40:47
30,15,LHN-501122,3705987438361,1029.86,710.25,40.632,18.00,5.00,TRUE,2021-08-14 07:15:21,2024-06-19 01:56:18
31,16,LHN-355112,8951756446913,496.50,234.20,17.961,17.00,10.00,TRUE,2024-12-26 21:58:58,2025-08-24 19:06:12
32,16,LHN-893936,1041466784072,939.09,661.33,34.611,18.00,5.00,TRUE,2024-12-08 22:18:04,2025-05-02 22:31:40
33,16,LHN-302669,6859209682036,537.27,331.65,29.174,17.00,10.00,TRUE,2026-05-16 14:58:00,2026-09-27 00:07:24
34,17,LHN-968395,6617333843279,3058.37,1609.67,28.172,18.00,10.00,TRUE,2024-05-31 01:14:03,2026-10-01 14:48:32
35,17,LHN-702543,5806790112108,1255.65,848.41,33.802,18.00,5.00,TRUE,2023-11-09 15:25:09,2026-11-02 09:24:41
36,18,LHN-505195,1634077732930,2563.85,1401.01,6.639,17.00,0.00,TRUE,2022-08-04 21:52:57,2024-11-03 11:36:55
37,19,LHN-964357,0673451970170,117.93,79.15,17.175,18.00,0.00,TRUE,2025-10-25 09:58:19,2025-11-28 17:22:47
38,19,LHN-215053,0957913209122,2178.52,1492.14,15.677,18.00,10.00,TRUE,2021-02-16 07:45:09,2024-12-17 19:09:22
39,20,LHN-333265,1855492472243,3046.90,1620.69,28.339,12.00,10.00,TRUE,2023-08-03 02:22:52,2024-11-08 06:41:18
40,20,LHN-533548,,1813.06,851.20,6.063,12.00,5.00,TRUE,2025-07-11 20:14:00,2026-11-04 15:02:59
41,21,LHN-261123,,2069.89,1045.40,21.885,12.00,5.00,TRUE,2024-05-13 13:16:08,2026-06-04 21:58:55
42,21,LHN-907998,,1847.00,1020.44,21.883,17.00,0.00,TRUE,2021-05-30 21:36:42,2024-08-15 06:58:17
43,22,LHN-937442,0030772416334,1032.64,573.69,2.069,18.00,5.00,TRUE,2026-05-23 18:52:52,2026-09-22 19:51:16
44,22,LHN-119653,3349461777203,143.69,106.44,1.457,12.00,0.00,TRUE,2022-01-07 02:39:38,2026-07-27 03:58:35
45,23,LHN-920996,3369546530134,2765.04,1843.36,25.234,17.00,10.00,TRUE,2025-04-02 11:01:42,2025-04-28 18:56:14
46,23,LHN-504176,8689081382865,764.40,408.77,12.055,12.00,0.00,TRUE,2025-10-30 00:36:46,2026-11-26 10:59:36
47,24,LHN-424788,,3896.09,1882.17,12.657,12.00,0.00,TRUE,2023-04-11 01:58:49,2023-07-20 23:46:49
48,24,LHN-868199,,1605.18,768.03,8.81,12.00,10.00,TRUE,2024-11-14 20:52:24,2025-06-13 13:14:15
49,25,LHN-763314,4013445751730,2845.64,1429.97,38.923,17.00,5.00,TRUE,2025-02-18 06:24:42,2026-05-10 19:44:30
50,26,LHN-520276,7606234583024,547.88,320.40,28.501,12.00,0.00,TRUE,2026-08-17 04:38:21,2026-11-14 15:10:44
51,26,LHN-424258,7817584625160,1113.93,520.53,15.212,17.00,5.00,TRUE,2025-10-25 20:13:44,2026-11-27 23:01:00
52,27,LHN-781949,,585.80,334.74,41.264,17.00,10.00,TRUE,2022-12-15 14:38:34,2026-04-24 03:14:18
53,27,LHN-551848,5190815153000,1628.81,1064.58,4.334,12.00,10.00,TRUE,2020-04-19 06:48:22,2022-09-27 17:57:03
54,28,LHN-011955,,2767.51,1677.28,16.339,17.00,5.00,FALSE,2020-05-17 13:46:18,2026-05-15 13:37:27
55,28,LHN-616600,3492417032670,2780.63,1324.11,34.635,18.00,5.00,TRUE,2026-08-27 11:31:31,2026-10-02 09:33:02
56,29,LHN-116117,7543537908935,1923.39,1457.11,29.745,12.00,5.00,TRUE,2026-07-03 17:39:19,2026-10-01 11:37:58
57,29,LHN-639263,2470658924054,3035.13,1487.81,33.038,12.00,10.00,TRUE,2025-03-13 22:39:00,2026-10-31 14:11:37
58,29,LHN-163046,,717.98,498.60,21.821,17.00,5.00,TRUE,2024-04-02 04:26:01,2026-05-27 07:25:34
59,30,LHN-542984,3882632802415,3516.91,1651.13,21.232,18.00,0.00,FALSE,2026-08-18 19:13:13,2026-09-20 22:57:57
60,31,LHN-951367,1851920550774,1466.35,971.09,32.375,12.00,5.00,TRUE,2023-03-20 04:57:43,2023-12-06 01:02:59
61,31,LHN-032019,0753417869905,3122.72,1452.43,16.267,18.00,5.00,TRUE,2022-03-30 22:51:50,2026-08-29 22:59:56
62,32,LHN-174522,7774799407687,2219.20,1219.34,11.147,17.00,0.00,TRUE,2025-10-17 04:15:28,2026-07-05 15:39:08
63,32,LHN-146807,7850785310374,1025.37,648.97,42.23,12.00,0.00,TRUE,2021-07-27 17:04:58,2023-02-13 05:44:30
64,33,LHN-868728,4227524869562,2665.92,1655.85,12.872,17.00,10.00,TRUE,2022-04-26 03:03:17,2024-11-23 20:49:55
65,33,LHN-918092,5033416339575,1609.83,963.97,33.169,17.00,10.00,TRUE,2023-12-24 09:06:23,2024-02-27 19:21:46
66,34,LHN-698603,4567925868949,1541.68,820.04,41.001,17.00,10.00,TRUE,2023-09-23 01:13:42,2023-11-14 02:07:46
67,35,LHN-270917,3950332260009,2159.89,1213.42,37.606,18.00,10.00,TRUE,2025-10-07 08:25:52,2026-06-26 06:46:14
68,35,LHN-133378,7289651757966,381.63,231.29,19.23,18.00,10.00,TRUE,2026-07-13 08:20:09,2026-08-13 20:31:44
69,36,LHN-585213,3300607642120,301.17,152.88,33.419,18.00,10.00,TRUE,2026-02-12 12:36:00,2026-06-05 15:13:57
70,36,LHN-373626,0758369952156,118.69,64.86,22.214,17.00,0.00,TRUE,2022-11-29 00:03:12,2026-09-26 13:10:31
71,37,LHN-047570,2416565271423,1571.43,814.21,49.366,17.00,10.00,TRUE,2021-03-30 08:55:37,2023-01-20 00:22:45
72,37,LHN-561314,8581783250339,3194.59,1506.88,45.135,12.00,5.00,TRUE,2022-03-20 13:42:45,2025-11-30 06:36:57
73,37,LHN-611667,7964377969335,755.45,381.54,14.38,12.00,5.00,TRUE,2023-03-15 15:36:12,2024-02-16 09:26:08
74,38,LHN-448251,5369106807087,1603.57,1187.83,46.403,17.00,10.00,TRUE,2021-03-07 17:05:55,2021-11-07 03:21:34
75,39,LHN-305383,,212.31,118.61,29.974,18.00,10.00,TRUE,2024-05-01 17:58:00,2025-03-26 21:21:28
76,39,LHN-197081,0563060099990,1096.27,559.32,8.869,18.00,5.00,TRUE,2024-05-04 06:16:10,2025-12-17 22:28:58
77,40,LHN-847740,2258682926981,1516.00,725.36,42.18,17.00,5.00,TRUE,2022-05-27 20:16:38,2022-10-13 15:37:33
78,40,LHN-812993,,3365.40,1743.73,11.304,18.00,10.00,TRUE,2023-01-25 20:43:32,2024-11-15 20:42:47
79,41,LHN-377256,,983.07,484.27,1.395,12.00,10.00,TRUE,2024-01-09 02:53:27,2024-08-09 09:50:01
80,41,LHN-064671,6497473321956,67.81,41.86,37.577,17.00,0.00,TRUE,2024-04-04 22:47:03,2025-03-17 05:58:50
81,42,LHN-115023,2801590565621,2483.80,1188.42,24.943,17.00,0.00,TRUE,2026-04-20 20:00:55,2026-05-24 17:25:20
82,43,LHN-058147,3815875768675,1719.63,1177.83,4.589,17.00,10.00,TRUE,2020-11-02 03:09:20,2021-10-15 01:51:22
83,43,LHN-794810,4448991784930,3897.16,1958.37,13.508,12.00,0.00,TRUE,2025-11-26 07:01:36,2026-07-23 04:54:53
84,43,LHN-584495,,841.59,470.16,39.293,17.00,10.00,TRUE,2026-08-23 19:13:05,2026-09-06 03:27:36
85,44,LHN-414825,1118744236582,2235.99,1542.06,17.443,18.00,0.00,TRUE,2020-07-24 19:46:05,2022-05-15 15:09:54
86,44,LHN-171212,3167435113495,3751.57,1984.96,22.089,17.00,5.00,TRUE,2023-03-22 11:39:33,2023-08-06 03:20:01
87,45,LHN-529896,2691660585402,3471.18,1896.82,3.197,18.00,0.00,TRUE,2023-04-26 21:35:20,2026-06-06 23:02:50
88,46,LHN-010900,9266362880068,2590.58,1245.47,16.489,18.00,0.00,TRUE,2024-01-04 16:50:53,2025-07-08 15:09:49
89,46,LHN-604641,2792563312369,767.13,511.42,24.296,18.00,10.00,TRUE,2024-05-02 20:27:07,2025-03-09 09:24:11
90,47,LHN-964745,1003071918723,2102.11,1545.67,7.891,18.00,0.00,TRUE,2020-03-23 20:37:23,2021-12-15 13:01:58
91,47,LHN-693667,,3732.21,1768.82,30.401,17.00,5.00,TRUE,2026-01-10 00:10:14,2026-05-25 12:50:31
92,48,LHN-848751,,2084.19,1021.66,20.451,17.00,10.00,TRUE,2021-06-03 23:54:28,2023-11-26 03:26:54
93,49,LHN-380607,7176586368650,1972.36,1133.54,5.943,12.00,5.00,TRUE,2020-03-29 14:04:45,2023-10-18 12:15:35
94,49,LHN-100755,1553382975798,2291.44,1414.47,23.612,18.00,10.00,TRUE,2026-04-26 05:49:05,2026-09-27 18:23:36
95,49,LHN-528566,4789059804505,2928.70,1583.08,26.644,12.00,0.00,TRUE,2023-05-07 00:24:15,2026-07-02 10:51:28
96,50,LHN-609159,8935844921827,1553.87,898.19,12.68,12.00,10.00,TRUE,2025-01-18 11:30:20,2026-10-21 15:19:39
97,50,LHN-016397,1956394850501,3055.12,1407.89,43.058,12.00,5.00,TRUE,2026-02-25 00:55:34,2026-11-24 14:13:09
98,51,LHN-824534,7828882505689,2546.18,1664.17,49.357,17.00,10.00,TRUE,2026-12-04 00:00:09,2026-12-16 12:37:46
99,52,LHN-296374,5393099120243,1078.27,764.73,31.636,18.00,5.00,TRUE,2021-11-10 04:53:13,2022-03-12 06:20:32
100,53,LHN-084998,8997014725765,3529.00,1838.02,38.291,12.00,10.00,TRUE,2021-10-19 12:43:54,2025-02-27 21:02:12
101,53,LHN-261552,2763816728060,2412.74,1619.29,4.916,18.00,0.00,TRUE,2022-05-08 11:38:39,2024-05-05 08:33:51
102,53,LHN-821834,,380.46,233.41,2.612,12.00,10.00,TRUE,2024-10-08 07:38:59,2026-05-12 03:21:51
103,54,LHN-734418,2855778973623,642.52,486.76,47.769,17.00,10.00,FALSE,2021-03-13 11:37:03,2024-08-02 11:06:12
104,55,LHN-947731,2921646419620,821.14,536.69,34.35,18.00,0.00,TRUE,2025-08-25 06:51:34,2025-11-09 04:40:52
105,55,LHN-777708,2170117498903,2368.10,1178.16,41.79,18.00,10.00,TRUE,2025-07-17 09:32:25,2025-10-28 10:17:03
106,55,LHN-297432,,1185.50,654.97,9.068,18.00,10.00,TRUE,2026-09-02 19:37:32,2026-09-05 11:22:51
107,56,LHN-566787,5541403435181,2351.02,1433.55,22.152,12.00,0.00,TRUE,2026-03-24 05:41:31,2026-11-23 12:13:08
108,57,LHN-470138,,1501.07,829.32,45.951,18.00,5.00,TRUE,2026-05-06 05:10:00,2026-09-10 23:14:01
109,57,LHN-231402,1272642084185,824.56,425.03,16.547,12.00,0.00,TRUE,2021-02-10 21:17:24,2022-02-13 19:01:28
110,57,LHN-970128,,2749.57,1278.87,12.044,12.00,10.00,TRUE,2023-10-21 16:35:22,2024-06-23 22:03:51
111,58,LHN-668014,9878352274216,917.10,599.41,6.563,18.00,0.00,TRUE,2023-01-06 03:36:18,2024-05-24 02:20:57
112,58,LHN-872810,7554229265397,549.47,284.70,47.329,17.00,10.00,TRUE,2021-01-23 22:00:33,2025-11-07 04:59:34
113,59,LHN-173568,8880631145309,53.89,25.91,15.253,12.00,0.00,TRUE,2022-05-20 04:41:43,2023-03-15 02:03:04
114,59,LHN-761586,3490729448080,643.62,326.71,15.485,12.00,0.00,TRUE,2023-05-09 06:23:59,2025-12-24 22:49:56
115,59,LHN-027288,6763621412433,2459.21,1373.86,11.5,12.00,10.00,TRUE,2023-04-05 06:31:32,2025-06-29 00:36:07
116,60,LHN-475654,3516503113552,2748.90,1462.18,48.707,12.00,5.00,TRUE,2022-12-03 13:29:37,2023-01-19 18:36:15
117,61,LHN-144442,3427770987725,1262.96,625.23,21.238,17.00,0.00,TRUE,2025-03-08 01:24:09,2025-12-25 23:01:31
118,62,LHN-046155,7565750630585,885.32,427.69,2.266,12.00,0.00,TRUE,2021-12-17 10:55:52,2023-10-31 16:34:42
119,62,LHN-480793,0256578319116,1569.62,765.67,21.305,17.00,0.00,TRUE,2020-09-28 11:54:53,2022-05-12 12:50:35
120,62,LHN-592076,4954494942109,1677.29,864.58,10.082,18.00,5.00,TRUE,2026-05-19 23:25:08,2026-10-21 06:59:11
121,63,LHN-012465,1618877129374,2225.11,1578.09,45.189,12.00,10.00,TRUE,2020-12-27 04:38:13,2025-10-23 23:23:06
122,63,LHN-958088,4975128224132,887.99,460.10,4.536,18.00,5.00,TRUE,2026-05-30 15:31:14,2026-10-30 05:33:14
123,63,LHN-453992,5425790435019,2205.88,1260.50,9.488,17.00,10.00,TRUE,2021-08-09 13:28:11,2023-03-26 16:38:53
124,64,LHN-268605,,946.24,630.83,30.699,17.00,10.00,TRUE,2023-06-05 16:58:16,2026-09-21 05:58:05
125,64,LHN-183735,,3665.32,1851.17,35.76,17.00,5.00,TRUE,2022-05-06 18:14:24,2025-09-05 05:43:10
126,65,LHN-668518,7345301083783,1045.61,607.91,48.519,17.00,5.00,TRUE,2026-05-06 16:39:21,2026-10-06 21:37:22
127,65,LHN-188119,7907557441542,1524.52,696.13,13.56,17.00,0.00,TRUE,2024-06-17 10:13:26,2025-06-12 06:22:00
128,66,LHN-688074,1950825143682,1625.59,869.30,34.183,12.00,0.00,TRUE,2025-03-03 15:52:44,2025-11-26 21:24:56
129,66,LHN-077096,,2433.05,1366.88,23.078,18.00,5.00,TRUE,2023-12-09 01:25:54,2024-03-28 12:33:00
130,67,LHN-427420,4789562548248,669.60,410.80,33.866,12.00,5.00,TRUE,2021-11-14 22:33:38,2024-04-21 09:44:00
131,67,LHN-424093,2396265255568,874.41,624.58,48.001,17.00,10.00,TRUE,2021-06-14 03:42:09,2026-12-16 03:04:52
132,67,LHN-591244,4458705101328,1089.12,745.97,14.352,17.00,10.00,TRUE,2026-01-22 17:50:29,2026-10-23 00:52:11
133,68,LHN-340543,6054302695147,1475.54,696.01,8.052,18.00,5.00,TRUE,2020-12-15 19:13:13,2025-01-03 10:56:09
134,68,LHN-989335,1752092170220,993.85,552.14,6.551,18.00,5.00,TRUE,2020-12-29 00:39:21,2023-07-04 12:09:08
135,68,LHN-087764,8165766249147,1253.86,656.47,37.708,17.00,0.00,TRUE,2023-02-11 12:01:52,2023-11-14 19:39:30
136,69,LHN-299709,,1276.93,686.52,17.187,12.00,10.00,TRUE,2025-04-29 14:01:50,2026-01-06 12:07:13
137,70,LHN-225328,3277389566183,1038.34,726.11,42.171,18.00,0.00,TRUE,2021-12-13 01:39:47,2024-06-18 00:25:05
138,70,LHN-816660,2869275959790,2710.10,1472.88,10.183,18.00,10.00,TRUE,2026-03-27 19:04:45,2026-04-12 10:51:43
139,70,LHN-105599,7269373577035,3391.47,1721.56,28.887,17.00,5.00,TRUE,2026-01-21 09:25:14,2026-08-09 00:33:53
140,71,LHN-483007,0171737004842,658.74,414.30,29.435,17.00,5.00,TRUE,2023-11-02 01:26:12,2024-01-20 12:53:38
141,71,LHN-873513,3663811618313,2126.12,1610.70,25.024,18.00,5.00,TRUE,2023-01-16 17:40:59,2024-01-14 12:53:00
142,71,LHN-969942,5380963092515,2993.23,1534.99,8.906,17.00,5.00,TRUE,2024-02-28 11:42:43,2025-03-20 21:15:16
143,72,LHN-163377,,742.58,542.03,43.997,18.00,0.00,TRUE,2021-03-10 20:11:16,2024-07-22 22:31:08
144,73,LHN-822020,1794793249928,3426.88,1969.47,41.191,17.00,0.00,TRUE,2025-11-01 05:08:13,2026-09-23 14:59:36
145,73,LHN-279958,9201877846307,2690.81,1454.49,17.922,17.00,10.00,TRUE,2024-05-02 22:35:14,2026-02-28 13:53:50
146,73,LHN-923338,9115428218935,2100.65,954.84,9.898,12.00,5.00,TRUE,2022-03-03 15:09:42,2023-02-02 16:26:32
147,74,LHN-677223,8001227697099,3400.77,1899.87,41.792,17.00,5.00,TRUE,2026-12-18 10:09:50,2026-12-20 14:34:20
148,74,LHN-795790,3257482825424,1235.13,620.67,39.943,17.00,10.00,TRUE,2024-05-29 07:55:29,2024-06-21 10:25:16
149,75,LHN-947646,,406.56,290.40,30.846,17.00,10.00,TRUE,2022-05-17 20:01:02,2023-08-30 18:42:30
150,75,LHN-479510,,2606.32,1989.56,47.619,18.00,10.00,TRUE,2021-08-23 08:53:42,2025-12-03 11:03:44
151,75,LHN-210217,,1696.35,897.54,33.505,17.00,0.00,TRUE,2024-05-07 12:33:28,2026-10-09 14:39:44
152,76,LHN-432229,,1625.27,967.42,15.471,17.00,0.00,TRUE,2021-11-25 04:12:51,2022-01-27 12:20:15
153,76,LHN-868053,9939404978206,233.91,154.91,1.27,18.00,0.00,TRUE,2024-06-21 05:10:13,2026-04-12 01:59:38
154,76,LHN-078133,7251280517341,2700.16,1467.48,44.371,18.00,5.00,TRUE,2020-05-08 06:06:05,2025-02-01 14:47:48
155,77,LHN-039200,6931779519117,52.57,29.37,0.526,17.00,0.00,TRUE,2023-10-02 06:20:55,2023-11-08 23:34:47
156,77,LHN-791661,0062818881974,3004.20,1950.78,45.032,18.00,0.00,TRUE,2023-07-18 14:22:59,2024-02-20 17:00:35
157,77,LHN-174868,6322275636215,2382.63,1228.16,49.094,18.00,0.00,TRUE,2026-12-26 03:55:42,2026-12-29 06:41:14
158,78,LHN-259969,8117913657145,2219.71,1283.07,44.811,17.00,10.00,TRUE,2022-04-16 05:39:51,2025-05-19 02:41:05
159,78,LHN-999204,4162845733492,1425.15,1096.27,17.393,12.00,10.00,FALSE,2021-07-22 13:34:14,2022-04-01 18:12:09
160,78,LHN-320718,1580805182266,843.86,562.57,47.128,17.00,0.00,TRUE,2024-04-04 18:43:49,2024-08-13 04:54:55
161,79,LHN-205267,8291933843228,594.44,404.38,28.727,17.00,0.00,TRUE,2024-12-11 13:48:06,2026-08-13 05:21:53
162,80,LHN-017653,6643150552476,1137.61,697.92,5.371,12.00,10.00,TRUE,2025-01-23 10:12:20,2025-11-19 07:19:44
163,80,LHN-621903,0722059214572,1827.76,993.35,28.118,12.00,5.00,TRUE,2023-05-14 17:00:23,2024-10-17 22:38:50
164,80,LHN-809705,4439197489996,1761.91,843.02,13.706,12.00,10.00,TRUE,2024-06-06 08:25:41,2026-02-22 01:44:24
165,81,LHN-825451,8099682000264,529.88,321.14,45.232,17.00,10.00,TRUE,2024-04-11 22:31:53,2025-05-09 20:21:16
166,81,LHN-703072,9295927337839,3069.18,1942.52,12.975,17.00,10.00,TRUE,2021-04-03 08:54:09,2026-07-08 07:06:45
167,81,LHN-037844,7254863025011,414.66,260.79,3.659,18.00,0.00,TRUE,2021-01-20 17:45:11,2024-06-02 16:06:24
168,82,LHN-110984,0316224939942,1528.74,967.56,45.328,18.00,0.00,FALSE,2024-09-19 12:34:06,2025-02-19 13:22:29
169,82,LHN-856587,6272434697222,2148.39,1386.06,16.786,18.00,0.00,TRUE,2020-07-08 14:11:21,2020-12-14 17:09:46
170,83,LHN-273985,3224028845604,101.75,78.27,18.489,17.00,0.00,TRUE,2021-01-07 08:18:07,2026-09-23 07:58:21
171,83,LHN-322940,8373883672490,1866.08,1304.95,9.923,17.00,0.00,TRUE,2022-02-02 20:46:04,2022-10-29 18:49:01
172,84,LHN-968433,9096071403124,439.93,257.27,40.026,12.00,10.00,TRUE,2022-12-23 10:33:51,2025-03-08 15:06:48
173,84,LHN-034318,0954828018979,1352.38,634.92,24.79,12.00,5.00,TRUE,2023-06-04 12:07:39,2025-03-24 23:49:05
174,85,LHN-824993,5889848767796,3040.55,1778.10,48.831,17.00,10.00,TRUE,2024-11-20 09:30:48,2026-10-12 08:45:28
175,86,LHN-485526,5974734773804,916.04,558.56,1.369,12.00,5.00,TRUE,2022-11-19 04:17:50,2023-09-25 03:49:14
176,86,LHN-565796,5646614998545,2084.13,1521.26,3.297,12.00,5.00,TRUE,2023-12-23 06:49:17,2024-12-11 04:35:41
177,86,LHN-057708,4518030940419,959.76,666.50,13.813,12.00,0.00,TRUE,2020-04-03 15:35:27,2021-03-03 02:57:20
178,87,LHN-781024,7602632101686,2799.66,1385.97,42.916,17.00,5.00,TRUE,2024-01-21 08:10:27,2025-10-18 15:07:49
179,87,LHN-399102,8659447739084,1325.84,622.46,34.063,18.00,10.00,TRUE,2022-05-17 16:48:31,2024-08-30 16:34:42
180,88,LHN-725276,,2601.68,1461.62,38.136,12.00,0.00,TRUE,2021-05-24 21:37:58,2023-08-29 22:47:38
181,88,LHN-998857,,1476.72,777.22,25.281,17.00,5.00,TRUE,2023-09-24 15:51:31,2024-10-03 11:25:26
182,88,LHN-530028,4948270634173,1586.92,1102.03,20.935,17.00,10.00,TRUE,2026-11-22 21:41:50,2026-11-23 12:35:52
183,89,LHN-232031,5707961654598,818.75,433.20,7.965,12.00,0.00,TRUE,2022-11-28 18:14:53,2026-10-20 09:34:19
184,90,LHN-438749,4412173327727,269.50,158.53,32.832,17.00,0.00,TRUE,2025-06-24 19:27:49,2026-06-14 20:43:31
185,90,LHN-799932,1777764640955,686.55,371.11,7.595,18.00,10.00,TRUE,2020-06-16 23:19:05,2026-02-06 17:37:45
186,91,LHN-141733,2241521153006,1771.29,1000.73,7.372,17.00,5.00,TRUE,2026-05-27 09:11:41,2026-10-06 18:27:43
187,91,LHN-409534,1310291490213,3257.01,1732.45,17.004,17.00,10.00,TRUE,2026-08-01 04:56:20,2026-08-30 00:22:17
188,92,LHN-424293,2021243183037,360.16,166.74,4.219,17.00,5.00,TRUE,2025-02-21 20:29:12,2025-08-07 05:34:46
189,92,LHN-838174,4385621818026,2344.97,1274.44,43.979,17.00,0.00,TRUE,2024-03-12 00:57:50,2025-01-11 19:33:52
190,92,LHN-999365,,256.91,121.76,19.468,18.00,5.00,TRUE,2024-01-22 05:38:39,2024-09-05 09:12:30
191,93,LHN-468939,0441666390720,518.09,325.84,21.413,12.00,10.00,TRUE,2021-01-24 01:14:57,2026-05-02 13:09:13
192,93,LHN-061444,,3134.40,1996.43,32.378,18.00,10.00,TRUE,2021-09-15 20:48:19,2024-06-06 02:55:48
193,94,LHN-810046,9255673930494,2705.58,1946.46,41.338,18.00,5.00,FALSE,2021-01-21 02:35:13,2023-08-26 07:00:40
194,95,LHN-837338,2718384294479,3073.64,1592.56,12.854,17.00,0.00,TRUE,2026-07-30 07:57:41,2026-08-29 22:12:42
195,95,LHN-759108,6465448454992,2718.89,1408.75,38.894,18.00,5.00,TRUE,2022-01-12 10:53:04,2022-03-25 05:23:32
196,96,LHN-764566,9484190705951,1078.66,749.07,11.17,18.00,0.00,TRUE,2020-02-12 17:01:31,2026-03-22 23:57:04
197,96,LHN-566530,3482252263919,431.48,211.51,37.962,12.00,0.00,TRUE,2024-08-18 17:17:44,2024-10-27 03:59:09
198,96,LHN-344703,9162195171970,941.64,636.24,16.412,12.00,10.00,TRUE,2025-04-12 02:03:49,2025-06-18 04:00:07
199,97,LHN-387219,0171936002915,1845.98,1079.52,38.879,18.00,10.00,TRUE,2023-04-26 09:33:00,2024-11-11 15:17:50
200,97,LHN-684173,,2300.30,1597.43,37.581,17.00,5.00,TRUE,2021-01-30 05:44:08,2021-11-14 08:19:01
201,98,LHN-207207,2889644055724,240.37,178.05,21.07,17.00,10.00,TRUE,2025-06-07 02:16:10,2025-10-27 08:35:23
202,98,LHN-994648,5075163084674,2178.87,1379.03,17.35,18.00,5.00,TRUE,2023-05-28 05:34:15,2023-08-30 17:00:32
203,99,LHN-219083,2504162771603,1640.39,781.14,33.703,12.00,0.00,TRUE,2025-01-10 13:31:50,2026-04-26 00:38:44
