id,return_id,order_item_id,quantity,action,exchange_variant_id,unit_refund_amount
226,164,65209,2,refund,,1380.77
227,165,58370,2,refund,,1403.13
228,166,126027,1,refund,,509.32
229,167,110650,1,exchange,195,0.00
230,168,62177,1,refund,,984.70
231,169,125460,3,exchange,597,0.00
232,170,139571,7,exchange,291,0.00
233,171,40020,1,refund,,1639.82
234,171,40019,6,exchange,445,0.00
235,172,61547,5,refund,,1476.81
236,173,128613,5,refund,,410.74
237,173,128612,2,refund,,296.78
240,176,147141,1.000,refund,,2612.73
241,177,101717,2,refund,,1071.58
242,177,101718,5,refund,,2426.65
243,178,26926,3,refund,,1049.51
244,179,102891,6,exchange,48,0.00
245,180,44579,5,refund,,1148.81
246,181,95153,1,refund,,1330.20
247,181,95154,9,refund,,2428.81
248,182,61247,6,exchange,791,0.00
249,183,134110,1,refund,,2763.78
250,184,133374,1,exchange,516,0.00
251,184,133375,1,refund,,2845.64
252,185,120931,3,refund,,2369.21
253,186,113809,3,refund,,1611.17
254,186,113808,8,refund,,836.28
255,187,111834,6,exchange,414,0.00
256,188,148618,3,refund,,1425.34
257,188,148620,5,refund,,1569.62
258,189,46931,2,refund,,973.54
259,189,46929,5,refund,,1586.92
260,190,83229,2,refund,,259.10
261,191,75188,2,exchange,796,0.00
262,192,85939,4,refund,,1735.78
263,193,65080,6,refund,,1907.91
264,194,78041,2,refund,,1458.18
265,195,111859,2,refund,,2334.45
266,195,111858,3,exchange,435,0.00
267,196,19180,2,refund,,1563.67
268,197,64041,2,refund,,1274.13
269,198,56023,3,refund,,1310.13
270,199,136379,2,refund,,2495.19
271,200,108312,8,refund,,2149.95
272,200,108314,4,refund,,439.93
273,201,93998,1.000,refund,,1891.34
274,202,121093,3,exchange,540,0.00
275,203,143048,2,exchange,955,0.00
276,203,143046,7,refund,,3983.40
277,204,54582,3,exchange,311,0.00
278,205,22174,1.000,exchange,737,0.00
279,206,1804,1,refund,,2428.81
280,206,1802,3,exchange,568,0.00
281,207,26459,2,exchange,466,0.00
282,207,26458,4,refund,,3243.15
283,208,16211,4,exchange,314,0.00
284,208,16212,4,refund,,2433.05
285,209,133434,1,refund,,2189.02
287,211,104162,2,refund,,3157.69
288,212,143248,4,refund,,3507.03
289,213,79443,1,exchange,948,0.00
290,214,142270,3,exchange,729,0.00
291,215,46714,5,exchange,951,0.00
292,216,54550,1,refund,,2217.71
293,217,60051,2,exchange,912,0.00
294,218,148955,1,exchange,546,0.00
295,219,38624,6,refund,,2513.67
296,220,49651,1,exchange,243,0.00
297,221,55573,1,refund,,212.31
298,222,104783,2,refund,,1446.19
299,222,104784,1,refund,,1420.38
300,223,112984,2,refund,,2118.14
301,223,112983,2,refund,,531.03
302,224,55351,1,exchange,170,0.00
303,224,55352,3,refund,,2433.05
304,225,2102,2,exchange,298,0.00
305,226,146446,1,refund,,1359.18
306,227,38617,2,refund,,3004.20
307,228,101837,6,refund,,1677.29
308,228,101836,3,refund,,1165.56
309,229,109507,6,refund,,3796.83
310,229,109510,2,refund,,1796.67
311,230,149124,1,exchange,328,0.00
312,230,149123,1.000,refund,,2785.44
313,231,84944,2,refund,,806.12
314,231,84942,1,refund,,1744.87
315,232,53168,1.000,exchange,335,0.00
316,233,14775,6,exchange,512,0.00
317,234,6109,3,refund,,1137.61
318,235,122275,1,refund,,3732.21
319,235,122277,1.000,exchange,386,0.00
320,236,6404,9,refund,,3004.20
321,237,113413,2,refund,,1541.68
322,238,88661,1,refund,,274.35
323,238,88662,2,refund,,3447.79
324,239,30919,6,refund,,1284.51
325,240,73843,6,refund,,713.36
326,241,66447,1.000,refund,,1078.27
327,242,5150,6,exchange,348,0.00
330,245,48893,9,exchange,397,0.00
331,246,146453,3,exchange,178,0.00
332,247,125523,1.000,exchange,771,0.00
333,248,27045,5,refund,,2736.28
334,249,36462,3,refund,,1517.55
335,250,78846,3,refund,,1137.61
336,250,78847,4,refund,,162.93
337,251,34076,1.000,refund,,1776.02
338,251,34077,3,refund,,2133.34
339,252,74890,7,exchange,235,0.00
340,252,74892,6,exchange,682,0.00
341,253,28559,6,exchange,333,0.00
342,254,143699,1.000,refund,,431.13
343,255,124957,3,refund,,256.91
344,256,98616,8,refund,,272.66
345,256,98615,1,exchange,777,0.00
346,257,119649,10,refund,,2874.99
347,258,101536,1,refund,,1742.58
348,259,109731,1.000,refund,,1636.08
349,259,109733,2,refund,,500.79
350,260,17099,4,refund,,588.80
351,261,57379,1.000,refund,,2217.71
352,261,57380,4,exchange,515,0.00
353,262,134047,10,exchange,666,0.00
354,263,142679,7,refund,,3004.20
355,263,142681,6,refund,,594.44
356,264,73934,4,refund,,407.01
357,264,73933,3,refund,,3785.94
358,265,99660,4,exchange,363,0.00
359,266,14326,1,refund,,2954.61
360,267,48219,4,refund,,2326.21
361,267,48217,1.000,refund,,3102.21
362,268,34816,1.000,exchange,180,0.00
363,268,34818,4,exchange,12,0.00
364,269,93305,1.000,exchange,596,0.00
365,270,76257,3,refund,,848.55
366,270,76256,2,exchange,613,0.00
367,271,91570,5,refund,,1309.93
368,271,91571,2,refund,,885.32
369,272,136425,2,refund,,2219.20
370,272,136426,1,refund,,919.27
371,273,54560,9,refund,,2328.88
372,273,54561,4,refund,,2546.56
373,274,33661,1,refund,,1781.99
374,274,33660,3,exchange,766,0.00
375,275,29489,1,exchange,828,0.00
376,276,107137,4,refund,,1553.87
379,278,93632,8,refund,,477.39
380,278,93633,2,refund,,839.41
381,279,71345,1,refund,,212.31
382,280,34664,8,refund,,1048.92
383,280,34665,4,refund,,3157.67
384,281,13303,9,refund,,2315.50
385,282,47874,1,exchange,101,0.00
386,283,12778,1,exchange,976,0.00
387,283,12779,4,exchange,615,0.00
388,284,91049,5,refund,,798.36
389,285,19443,1.000,refund,,1501.07
390,285,19444,3,refund,,3083.67
391,286,47740,1,refund,,1149.60
392,287,100499,2,refund,,1724.28
393,287,100498,1.000,refund,,1023.33
394,288,7709,4,exchange,514,0.00
395,288,7710,1.000,refund,,1611.17
396,289,1911,2,refund,,2844.46
397,290,3972,4,exchange,125,0.00
398,291,81952,2,refund,,1874.85
399,292,58859,2,refund,,1352.38
400,292,58861,5,refund,,3733.72
401,293,125463,4,refund,,1019.75
402,293,125464,3,exchange,479,0.00
403,294,112467,4,refund,,2476.76
404,294,112466,4,refund,,1569.81
405,295,92075,3,refund,,487.86
406,296,111935,7,refund,,2476.49
407,297,51460,5,refund,,767.13
408,297,51461,6,exchange,229,0.00
409,298,114838,5,refund,,390.46
410,298,114837,2,refund,,616.77
411,299,129286,2,refund,,1211.36
412,300,75081,6,exchange,157,0.00
413,301,129301,1,exchange,382,0.00
414,302,149115,1,refund,,1907.91
415,303,14792,1.000,refund,,2066.47
416,303,14794,5,refund,,1489.60
417,304,23303,1,refund,,2758.20
418,304,23302,1.000,refund,,1360.44
419,305,34490,1,refund,,1970.92
420,306,13633,4,exchange,396,0.00
421,307,314,5,exchange,1006,0.00
422,307,311,5,refund,,1049.34
423,308,117274,5,refund,,2363.80
424,308,117275,2,refund,,3157.67
425,309,136009,4,refund,,1907.91
426,309,136010,4,refund,,1744.87
427,310,122015,5,refund,,1052.21
428,311,58585,9,refund,,1936.17
429,311,58586,4,refund,,283.33
430,312,146685,7,refund,,1896.85
431,313,99667,5,refund,,924.90
432,314,101173,4,refund,,71.33
433,314,101174,1.000,refund,,1571.43
434,315,106447,4,exchange,408,0.00
435,316,117452,2,refund,,1610.84
436,317,125760,2,refund,,410.74
437,318,130038,1,refund,,391.96
438,318,130040,5,refund,,586.74
439,319,108942,2,refund,,2979.20
440,320,110681,5,refund,,1501.07
441,320,110682,3,exchange,957,0.00
442,321,40168,1,refund,,3373.90
443,321,40169,1,refund,,1185.69
444,322,107815,8,refund,,718.84
445,323,29967,2,refund,,2877.89
446,323,29965,2,refund,,2115.76
447,324,70701,6,refund,,1475.97
448,324,70697,2,refund,,1486.53
449,325,4430,6,refund,,2476.49
450,326,55996,8,refund,,1480.82
451,326,55997,1,refund,,2399.92
453,328,120039,1,exchange,909,0.00
454,328,120038,9,refund,,624.14
455,329,22823,4,refund,,1724.28
456,330,109016,6,refund,,2611.58
457,331,9405,2,exchange,200,0.00
458,332,58823,3,exchange,966,0.00
459,333,148844,3,refund,,1035.00
460,334,56052,2,refund,,537.27
461,335,69542,1.000,refund,,1832.14
462,336,29458,4,refund,,477.39
463,336,29456,1.000,refund,,1042.47
464,337,1305,5,refund,,2249.45
465,338,63093,7,refund,,36.99
466,339,98239,9,refund,,1476.72
467,339,98236,5,refund,,704.36
468,340,60887,1,refund,,542.80
469,341,88598,2,refund,,642.52
470,341,88600,7,refund,,544.34
471,342,305,3,refund,,2483.80
472,343,92355,5,refund,,2692.10
473,343,92356,1,refund,,3055.12
474,344,135795,4,refund,,738.01
475,345,23977,1,exchange,940,0.00
476,345,23978,4,exchange,833,0.00
477,346,68011,8,exchange,84,0.00
478,347,71097,3,exchange,801,0.00
479,347,71095,5,exchange,46,0.00
480,348,131851,1,refund,,1752.23
481,349,58670,1,exchange,373,0.00
482,350,145318,7,refund,,3036.68
483,351,127845,1,refund,,2118.14
484,352,44616,1,refund,,1075.09
485,352,44617,5,exchange,330,0.00
486,353,14547,5,refund,,364.81
487,354,136649,3,exchange,856,0.00
488,354,136648,2,exchange,763,0.00
489,355,137846,1.000,refund,,1654.94
490,355,137842,2,refund,,1109.29
491,356,55671,7,exchange,679,0.00
492,357,60921,2,refund,,1495.48
493,357,60919,3,refund,,496.50
494,358,145681,6,refund,,103.95
495,359,148976,1.000,refund,,3733.72
496,360,69251,2,refund,,1052.21
497,360,69250,1.000,refund,,751.10
498,361,15409,5,refund,,2422.30
499,362,12945,3,refund,,1752.23
500,363,136017,3,refund,,2650.73
501,364,79652,2,refund,,2403.32
502,365,61195,3,refund,,1532.52
503,365,61196,3,refund,,769.68
504,366,88798,2,exchange,615,0.00
505,367,122613,2,refund,,2641.36
506,368,52686,6,refund,,1350.67
507,368,52684,8,refund,,1744.87
508,369,35226,7,exchange,794,0.00
509,370,88173,2,refund,,1639.82
510,371,107967,3,refund,,500.79
511,372,11713,1,exchange,435,0.00
512,372,11712,9,refund,,718.42
513,373,127894,2,refund,,555.33
514,374,139229,1,refund,,353.21
515,374,139231,3,refund,,444.48
516,375,79251,1,refund,,817.89
517,375,79250,3,refund,,2223.68
518,376,27217,4,refund,,770.28
519,377,10233,1,refund,,3194.59
520,377,10232,4,refund,,2459.21
521,378,99678,1.000,exchange,711,0.00
522,378,99679,3,refund,,3365.40
523,379,43129,1.000,refund,,811.16
524,379,43128,4,refund,,2778.30
525,380,50193,1.000,refund,,1896.85
526,380,50192,3,refund,,1997.91
527,381,85880,3,refund,,242.94
528,382,123456,5,exchange,860,0.00
529,382,123457,1.000,refund,,705.44
530,383,147837,3,refund,,323.50
531,384,135104,2,refund,,2637.92
532,385,124661,6,refund,,909.81
533,386,5014,1,refund,,1136.58
534,387,39537,2,refund,,2540.37
535,387,39535,4,exchange,203,0.00
536,388,113262,2,refund,,265.57
537,389,28107,1,exchange,197,0.00
538,390,22624,3,refund,,1828.85
539,390,22623,6,refund,,2487.22
540,391,89604,6,refund,,1446.19
541,391,89603,3,exchange,173,0.00
542,392,138062,3,exchange,133,0.00
543,393,134764,2,refund,,642.52
544,394,91332,5,refund,,3063.56
545,394,91331,1.000,refund,,233.91
546,395,28602,1,refund,,1389.22
547,396,20377,8,exchange,291,0.00
548,396,20380,3,refund,,2378.94
549,397,63695,4,refund,,3102.51
550,398,73491,4,refund,,2780.63
551,398,73492,9,exchange,81,0.00
552,399,137764,8,refund,,101.75
553,399,137765,1,refund,,2953.89
554,400,22802,2,refund,,1282.94
555,400,22801,2,exchange,109,0.00
556,401,98337,2,refund,,2866.84
557,402,87580,6,refund,,1028.21
558,402,87581,8,refund,,3680.63
559,403,85258,4,refund,,67.81
560,403,85261,1,refund,,2718.89
561,404,114918,8,refund,,2611.58
562,405,107044,2,refund,,1598.51
563,405,107045,7,refund,,864.70
564,406,89092,3,exchange,801,0.00
565,407,85316,9,refund,,3757.03
566,407,85314,2,exchange,257,0.00
567,408,77847,6,exchange,343,0.00
568,409,4880,2,exchange,300,0.00
569,409,4881,4,refund,,916.04
570,410,68724,10,refund,,1536.13
571,411,122359,6,refund,,143.69
572,412,49800,6,refund,,1462.39
573,413,134154,4,exchange,637,0.00
574,414,59286,2,refund,,3391.47
575,414,59287,1,refund,,909.81
576,415,13877,3,refund,,2642.82
577,416,99632,2,refund,,2787.35
578,416,99633,7,refund,,811.16
579,417,11064,3,exchange,649,0.00
580,418,114490,9,refund,,2843.46
581,418,114493,8,refund,,3892.05
582,419,129492,5,refund,,2417.32
583,420,118621,6,refund,,2342.94
584,420,118620,2,refund,,2694.24
585,421,129741,1,refund,,2974.82
586,421,129742,4,exchange,218,0.00
587,422,47826,4,refund,,2677.23
588,423,76744,4,refund,,2100.65
589,423,76743,2,refund,,1284.51
590,424,66520,1.000,exchange,648,0.00
591,425,132710,2,refund,,1827.76
592,426,128819,5,refund,,770.28
593,426,128821,3,refund,,1724.28
594,427,32722,5,refund,,1078.66
595,427,32724,4,refund,,2538.86
596,428,63828,5,exchange,788,0.00
597,429,30505,4,refund,,1038.34
598,429,30504,1,refund,,2023.30
599,430,110380,2,exchange,865,0.00
600,431,125722,1,refund,,134.34
601,431,125721,8,refund,,2326.21
602,432,32365,3,refund,,2902.38
603,432,32364,2,refund,,2164.79
604,433,21877,1.000,exchange,367,0.00
605,433,21879,1,refund,,3166.59
606,434,20261,3,refund,,1463.75
607,435,129474,1,exchange,352,0.00
608,436,85854,5,refund,,1686.84
609,437,148730,1.000,refund,,2542.44
610,437,148728,2,refund,,1826.88
611,438,113414,4,refund,,2301.52
612,438,113415,5,refund,,2116.68
613,439,36435,2,refund,,69.33
614,440,23849,2,refund,,2916.30
615,440,23848,7,exchange,983,0.00
616,441,137530,3,refund,,274.35
617,442,51606,3,refund,,3138.93
618,443,13488,2,refund,,3194.59
619,444,8172,9,refund,,162.93
620,444,8173,5,refund,,2412.74
621,445,65043,3,refund,,1598.51
622,446,110993,3,exchange,397,0.00
623,446,110991,2,exchange,46,0.00
624,447,15384,2,exchange,415,0.00
625,447,15385,6,refund,,2417.32
626,448,3571,1,refund,,2398.56
627,449,130208,5,refund,,1611.17
628,449,130206,7,refund,,3180.67
629,450,84030,3,refund,,2328.88
630,450,84028,3,exchange,17,0.00
631,451,5414,5,exchange,871,0.00
632,452,99649,1,refund,,2036.26
633,453,29334,5,refund,,2611.58
634,454,97417,6,refund,,3045.41
635,454,97418,1,refund,,2844.46
636,455,81992,1.000,refund,,3755.98
637,456,126087,10,refund,,1834.83
638,456,126086,4,refund,,2291.44
639,457,86229,1,refund,,543.46
640,457,86227,4,exchange,485,0.00
641,458,128184,4,refund,,1625.59
642,458,128185,1,refund,,1569.62
643,459,121779,4,refund,,1483.18
644,460,128762,5,refund,,2476.76
645,461,40583,2,refund,,2508.07
646,462,78575,3,refund,,1475.97
647,463,28451,7,refund,,776.14
648,464,146783,2,refund,,2734.36
649,465,12343,3,refund,,2665.92
650,465,12342,6,exchange,430,0.00
651,466,99883,4,refund,,1243.36
652,467,20270,5,refund,,588.46
653,468,14962,1,refund,,2554.55
654,469,57194,1,refund,,3194.59
655,470,37206,2,exchange,287,0.00
656,471,27125,3,refund,,101.75
657,471,27126,3,exchange,731,0.00
658,472,19494,7,refund,,1205.82
659,473,125888,3,exchange,347,0.00
660,474,16124,3,exchange,145,0.00
661,474,16123,8,refund,,400.85
662,475,47355,2,refund,,1153.05
663,476,115339,2,refund,,3495.43
664,477,34821,3,exchange,121,0.00
665,478,61021,4,refund,,887.99
666,478,61024,1,refund,,2557.48
667,479,56242,2,refund,,1569.81
668,479,56241,2,refund,,2462.33
669,480,22240,2,refund,,380.46
670,480,22241,1.000,exchange,508,0.00
671,481,80034,3,refund,,2219.20
672,481,80035,4,refund,,3554.57
673,482,25679,1.000,exchange,185,0.00
674,483,13340,1,refund,,2152.22
675,484,74004,4,refund,,3058.37
676,484,74003,2,refund,,1954.94
677,485,89849,2,refund,,347.44
678,485,89847,1.000,refund,,2217.71
679,486,21596,6,refund,,45.75
680,487,51434,4,exchange,670,0.00
681,487,51433,2,refund,,1636.08
682,488,96300,3,exchange,540,0.00
683,489,61534,3,exchange,134,0.00
684,490,88405,2,refund,,522.87
685,491,50329,2,exchange,708,0.00
686,491,50330,2,refund,,3683.74
687,492,100134,3,refund,,1485.46
688,492,100133,3,exchange,688,0.00
689,493,127485,3,refund,,2240.19
690,494,118103,5,refund,,522.87
691,495,9797,7,refund,,1874.85
692,496,79921,1,refund,,704.36
693,496,79920,7,refund,,2460.16
694,497,96187,4,exchange,274,0.00
695,497,96186,9,refund,,2476.76
696,498,70662,2,refund,,3084.23
697,498,70665,1,refund,,1380.77
698,499,85878,1,refund,,1472.59
699,500,111512,1,refund,,1827.76
700,500,111514,2,exchange,303,0.00
701,501,137163,2,refund,,2462.33
702,501,137166,1,exchange,775,0.00
703,502,123944,1,exchange,584,0.00
704,502,123943,2,exchange,146,0.00
705,503,74593,3,refund,,2506.19
706,503,74590,3,exchange,834,0.00
707,504,102220,5,exchange,699,0.00
709,506,36577,3,refund,,885.32
710,507,118078,6,refund,,1469.13
711,508,108309,4,refund,,2149.95
712,508,108307,2,exchange,35,0.00
713,509,68205,1,refund,,2491.36
714,509,68204,1.000,refund,,3069.18
715,510,48940,1.000,exchange,730,0.00
716,510,48941,1,refund,,2866.84
717,511,117859,4,refund,,736.62
718,511,117858,3,exchange,572,0.00
719,512,93804,3,refund,,2843.46
720,513,45951,5,refund,,818.75
721,514,11542,5,refund,,2518.29
722,515,116034,6,refund,,1025.37
723,515,116033,1.000,refund,,1821.20
724,516,150286,2,exchange,1005,0.00
725,517,72175,9,refund,,1469.11
726,518,137314,4,exchange,237,0.00
727,519,113419,2,exchange,897,0.00
728,520,77253,1,exchange,473,0.00
729,520,77252,5,refund,,642.52
730,521,20720,1,refund,,1981.38
731,521,20721,8,refund,,3166.59
732,522,39764,3,refund,,2282.68
733,523,149473,6,refund,,1563.67
734,523,149474,1,exchange,36,0.00
735,524,71162,4,refund,,2076.65
736,524,71161,5,refund,,691.74
737,525,57222,1,refund,,2300.30
738,525,57220,2,refund,,873.94
739,526,62835,1,refund,,1920.15
740,527,104899,1.000,refund,,983.07
741,528,31158,2,refund,,3143.80
742,528,31157,3,exchange,990,0.00
743,529,124372,6,refund,,69.33
744,530,56858,6,exchange,765,0.00
745,530,56859,2,refund,,3483.18
746,531,138078,1.000,exchange,790,0.00
747,531,138079,5,refund,,1211.36
748,532,11963,4,refund,,617.90
749,533,7452,1,exchange,276,0.00
750,534,58439,1,refund,,1432.75
751,535,9246,2,refund,,174.99
752,536,75069,1,refund,,1252.68
753,537,3888,3,refund,,2928.56
754,537,3886,8,refund,,1485.46
755,538,116255,4,refund,,3321.81
756,539,86933,7,refund,,401.36
757,539,86932,8,refund,,2763.78
758,540,7210,7,refund,,1094.61
759,540,7208,6,refund,,1370.36
760,541,106685,8,refund,,1476.72
761,542,148482,4,refund,,2249.45
762,543,25175,4,refund,,45.56
763,544,16623,4,refund,,811.16
765,546,6893,6,exchange,744,0.00
766,547,100127,1,exchange,756,0.00
767,547,100125,1.000,refund,,2619.07
768,548,29956,1,refund,,2928.56
769,549,46760,2,refund,,172.82
770,549,46761,1,exchange,593,0.00
771,550,133408,1.000,exchange,267,0.00
772,550,133404,4,refund,,1729.09
773,551,53969,1,refund,,64.49
774,551,53968,4,refund,,2023.30
775,552,89738,2,refund,,3447.79
776,552,89739,3,refund,,1981.38
