product_variant_id,attribute_id,value
75,6,343.9
75,8,Náilon
76,4,215.6
77,5,373.5
78,3,86.1
78,6,316.4
78,2,GG
79,6,416.8
79,8,Inox
80,3,299.9
81,5,392.8
82,7,false
82,6,280.1
83,6,163.6
84,6,179.2
84,1,Verde
85,6,205.3
85,3,390.4
85,4,2278.7
86,2,G
87,4,175.1
87,1,Cinza
87,8,asdf
88,5,186.3
88,2,XG
88,1,Verde
89,1,Preto
89,7,true
90,1,Cinza
91,3,22.6
91,6,310.9
92,7,false
93,5,339.6
93,1,Azul
93,3,347.3
94,4,107.6
94,2,M
95,4,283.1
95,3,136.8
96,4,356.2
96,3,119.0
97,1,Cinza
98,4,465.0
99,6,174.3
99,4,281.6
100,8,Inox
101,4,300.0
102,5,129.7
102,8,PVC
102,6,24.7
103,3,281.4
103,1,Azul
103,4,110.6
104,4,159.1
104,6,203.3
105,1,Preto
106,8,Inox
106,4,480.8
106,6,356.9
107,3,145.4
108,2,GG
108,7,true
108,6,495.9
109,6,249.4
109,1,Preto
110,4,475.9
110,7,false
111,8,Alumínio
111,6,286.0
112,5,203.8
112,7,false
113,6,89.9
114,3,xxx
114,1,Azul
115,2,M
115,4,352.5
116,4,374.1
117,8,Alumínio
117,3,368.1
117,2,XG
118,7,false
118,5,436.1
118,6,379.3
119,4,142.0
119,6,253.4
119,5,test
120,3,484.3
121,1,Preto
121,4,32.9
121,5,352.6
122,7,false
122,6,65.9
123,4,15.3
124,5,162.1
124,3,28.8
124,7,true
125,7,false
125,8,Fibra de Vidro
126,5,239.0
126,3,442.2
126,2,P
127,4,27.4
128,3,231.5
128,7,false
129,5,488.8
129,4,206.9
129,3,181.4
130,6,426.0
130,4,0.4
130,3,455.5
131,6,158.5
132,1,Branco
133,4,52.
133,2,GG
134,6,57.8
134,8,Fibra de Vidro
134,4,244.4
135,1,Branco
136,6,187.4
136,3,357.8
136,4,265.9
137,2,GG
137,5,482.8
137,7,false
138,4,211.6
139,1,Azul
139,5,468.5
139,6,301.5
140,4,-
140,8,Alumínio
141,3,49.2
141,2,XG
141,8,Alumínio
142,1,Verde
142,2,XG
143,6,273.7
143,7,false
143,2,GG
144,8,Náilon
144,3,238.1
144,1,Vermelho
145,1,Preto
146,3,38.8
146,8,PVC
146,4,367.0
147,3,308.2
148,4,282.2
148,5,315.8
148,2,XG
149,6,270.4
149,2,XG
150,8,Fibra de Vidro
151,2,XG
152,2,GG
152,5,272.8
152,4,322.4
153,1,Cinza
153,4,402.0
153,3,41.1
154,2,M
155,7,true
156,5,325.1
157,5,420.0
157,6,test
157,7,true
158,2,M
159,1,Vermelho
160,2,P
160,5,264.8
161,7,false
162,7,false
162,2,G
163,4,38.0
164,5,235.8
165,1,Preto
165,8,Fibra de Vidro
166,1,Cinza
166,6,417.0
166,5,436.4
167,4,421.2
167,8,Náilon
168,3,365.6
168,7,true
169,2,M
169,3,352.5
170,1,Branco
170,8,??
171,3,147.0
172,3,493.6
172,5,295.4
173,2,GG
174,3,16.3
174,4,56.9
175,8,Inox
176,2,TBD
176,8,Fibra de Vidro
177,5,163.4
177,2,G
177,7,false
178,1,Verde
178,8,Inox
179,7,false
179,1,Preto
179,4,298.9
180,5,421.9
180,6,323.0
181,2,G
182,7,false
183,6,406.1
183,1,Cinza
183,2,XG
184,8,Alumínio
184,4,22.3
185,4,322.4
185,3,419.9
185,5,312.1
186,7,false
186,8,Inox
186,4,327.3
187,4,498.9
187,3,67.1
187,8,Inox
188,4,351.6
188,6,-
188,1,Vermelho
189,3,291.1
189,8,PVC
189,1,Vermelho
190,2,G
190,8,Alumínio
190,5,305.3
191,1,Preto
191,4,320.6
192,1,Branco
192,4,444.8
192,3,323.4
193,3,258.6
193,7,true
194,8,PVC
194,1,Vermelho
195,3,58.3
195,4,344.8
195,7,false
196,7,true
196,8,Alumínio
197,6,340.8
197,5,215.9
198,4,447.7
199,1,Verde
199,3,103.5
200,3,24.2
200,4,138.7
200,8,Náilon
201,2,GG
201,4,37.3
202,3,376.1
202,8,Alumínio
202,7,false
203,4,99.1
204,4,TODO
204,6,10.0
204,5,455.8
205,3,277.4
205,7,true
206,8,Fibra de Vidro
207,4,205.6
208,5,385.0
208,3,423.8
208,7,false
209,3,424.6
209,8,Fibra de Vidro
210,6,276.9
210,7,true
210,2,M
211,2,G
211,3,436.0
211,5,388.9
212,8,PVC
212,7,false
213,3,66.5
213,4,479.4
213,5,42.1
214,7,true
214,4,392.9
215,1, Vermelho
215,8,Inox
215,3,259.4
216,7,true
217,1,Verde
218,1,Cinza
218,7,false
219,2,P
219,4,245.1
220,6,228.3
221,5,362.5
221,4,220.4
221,8,Alumínio
222,3,TBD
222,2,G
222,6,334.8
223,4,132.0
223,5,83.2
224,8,Fibra de Vidro
224,7,false
225,7,false
225,5,108.1
225,1,Azul
226,8,PVC
226,2,P
226,6,137.3
227,4,N/A
227,8,Náilon
227,7,true
228,3,144.3
228,6,94.2
228,2,P
229,8,Inox
229,4,387.7
230,6,211.8
230,4,120.4
231,2,P
231,7,false
232,8,PVC
232,3,294.5
232,5,247.5
233,1,Vermelho
233,3,155.0
233,2,M
234,3,203.5
235,1,Branco
235,2,GG
235,3,192.5
236,5,277.8
236,4,238.0
236,7,true
237,8,Inox
237,4,137.4
237,5,351.8
238,8,Fibra de Vidro
239,2,n/a
240,4,70.2
240,5,4.1
241,1,Vermelho
241,4,211.8
241,3,465.6
242,6,140.4
243,6,195.3
243,3,372.8
244,1,Verde
244,4,354.7
244,5,185.7
245,2,GG
245,4,259.7
245,8,Náilon
246,4,65.0
246,7,true
246,6,473.8
247,4,n/a
247,7,false
248,2,G
249,7,false
249,3,61.7
249,6,106.0
250,3,244.4
251,1,Cinza
251,8,Náilon
251,3,46.9
252,1,Cinaz
252,4,110.4
252,8,Alumínio
253,5,256.5
253,8,PVC
254,1,Branco
255,4,7.9
255,1,Verde
255,8,??
256,3,80.2
256,6,138.3
256,1,Preto
257,3,463.6
257,7,true
258,5,134.2
258,3,151.1
258,7,TBD
259,7,false
259,2,G
260,7,false
260,6,137.3
260,3,120.6
261,5,13.2
262,8,PVC
262,7,true
262,3,173.1
263,1,Cinza
264,7,true
264,2,G
265,4,343.7
265,6,394.2
265,8,Fibra de Vidro
266,5,130.4
266,2,GG
266,6,13.6
267,1,Vermelho
267,3,314.5
267,6,56.3
268,5,48.3
268,7,true
268,2,P
269,6,188.3
269,1,Brancoo
270,6,368.7
270,5,421.4
270,7,false
271,4,294.3
272,1,Azul
272,5,482.9
273,1,Preto
273,6,51.0
273,5,286.8
274,4,166.6
274,7,xxx
274,8,PVC
275,1,Preto
275,7,false
276,5,144.2
277,1,Cinza
278,1,Vermelho
278,8,PVC
279,8,Fibra de Vidro
279,5,180.8
280,5,5.3
281,8,Alumínio
281,4,136.2
281,1,Verde
282,4,189.0
282,6,428.8
282,1,Cinza
283,8,Alumínio
284,3,358.0
284,5,119.7
284,8,PVC
285,8,Inox
285,7,true
285,1,Branco
286,6,478.3
287,5,489.6
287,6,287.6
287,8,PVC
288,1,Azul
288,8,Fibra de Vidro
289,4,34.1
289,1,Azul
290,1,Branco
291,1,Cinza
292,7,true
292,2,GG
293,3,481.6
293,4,458.6
293,6,119.7
294,2,P
294,1,Preto
294,3,321.8
295,2,G
296,1,Vermelho
297,3,393.3
298,3,279.4
299,8,Inox
299,4,148.6
300,7,false
301,1,Branco
302,1,Cinza
302,7,true
303,8,Alumínio
303,5,493.9
304,4,424.5
304,5,282.3
304,2,M
305,5,364.4
305,7,true
306,1,Cinza
307,2,P
307,3,21.9
307,7,true
308,1,Preto
309,1,Verde
309,4,111.0
309,8,Inox
310,8,Inox
310,6,xxx
310,3,FIXME
311,5,454.2
311,6,6.5
312,3,159.9
312,4,352.4
313,8,Náilon
313,2,P
314,7,false
315,8,PVC
316,4,116.7
317,1,Cinza
317,5,478.8
317,8,Fibra de Vidro
318,3,269.6
318,6,156.1
319,7,false
319,6,126.7
320,3,366.7
321,7,false
321,2,G
321,1,Preto
322,2,G
322,8,Náilon
322,6,97.4
323,8,PVC
323,1,Vermelho
323,6,286.7
324,2,G
324,6,205.6
324,7,true
325,7,false
326,1,???
326,2,asdf
327,8,PVC
328,5,433.0
328,4,256.0
328,7,false
329,2,P
329,5,298.1
330,6,218.7
330,1,Vermelho
330,5,427.5
331,4,377.5
332,3,408.9
332,2,GG
332,4,361.4
333,7,true
333,5,414.0
334,6,222.4
334,4,55.0
335,5,197.5
335,7,true
336,7,true
336,4,?
336,6,15.6
337,4,91.1
337,3,189.6
338,2,G
338,7,true
339,7,false
340,8,Fibra de Vidro
340,5,246.8
340,7,true
341,8,Fibra de Vidro
341,1,Verde
341,6,154.4
342,8,PVC
342,6,486.7
342,2,P
343,2,GG
343,1,Verde
344,7,true
344,1,Cinza
344,4,479.8
345,3,304.7
346,7,true
347,6,128.3
348,1,Branco
348,8,NÁILON
348,3,54.3
349,3,419.7
349,8,Alumínio
350,8,Náilon
351,7,true
351,6,353.1
352,5,335.6
353,2,P
353,4,438.6
354,2,G
355,8,Alumínio
356,3,133.6
356,7,false
357,1,Azul
357,3,496.1
358,1,Verde
359,1,Verde
360,7,false
360,6,170.7
361,8,Náilon
362,3,237.3
363,6,476.0
363,5,154.5
363,3,331.8
364,6,466.1
365,6,19.7
365,4,182.1
365,3,493.0
366,8,Náilon
366,7,true
367,6,354.5
368,8,Inox
368,1,Cinza
369,6,271.0
370,3,399.0
370,7,true
371,1,Azul
371,8,Náilon
372,6,3224.0
372,5,7.9
373,1,Vermelho
374,1,Branco
375,1,Azul
376,1,Azul
376,2,GG
377,6,438.8
377,1,Verde
377,4,392.9
378,8,Alumínio
378,1,Azul
378,6,198.3
379,2,P
379,6,194.8
380,6,350.6
380,4,418.1
380,7,false
381,3,342.5
381,1,Branco
382,7,false
382,8,TODO
383,2,M
383,1,Azul
383,8,Náilon
384,3,53.9
384,1,Cinza
385,6,308.5
385,8,Inox
386,4,413.0
387,5,52.0
387,1,Verde
388,5,220.2
388,2,GG
388,8,PVC
389,4,98.3
390,7,false
390,1,Vermelho
390,8,PVC
391,6,330.8
391,8,Náilon
392,5,asdf
392,2,P
393,4,117.3
393,7,false
394,8,Inox
394,4,343.4
395,8,Náilon
396,1,Verde
396,2,G
396,3,56.0
397,5, 144.1
398,6,17.0
398,2,G
398,4,225.6
399,7,false
400,2,G
400,6,312.5
400,7,false
401,6,287.2
401,3,363.8
401,1,Verde
402,4,262.0
403,1,Branco
404,8,PVC
405,4,197.0
405,1,Azul
406,4,271.0
406,3,183.7
407,3,141.5
407,2,GG
408,3,252.7
409,2,P
409,1,test
410,7,false
410,1,Cinza
411,6,47.4
412,3,37.2
412,2,XG
412,4,341.4
413,8,Inox
413,2,M
413,7,true
414,7,false
414,5,499.8
415,1,Verde
415,4,472.3
415,7,true
416,7,false
417,3,8.5
417,5,150.1
417,1,Preto
418,6,440.2
419,8,Alumínio
420,4,38.4
420,8,Alumínio
421,4,178.3
421,7,true
422,7,true
423,3,349.2
423,5,43.8
424,5,140.6
424,1,Preto
424,8,Inox
425,6,339.6
425,5,195.0
425,8,Náilon
426,2,G
427,2,.
427,4,268.6
428,8,Fibra de Vidro
428,4,52.4
429,7,false
430,7,false
431,7,true
431,6,148.0
432,4,262.5
433,8,Náilon
433,3,215.3
434,1,Azul
435,1,Azul
436,8,Alumínio
436,5,.
437,6,331.8
438,5,168.7
439,4,206.8
439,6,228.1
439,5,232.3
440,1,Preto
441,8,Inox
441,2,M
441,1,Azul
442,6,375.0
442,1,Branco
442,3,234.5
443,6,38.6
443,2,GG
443,4,49.8
444,6,8.9
444,1,Branco
445,2,XG
446,4,469.8
446,2,GG
447,4,112.5
448,6,82.5
448,2,GG
449,1,Preto
450,1,Vermelho
451,8,PVC
451,6,491.6
451,1,Azul
452,7,true
452,6,216.4
453,2,G
454,4,60.0
454,7,true
454,3,76.4
455,7,false
456,6,20.5
456,8,Fibra de Vidro
457,3,229.3
458,3,40.7
458,1,Azul
459,3,202.7
460,6,486.4
461,6,312.9
461,3,93.5
462,4,382.6
463,4,133.8
464,6,395.2
465,4,308.1
465,2,M
465,6,347.4
466,2,GG
467,3,55.7
467,5,181.2
468,5,FIXME
469,6,202.0
469,2,G
470,2,M
470,5,290.9
471,6,154.2
472,8,Alumínio
473,6,20.9
473,8,PVC
473,5,205.7
474,6,211.1
474,2,M
475,1,Cinza
475,4,36.1
475,2,G 
476,2,P
476,1,Verde
476,3,286.8
477,4,50.1
478,6,441.8
478,2,M
479,7,asdf
479,6,199.1
479,1,Preto
480,3,340.2
480,7,true
480,8,Alumíni
481,1,Preto
481,4,147.0
482,6,170.5
482,7,true
483,5,415.5
484,1,FIXME
485,8,PVC
485,2,M
485,7,true
486,4,235.2
486,2,M
486,8,Inoox
487,8,Alumínio
487,3,69.3
487,7,false
488,7,true
488,3,365.2
489,3,494.7
490,1,Preto
490,4,76.9
491,1,Verde
491,7,false
492,6,69.8
493,6,236.6
494,5,82.6
494,6,35.0
495,7,true
495,4,269.7
496,8,Inox
496,4,183.6
497,8,Náilon
497,7,false
498,7,true
498,4,223.7
499,3,415.3
499,6,234.0
500,4,test
500,1,Verde
501,3,190.0
502,8,Náilon
502,5,425.3
502,6,205.3
503,6,213.2
504,8,PVC
505,6,3.1
506,7,false
506,6,40.4
506,8,Inox
507,3,246.7
508,2,M
508,1,Cinza
508,3,51.2
509,6,319.0
509,2,GG
510,6,99.6
510,1,Preto
511,1,Preto
511,4,190.8
511,2,M
512,7,true
513,6,31.8
513,2,XG
514,8,Alumínio
514,6,370.2
515,4,110.8
515,8,Alumínio
516,8,Náilon
517,1,Cinza
518,1,Azul
519,8,Náilon
520,3,419.3
520,4,206.3
521,3,369.8
521,4,348.2
521,7,false
522,7,false
522,3,384.3
522,5,227.5
523,8,Alumínio
523,1,Branco
523,6,341.0
524,3,141.2
524,4,400.2
524,8,Fibra de Vidro
525,1,Verde
525,6,498.4
525,3,180.9
526,7,true
527,6,158.5
527,2,XG
528,4,81.1
529,2,XG
530,6,376.2
530,5,291.7
530,7,true
531,8,Alumínio
531,2,XG
532,7,true
532,2,M
533,3,345.1
533,6,122.3
533,1,Azul
534,6,41.9
535,4,284.1
536,8,PVC
536,6,35.0
536,2,XG
537,5,104.5
537,6,483.8
537,8,Inox
538,6,62.3
539,4,277.8
539,3,366.3
540,8,Alumínio
541,7,false
541,5,44.1
542,7,true
542,2,XG
543,2,P
544,7,false
545,4,155.7
546,3,423.9
546,8,PVC
547,6,463.4
548,8,PVC
549,3,31.8
550,7,false
551,8,Inox
551,3,146.2
552,4,362.6
552,2,XG
553,8,PVC
553,2,XG
553,7,true
554,5,10.8
554,3,--
554,2,M
555,4,369.1
556,5,297.0
556,4,337.0
556,3,109.3
557,4,82.9
557,2,XG
558,1,Vermelho
559,3,35.2
560,8,Alumínio
561,1,FIXME
561,8,Alumínio
562,6,398.5
562,3,383.6
563,3,420.7
563,8,Náilon
563,1,Preto
564,8,Inox
565,8,Inox
566,3,411.2
566,7,false
566,4,429.4
567,8,Náilon
567,5,68.4
568,2,M
568,3,495.3
568,1,Azul
569,2,G
569,6,42.2
570,5,119.9
570,2,P
570,4,243.2
571,8,Alumínio
571,7,true
572,6,375.3
572,3,497.3
573,8,Alumínio
573,7,false
574,5,245.5
574,7,false
575,5,374.9
575,7,true
575,3,157.4
576,4,41.8
576,5,181.9
576,8,Alumínio
577,1,Verde
578,5,212.2
578,2,XG
579,8,Alumínio
579,6,494.9
579,1,Cinza
580,3,264.3
580,6,470.5
580,1,Vermelho
581,3,99.3
581,1,Cinza
582,1,Vermelho
582,5,2.7
582,6,293.6
583,3,279.9
584,2,xg
584,8,Fibra de Vidro
585,6,163.8
586,2,G
586,5,255.8
586,8,Alumínio
587,2,G
587,3,452.8
588,7,false
588,5,449.4
589,7,true
590,7,true
590,4,87.1
590,5,204.2
591,2,G
591,7,true
591,1,Azul
592,4,431.1
592,8,Náilon
593,2,GG
593,1,Branco
593,4,80.4
594,1,Cinza
594,5,54.9
594,6,467.8
595,3,104.6
595,5,369.4
595,8,Náilon
596,1,Vermelho
597,3,490.8
597,5,-
598,4,93.6
599,3,96.8
599,1,Branco
600,3,198.9
600,7,true
601,8,Inox
601,6,190.5
602,2,XG
603,3,191.6
604,1,Azul
605,1,Vermelho
605,3,241.0
605,2,P
606,8,Náilon
607,1,Verde
607,6,339.2
607,5,284.8
608,3,210.1
608,1,Verde
608,5,329.7
609,6,159.0
610,1,Verde
610,7,false
611,3,130.4
612,4,282.9
613,1,Preto
613,7,fase
613,2,GG
614,1,Verde
615,3,254.0
615,7,true
615,2,GG
616,4,254.9
616,1,Cinza
616,2,G
617,4,82.3
617,7,false
618,8,Alumínio
618,6,149.9
618,5,26.6
619,3,364.3
619,8,Alumínio
619,4,24.7
620,4,16.3
620,6,302.5
620,3,149.8
621,2,GG
621,4,33.0
621,7,false
622,5,265.7
622,8,Alumínio
623,7,true
623,5,447.8
623,6,89.5
624,2, G
624,6,280.4
624,5,83.2
625,8,PVC 
625,7,false
625,2,P
626,2,GG
626,5,328.4
626,4,36.6
627,5,482.5
627,1,Preto
628,1,Verde
629,6,54.5
630,4,20.8
630,3,488.2
631,3,148.3
632,6,479.6
632,8,Náilon
633,1,Branco
634,7,false
635,1,Vermelho
635,2,M
635,4,256.4
636,3,306.7
636,2,G
637,5,294.2
637,6,339.8
638,6,74.2
639,6,181.6
640,7,true
641,8,Alumínio
641,6,468.9
641,2,N/A
642,1,Branco
642,7,n/a
642,6,52.6
643,8,Náilon
643,6,53.5
644,5,219.8
644,4,142.2
644,1,Azul
645,2,P
646,1,Vermelho
646,7,true
647,5,138.3
647,3,457.0
648,3,126.3
648,2,P
648,7,true
649,2,GG
649,3,178.1
650,7,false
651,6,261.0
651,3,211.5
652,3,9.0
653,5,225.0
653,8,PVC
653,6,385.4
654,3,146.7
654,5,103.0
655,3,164.9
655,7,false
656,6,336.5
657,5,49.8
657,4,12.0
658,1,Cinza
658,7,true
659,4,456.3
659,3,464.0
660,6,330.0
660,3,207.1
661,8,Náilon
661,3,442.4
662,3,469.0
662,1,Azul
662,4,244.0
663,7,N/A
663,8,PVC
663,1,Cinza
664,4,212.2
664,7,false
665,3,39.1
666,4,56.7
666,5,83.1
667,7,true
668,1,Vermelho
669,2,G
669,7,true
669,6,274.4
670,1,Verde
671,2,M
671,1,?
671,4,472.7
672,3,454.3
673,8,test
673,4,267.6
673,2,GG
674,4,244.4
674,8,Fibra de Vidro
675,8,Náilon
676,1,Azul
676,8,Inox
676,5,442.6
677,3,172.3
677,6,360.9
677,1,Cinza
678,2,M
678,4,390.8
679,6,261.7
680,2,P
681,8,PVC
681,6,327.3
681,7,true
682,2,XG
682,5,263.6
682,4,98.2
683,2,GG
684,8,xxx
684,2,M
684,3,492.0
685,5,348.8
686,6,364.9
686,7,true
686,4,396.5
687,6,153.6
687,5,237.5
687,4,287.0
688,1,Verde
688,2,XG
688,4,?
689,1,Cinza
689,3,TODO
689,2,G
690,2,M
691,1,Verde
691,7,true
691,4,263.4
692,5,77.5
692,2,GG
692,6,134.7
693,3,62.0
693,6,379.3
693,8,PVC
694,1,Vermelho
694,3,27.4
695,7,true
695,1,Verde
695,6,307.3
696,3,243.0
697,1,Cinza
697,2,XXG
698,6,214.2
698,1,Azul
699,1,Branco
699,2,GG
699,3,479.1
700,7,true
700,1,Vermelho
701,1,Verde
701,2,GG
702,4,29.6
703,4,123.9
704,2,XG
704,1,Cinza
704,7,true
705,8,Fibra de Vidro
705,3,368.3
705,4,65.5
706,6,350.1
706,4,324.7
707,8,Náilon
707,7,true
708,2,P
709,7,false
709,6,344.8
710,1,Verde
710,5,468.7
711,3,176.6
711,8,Fibra de Vidro
712,4,218.7
712,5,57.8
712,2,G
713,5,408.8
713,2,G
713,8,PVC
714,1,Azul
714,2,G
714,8,Náilon
715,3,236.9
716,8,Fibra de Vidro
717,4,11.5
717,7,false
717,2,??
718,7,false
719,6,140.8
720,7,true
720,5,105.2
721,1,Verde
722,4,339.4
722,5,331.8
722,1,Preto
723,5,362.0
724,4,368.8
724,7,false
724,5,282.9
725,3,223.5
725,7,true
726,1,Preto
726,3,460.4
726,4,468.3
727,8,Alumínio
727,4,336.6
728,1,Preto
728,8,PVC
728,5,456.4
729,3,257.5
729,8,Alumínio
730,3,196.3
730,4,202.6
730,6,38.2
731,5,446.4
732,4,98.1
732,6,424.9
733,5,162.2
734,3,84.9
734,5,425.1
735,8,Fibra de Vidro
735,6,95.7
735,3,8.0
736,5,34.5
737,8,Inox
737,2,??
737,5,312.3
738,3,495.4
738,1,Vermelho
739,7,true
740,1,Azul
740,8,Inox
740,2,XG
741,2,XG
742,1,Preto
743,7,false
743,2,P
743,8,n/a
744,1,Vermelho
744,3,229.1
745,1,Branco
746,3,51.1
747,4,18.2
747,7,true
748,4,167.4
748,7,true
749,8,PVC
749,7,true
749,2,M
750,7,true
750,8,Náilon
750,1,Verde
751,3,136.9
751,6,194.2
752,2,M
753,8,Fibra de Vidro
753,2,M
753,4,253.0
754,3,4.7
755,2,P
756,6,454.2
756,4,471.1
756,3,240.8
757,2,GG
757,4,53.2
757,5,257.6
758,2,P
759,2,P
759,3,418.4
759,7,false
760,8,Fibra de Vidro
760,3,304.4
761,4,189.7
761,5,112.6
762,2,P
762,3,223.4
762,6,487.5
763,4,83.5
763,2,GG
763,6,191.9
764,4,88.7
765,8,Náilon
766,1,Preto
766,7,false
766,8,Náilon
767,8,test
767,5,291.4
768,1,Cinza
769,6, 239.9
769,5,373.9
770,1,Branco
770,5,264.5
770,3,1.3
771,5,367.6
772,1,Branco 
773,1,Preto
773,5,232.0
774,4,336.5
774,1,inza
775,5,286.2
776,1,Verde
776,7,true
777,7,true
778,5,308.4
779,3,118.3
779,5,362.4
780,1,Cinza
780,3,279.2
780,2,M
781,4,269.3
781,1,Azul
782,7,true
782,3, 470.1
782,1,Cinza
783,2,M
783,1,Cinza
783,3,483.6
784,2,M
784,1,Preto
785,7,false
785,6,171.6
786,4,242.8
786,5,212.0
787,2,G
787,3,asdf
788,3,238.4
788,5,323.2
788,1,Vermelho
789,3,433.9
790,1,Cinza
790,8,Náilon
791,6,477.7
791,3,471.5
791,5,358.8
792,4,365.0
793,1,Preto
793,2,M
793,3,301.0
794,4,210.1
795,4,186.9
795,7,false
795,3,87.4
796,1,Preto
796,3,401.5
796,5,490.1
797,1,Branco
797,5,.
797,7,false
798,2,GG
799,2,P
799,6,204.0
799,5,453.1
800,1,Azul
801,4,23..7
801,1,Verde
802,1,Verde
803,7,true
803,1,Cinza
803,5,264.9
804,5,415.3
805,7,true
805,5,234.4
806,6,470.0
806,4,298.6
807,7,true
807,4,93.5
808,8,Fibra de Vidro
809,7,false
809,3,441.1
809,8,Inox
810,7,true
810,5,112.6
811,3,61.2
811,1,Preto
812,7,true
812,6,272.6
812,2,XG
813,6,227.3
814,2,XG
814,3,176.7
814,1,Preto
815,4,362.5
815,8,Náilon
816,5,52.1
816,8,Fibra de Vidro
816,2,P
817,1,Preto
817,4,280.5
817,2,m
818,7,true
818,1,Preto
819,4,362.0
819,3,7.8
820,3,251.7
821,8,Inox
821,6,319.2
822,8,PVC
823,4,155.6
824,8,PVC
825,7,false
826,6,236.6
826,2,G
827,4,108.0
827,6,164.8
827,2,G
828,4,55.5
829,5,485.9
829,2,GG
830,5,199.9
831,1,Preto
832,3,302.4
833,3,271.5
834,3,467.5
834,2,XG
835,6,1.4
835,4,266.4
835,1,Branco
836,5,87.3
837,4,318.9
837,6,204.5
837,2,M
838,5,75.3
838,2,G
838,3,438.7
839,6,261.9
840,4,268.5
840,6,146.3
841,1,Azul
842,1,Verde
842,5,202.2
842,4,278.1
843,1,Braco
844,5,498.3
844,2,XG
845,4,443.3
845,8,Alumínio
845,7,true
846,3,210.2
846,5,444.6
847,4,356.5
847,7,true
847,2,GG
848,2,M
849,1,Azul
849,2,M
850,3,63.0
851,5,73.6
852,3,243.2
852,5,316.8
852,1,Cinza
853,2,XG
854,5,132.3
854,6,449.9
854,8,Alumínio
855,4,488.4
856,8,PVC
857,3,459.9
857,5, 143.0
858,8,Náilon
858,4,294.7
859,8,Inox
859,2,G
860,6,67.2
860,4,2000.
860,2,G
861,2,XG
861,8,Fibra de Vidro
861,6,218.1
862,7,false
862,5,128.2
863,8,Náilon
863,7,true
863,4,922.6
864,6,281.4
864,3,471.9
865,4,308.6
865,1,Preto
865,2,XG
866,3,30.0
866,7,false
866,1,Verde
867,4,221.3
868,2,G
868,8,Inox
868,5,105.4
869,2,XG
870,5,303.9
870,6,226.5
871,4,403.5
871,3,156.6
871,2,GG
872,6,318.1
873,7,true
873,4,407.0
874,6,135.5
875,6,399.8
875,3,485.4
875,1,Preto
876,2,M
876,8,Inox
876,1,Cinza
877,2,G
877,5,117.7
877,8,Náilon
878,4,295.6
878,6,278.6
878,2,G
879,4,117.6
880,6,152.7
880,4,49.2
880,1,Vermelho
881,1,Vermelho
882,1,Verde
883,2,XG
883,4,428.6
884,6,68.6
884,5,491.1
884,4,498.2
885,7,true
885,5,41.8
886,7,false
886,4,198.6
887,3,193.6
887,8,PVC
888,4,257.5
888,6,287.9
889,4,314.9
889,2,GG
889,3,266.4
890,6,test
890,3,211.1
890,8,Náilon
891,4,328.3
891,3,29.1
891,2,GG
892,2,P
892,7,false
892,6,83.6
893,6,249.4
894,2,M
894,1,Verde
894,6,192.8
895,3,168.8
