id,goods_receipt_id,purchase_order_item_id,quantity_received
117,37,145,29
118,37,146,28
119,37,147,42
120,38,152,12
121,38,153,29
122,38,154,4
123,38,155,48
124,39,156,3.450
125,39,157,12.240
126,39,158,20.680
127,39,159,8.280
128,40,160,46
129,41,161,40
130,41,162,10
131,41,163,27
132,41,164,7
133,41,165,11
134,42,166,5.390
135,42,167,35.250
136,42,168,36.000
137,43,169,17
138,43,170,7
139,43,171,5
140,43,172,11
141,43,173,50
142,44,174,25
143,44,175,2
144,45,176,45
145,45,177,22
146,45,178,26
147,46,181,38
148,46,182,35
149,47,183,41
150,48,184,15
151,49,186,8
152,49,187,48
153,49,188,39
154,49,189,34
155,49,190,41
156,50,191,13
157,50,192,9
158,51,194,29
159,52,195,23
160,52,196,9
161,53,197,12
162,53,198,16
163,53,199,23
164,53,200,44
165,53,201,28
166,54,207,31.000
167,54,208,9.350
168,55,209,23
169,55,210,37
170,56,211,2
171,56,212,44
172,56,213,30
173,57,214,38
174,57,215,47
175,57,216,41
176,57,217,5
177,57,218,27
178,58,223,18
179,58,224,42
180,58,225,43
181,58,226,38
182,59,230,19
183,60,231,39
184,60,232,28
185,61,233,46
186,62,234,40
187,62,235,13
188,62,236,20
189,63,237,1.460
190,63,238,4.560
191,64,239,23
192,64,240,3
193,64,241,28
194,64,242,27
195,65,243,18
196,65,244,28
197,65,245,36
198,66,246,36
199,66,247,25
200,67,248,15
201,68,251,16.320
202,68,252,14.700
203,68,253,21.600
204,68,254,3.710
205,68,255,10.320
206,69,256,6
207,70,257,22
208,70,258,7
209,71,259,6.300
210,71,260,33.320
211,71,261,11.220
212,71,262,4.620
213,72,268,37
214,72,269,29
215,72,270,14
216,72,271,39
217,72,272,37
218,73,273,10
219,73,274,31
220,73,275,16
221,73,276,44
222,74,277,7
223,74,278,48
224,74,279,5
225,74,280,2
226,74,281,43
227,75,282,36
228,75,283,32
229,76,284,27
230,76,285,21
231,76,286,11
232,76,287,13
233,76,288,46
234,77,289,35.260
235,78,290,34
236,78,291,20
237,79,299,8.400
238,79,300,7.950
239,79,301,5.110
240,79,302,11.160
241,79,303,32.000
242,80,304,17.640
243,80,305,5.940
244,81,306,14
245,81,307,18
246,81,308,45
247,81,309,21
248,82,310,19
249,82,311,22
250,82,312,43
251,82,313,3
252,82,314,48
253,83,315,13.650
254,83,316,2.920
255,83,317,14.960
256,84,318,26
257,84,319,34
258,84,320,7
259,84,321,37
260,85,322,38
261,86,323,2
262,86,324,5
263,86,325,1
264,86,326,8
265,86,327,19
266,87,328,47
267,87,329,44
268,87,330,27
269,87,331,11
270,87,332,44
271,88,333,22.540
272,88,334,22.320
273,89,335,24
274,89,336,24
275,89,337,30
276,89,338,20
277,90,344,14
278,90,345,49
279,90,346,10
280,91,347,15
281,91,348,49
282,92,353,7
283,92,354,43
284,92,355,2
285,93,360,20
286,93,361,8
287,94,363,11
288,94,364,1
289,94,365,44
290,94,366,4
291,94,367,25
292,95,368,41
293,95,369,7
294,95,370,43
295,96,371,11
296,96,372,41
297,96,373,15
298,96,374,5
299,97,375,9
300,97,376,32
301,98,379,11.900
302,98,380,3.640
303,98,381,3.540
304,98,382,15.600
305,99,383,48
306,99,384,47
307,99,385,47
308,99,386,39
309,99,387,47
310,100,401,32
311,100,402,24
312,100,403,20
313,100,404,33
314,101,406,3
315,101,407,21
316,101,408,44
317,101,409,2
318,102,415,10
319,102,416,31
320,102,417,42
321,102,418,21
322,102,419,25
323,103,420,4
324,103,421,8
325,103,422,18
326,103,423,12
327,104,424,29
328,104,425,41
329,105,426,25
330,105,427,23
331,105,428,6
332,105,429,38
333,105,430,13
334,106,431,14
335,106,432,5
336,106,433,1
337,107,434,9
338,108,435,28
339,108,436,4
340,108,437,49
341,108,438,50
342,109,439,39
343,109,440,35
344,110,441,48
345,110,442,29
346,110,443,17
347,110,444,38
348,110,445,11
349,111,446,12.100
350,111,447,29.370
351,112,448,32
352,112,449,50
353,112,450,42
354,112,451,8
355,113,452,32
356,113,453,19
357,114,454,38
358,114,455,46
359,115,456,32
360,116,457,32
361,116,458,13
362,117,459,3
363,117,460,16
364,117,461,1
365,117,462,24
366,117,463,29
367,118,464,6
368,118,465,2
369,118,466,32
370,119,467,23
371,120,471,19.760
372,120,472,4.370
373,121,476,24
374,121,477,39
375,121,478,32
376,121,479,50
377,122,480,47
378,122,481,13
379,123,482,37
380,124,483,23
381,124,484,25
382,125,485,27
383,125,486,6
384,126,487,7.370
385,126,488,26.980
386,126,489,1.600
387,126,490,27.720
388,127,491,3
389,127,492,38
390,128,496,13
391,128,497,19
392,128,498,40
393,128,499,41
394,129,504,18
395,129,505,35
396,130,506,25
397,130,507,44
398,130,508,24
399,130,509,22
400,131,510,12
401,131,511,45
402,131,512,29
403,131,513,22
404,131,514,32
405,132,515,47
406,132,516,38
407,133,520,41
408,133,521,21
409,134,522,25.200
410,134,523,2.610
411,134,524,5.460
412,134,525,8.610
413,134,526,15.600
414,135,531,10
415,136,532,37
416,137,533,16
417,138,534,31
418,139,535,24.500
419,139,536,24.030
420,140,537,16
421,140,538,22
422,140,539,2
423,140,540,23
424,141,542,11
425,141,543,3
426,142,545,11.250
427,142,546,32.680
428,142,547,0.520
429,143,548,16
430,143,549,29
431,143,550,17
432,143,551,42
433,143,552,27
434,144,553,22
435,144,554,23
436,144,555,14
437,145,556,16
438,145,557,16
439,146,558,36
440,146,559,42
441,146,560,50
442,146,561,33
443,146,562,44
444,147,563,11.750
445,147,564,30.800
446,147,565,2.080
447,147,566,3.100
448,148,567,6.300
449,148,568,19.270
450,148,569,2.280
451,149,570,15
452,149,571,7
453,149,572,22
454,149,573,48
455,149,574,24
456,150,575,25
457,150,576,40
458,150,577,4
459,150,578,11
460,150,579,43
461,151,585,10.010
462,151,586,4.800
463,152,587,47
464,152,588,30
465,152,589,45
466,153,590,19.980
467,153,591,4.180
468,153,592,0.620
469,153,593,0.890
470,154,595,32.680
471,154,596,11.160
472,155,597,2
473,155,598,18
474,155,599,20
475,156,600,10
476,156,601,41
477,156,602,43
478,157,606,0.480
479,157,607,14.520
480,157,608,4.900
481,158,609,12
482,158,610,43
483,158,611,7
484,158,612,15
485,158,613,31
486,159,614,2.370
487,159,615,7.560
488,159,616,11.730
489,159,617,5.800
490,159,618,0.220
491,160,619,23
492,160,620,31
493,161,621,4
494,161,622,37
495,161,623,48
496,161,624,47
497,162,625,0.420
498,162,626,1.980
499,162,627,18.400
500,163,634,16
501,163,635,28
502,164,636,50
503,164,637,45
504,165,643,3
505,165,644,27
506,165,645,27
507,166,651,36
508,166,652,7
509,166,653,16
510,166,654,44
511,166,655,19
512,167,656,22.230
513,167,657,15.840
514,167,658,1.420
515,168,659,31
516,168,660,6
517,168,661,48
518,168,662,26
519,168,663,12
520,169,664,23
521,169,665,19
522,169,666,46
523,169,667,20
524,169,668,47
525,170,673,5.200
526,170,674,7.980
527,170,675,6.080
528,170,676,26.600
529,170,677,4.560
530,171,678,23.400
531,171,679,9.860
532,172,680,26.680
533,172,681,8.400
534,172,682,11.400
535,172,683,19.500
536,172,684,11.500
537,173,685,3
538,173,686,49
539,173,687,28
540,174,688,5.100
541,174,689,22.770
542,174,690,21.000
543,174,691,7.200
544,174,692,37.800
545,175,693,39
546,175,694,43
547,175,695,30
548,175,696,49
549,175,697,6
550,176,698,29
551,176,699,33
552,176,700,31
553,176,701,45
554,177,702,48
555,177,703,34
556,178,706,8.880
557,178,707,17.850
558,178,708,4.600
559,179,710,14.060
560,179,711,4.860
561,179,712,16.020
562,179,713,19.090
563,180,714,47
564,180,715,37
565,180,716,19
566,181,719,7
567,181,720,28
568,182,721,22
569,183,722,36
570,184,723,44
571,184,724,38
572,184,725,25
573,185,734,17
574,185,735,45
575,185,736,46
576,185,737,27
577,186,738,2
578,186,739,25
579,187,740,1.250
580,187,741,2.420
581,188,742,33
582,189,743,49
583,189,744,16
584,189,745,46
585,189,746,47
586,190,747,38
587,190,748,31
588,190,749,48
589,190,750,5
590,190,751,41
591,191,752,8.600
592,191,753,17.150
593,192,756,0.570
594,192,757,2.400
595,192,758,4.160
596,192,759,15.510
597,192,760,22.680
598,193,761,42
599,193,762,48
600,193,763,21
601,193,764,45
602,193,765,25
603,194,766,24
604,194,767,8
605,194,768,29
606,194,769,33
607,195,774,2
608,195,775,4
609,195,776,13
610,196,777,0.850
611,197,778,42
612,197,779,17
613,197,780,1
614,198,781,27.280
615,199,782,11
616,199,783,21
617,199,784,25
618,199,785,3
619,200,786,38
620,200,787,38
621,201,788,38
622,201,789,45
623,201,790,24
624,202,796,31
625,202,797,17
626,202,798,50
627,202,799,13
628,203,800,28
629,204,801,22
630,204,802,50
631,205,807,29
632,205,808,33
633,205,809,38
634,206,810,28
635,206,811,22
636,206,812,24
637,206,813,15
638,206,814,21
639,207,815,35
640,207,816,32
641,208,817,36
642,208,818,28
643,208,819,30
644,208,820,39
645,208,821,47
646,209,822,21
647,209,823,41
648,209,824,2
649,210,825,27
650,210,826,25
651,210,827,36
652,211,828,40
653,211,829,11
654,211,830,38
655,211,831,45
656,211,832,30
657,212,833,46
658,212,834,13
659,213,835,44
660,214,836,5.390
661,215,841,39
662,215,842,33
663,215,843,28
664,216,844,24.000
665,216,845,2.700
666,217,846,39
667,217,847,19
668,217,848,10
669,217,849,31
670,218,850,34
671,219,851,2
672,219,852,50
673,219,853,18
674,219,854,43
675,219,855,34
676,220,856,17
677,220,857,38
678,220,858,13
679,221,859,19
680,222,860,7
681,222,861,37
682,222,862,1
683,223,864,5
684,223,865,32
685,223,866,48
686,224,874,12
687,224,875,3
688,224,876,8
689,224,877,31
690,225,878,8
691,225,879,20
692,225,880,30
693,226,881,8.820
694,226,882,0.200
695,227,883,21
696,227,884,34
697,227,885,32
698,228,886,37
699,228,887,15
700,228,888,26
701,228,889,17
702,229,890,11
703,229,891,45
704,229,892,34
705,229,893,41
706,229,894,47
707,230,895,40
708,231,896,16.500
709,231,897,23.400
710,231,898,5.460
711,231,899,16.560
712,232,900,13
713,232,901,32
714,232,902,2
715,232,903,24
716,233,908,1.690
717,234,909,31
718,234,910,12
719,234,911,8
720,234,912,7
721,234,913,45
722,235,914,44
723,235,915,10
724,235,916,10
725,235,917,10
726,235,918,7
727,236,919,37
728,236,920,29
729,236,921,37
730,236,922,9
731,236,923,22
732,237,924,12
733,237,925,45
734,237,926,41
735,237,927,1
736,237,928,22
737,238,929,43
738,239,932,32
739,239,933,22
740,239,934,37
741,240,935,24
742,241,945,22.040
743,241,946,1.980
744,241,947,4.930
745,241,948,28.350
746,241,949,8.690
747,242,950,43
748,242,951,28
749,242,952,10
750,242,953,9
751,242,954,22
752,243,955,27
753,243,956,44
754,243,957,26
755,243,958,38
756,244,959,1.920
757,245,960,22
758,245,961,18
759,245,962,23
760,245,963,27
761,246,968,1.350
762,246,969,15.040
763,246,970,0.700
764,246,971,14.630
765,247,972,9
766,247,973,2
767,247,974,45
768,247,975,9
769,248,976,17.480
770,248,977,28.420
771,248,978,8.140
772,248,979,14.850
773,249,980,22.200
774,249,981,1.680
775,249,982,2.850
776,249,983,10.500
777,249,984,32.800
778,250,985,11
779,250,986,36
780,250,987,46
781,250,988,41
782,251,989,30.600
783,251,990,14.700
784,252,995,12
785,252,996,3
786,252,997,20
787,253,1003,5
788,253,1004,22
789,253,1005,1
790,253,1006,46
791,253,1007,8
792,254,1009,27
793,254,1010,31
794,254,1011,5
795,254,1012,19
796,255,1013,24
797,255,1014,38
798,255,1015,35
799,255,1016,45
800,256,1017,48
801,256,1018,8
802,257,1019,31
803,258,1020,12
804,258,1021,13
805,258,1022,3
806,258,1023,39
807,259,1024,33
808,259,1025,40
809,259,1026,45
810,259,1027,1
811,259,1028,6
812,260,1029,23
813,260,1030,28
814,260,1031,26
815,261,1032,11.050
816,261,1033,17.760
817,261,1034,3.380
818,261,1035,19.440
819,261,1036,15.340
820,262,1039,25
821,262,1040,31
822,263,1041,30.240
823,264,1042,48
824,264,1043,26
825,264,1044,45
826,264,1045,26
827,264,1046,33
828,265,1049,49
829,265,1050,47
830,265,1051,5
831,266,1052,9.250
832,266,1053,5.040
833,267,1054,23
834,267,1055,50
835,268,1056,28
836,268,1057,5
837,269,1058,24.000
838,269,1059,6.110
839,270,1060,36
840,270,1061,14
841,270,1062,38
842,270,1063,49
843,271,1064,21
844,271,1065,50
845,271,1066,32
846,271,1067,25
847,271,1068,22
848,272,1069,29
849,272,1070,40
850,273,1071,29.040
851,273,1072,13.500
852,273,1073,19.890
853,273,1074,9.680
854,274,1075,40
855,274,1076,29
856,274,1077,34
857,274,1078,17
858,274,1079,17
859,275,1080,18
860,275,1081,13
861,275,1082,25
862,275,1083,15
863,276,1084,16
864,277,1088,16
865,277,1089,13
866,277,1090,18
867,278,1091,5.940
868,278,1092,16.800
869,279,1093,2
870,279,1094,3
871,279,1095,22
872,280,1097,6.720
873,280,1098,32.830
874,280,1099,11.100
875,280,1100,1.800
876,281,1101,31.280
877,281,1102,10.890
878,281,1103,5.040
879,281,1104,20.520
880,281,1105,39.150
881,282,1106,5
882,282,1107,13
883,282,1108,8
884,283,1109,10
885,284,1110,22
886,284,1111,9
887,284,1112,48
888,285,1116,1.500
889,285,1117,19.440
890,285,1118,23.790
891,286,1119,39
892,287,1123,28.710
893,287,1124,9.120
894,288,1125,11.960
895,288,1126,2.470
896,289,1133,4
897,290,1134,19.250
898,290,1135,17.000
899,291,1136,44
900,292,1137,4.000
901,292,1138,25.410
902,292,1139,6.700
903,292,1140,5.060
904,293,1141,5.180
905,293,1142,3.000
906,293,1143,18.400
907,293,1144,24.960
908,293,1145,18.130
909,294,1146,23
910,294,1147,28
911,294,1148,17
912,295,1149,16
913,295,1150,47
914,296,1151,2
915,296,1152,1
916,296,1153,7
917,296,1154,32
918,297,1155,14
919,297,1156,40
920,297,1157,40
921,297,1158,25
922,297,1159,38
923,298,1160,27
924,298,1161,10
925,298,1162,5
926,299,1166,40
927,299,1167,33
928,300,1168,6
929,300,1169,28
930,301,1170,4.950
931,301,1171,17.400
932,301,1172,5.700
933,302,1173,26
934,302,1174,30
935,302,1175,21
936,302,1176,7
937,303,1177,38
938,303,1178,5
939,304,1188,8
940,304,1189,10
941,304,1190,22
942,305,1196,11
943,305,1197,5
944,306,1199,19
945,306,1200,38
946,306,1201,9
947,306,1202,13
948,307,1203,39
949,308,1204,2
950,308,1205,15
951,308,1206,20
952,308,1207,35
953,309,1208,41
954,309,1209,39
955,309,1210,37
956,309,1211,18
957,310,1212,16.800
958,310,1213,0.550
959,310,1214,3.190
960,310,1215,2.250
961,311,1216,48
962,311,1217,34
963,311,1218,30
964,312,1219,17
965,312,1220,15
966,312,1221,6
967,312,1222,28
968,313,1226,34
969,314,1227,49
970,314,1228,10
971,314,1229,30
972,314,1230,45
973,314,1231,30
974,315,1232,1
975,316,1233,15
976,317,1234,1.820
977,318,1235,25
978,318,1236,32
979,318,1237,27
980,318,1238,38
981,318,1239,16
982,319,1246,27
983,319,1247,25
984,319,1248,7
985,319,1249,43
986,320,1250,48
987,320,1251,42
988,320,1252,36
989,321,1253,25
990,321,1254,12
991,321,1255,27
992,321,1256,16
993,322,1257,28
994,322,1258,4
995,322,1259,37
996,322,1260,46
997,322,1261,29
998,323,1262,33
999,324,1263,38
1000,324,1264,7
1001,324,1265,27
1002,325,1269,31
1003,326,1270,30.100
1004,326,1271,11.590
1005,326,1272,9.450
1006,327,1274,46
1007,327,1275,24
1008,327,1276,2
1009,327,1277,38
1010,327,1278,21
1011,328,1279,48
1012,328,1280,33
1013,328,1281,9
1014,328,1282,29
1015,329,1283,23
1016,330,1287,11
1017,330,1288,3
1018,330,1289,45
1019,330,1290,11
1020,331,1294,12.760
1021,331,1295,16.000
1022,331,1296,31.150
1023,331,1297,20.720
1024,331,1298,19.430
1025,332,1299,38
1026,332,1300,7
1027,333,1306,47
1028,333,1307,9
1029,333,1308,3
1030,333,1309,27
1031,333,1310,36
1032,334,1311,46
1033,334,1312,42
1034,334,1313,26
1035,334,1314,26
1036,334,1315,38
1037,335,1316,21
1038,335,1317,43
1039,335,1318,41
1040,335,1319,50
1041,335,1320,4
1042,336,1321,14
1043,336,1322,6
1044,336,1323,49
1045,337,1324,20
1046,337,1325,37
1047,338,1326,9.360
1048,338,1327,21.760
1049,339,1328,30
1050,339,1329,37
1051,339,1330,50
1052,339,1331,12
1053,339,1332,29
1054,340,1333,47
1055,340,1334,42
1056,341,1335,48
1057,342,1336,10
1058,342,1337,49
1059,342,1338,36
1060,342,1339,47
1061,342,1340,34
1062,343,1341,20.130
1063,343,1342,22.080
1064,343,1343,24.480
1065,344,1344,4.860
1066,345,1345,35
1067,345,1346,50
1068,345,1347,34
1069,346,1348,28
1070,346,1349,45
1071,346,1350,20
1072,346,1351,7
1073,346,1352,36
1074,347,1353,14
1075,347,1354,22
1076,348,1355,14
1077,348,1356,22
1078,348,1357,45
1079,348,1358,7
1080,349,1363,4
1081,349,1364,46
1082,349,1365,44
1083,349,1366,2
1084,350,1367,2
1085,351,1368,38
1086,351,1369,40
1087,351,1370,45
1088,351,1371,9
1089,352,1372,14
1090,353,1378,32
1091,353,1379,46
1092,353,1380,8
1093,353,1381,24
1094,354,1382,14.850
1095,354,1383,26.000
1096,355,1388,40
1097,355,1389,25
1098,355,1390,25
1099,355,1391,41
1100,356,1392,1
1101,356,1393,11
1102,357,1397,27.450
1103,357,1398,0.220
1104,358,1399,14
1105,358,1400,37
1106,358,1401,33
1107,358,1402,48
1108,359,1403,17
1109,359,1404,29
1110,359,1405,48
1111,359,1406,20
1112,359,1407,42
1113,360,1408,3
1114,360,1409,4
1115,360,1410,30
1116,360,1411,29
1117,361,1412,42
1118,361,1413,1
1119,361,1414,6
1120,362,1415,11.000
1121,362,1416,11.020
1122,362,1417,11.570
1123,362,1418,18.360
1124,363,1419,5.670
1125,363,1420,1.240
1126,363,1421,13.750
1127,364,1422,11
1128,364,1423,16
1129,365,1424,10.030
1130,365,1425,7.800
1131,365,1426,10.080
1132,366,1432,1.710
1133,366,1433,0.530
1134,366,1434,5.220
1135,367,1435,17
1136,367,1436,5
1137,367,1437,33
1138,368,1438,14
1139,368,1439,11
1140,369,1440,6.880
1141,369,1441,37.720
1142,369,1442,40.800
1143,369,1443,27.060
1144,369,1444,9.520
1145,370,1445,27
1146,370,1446,21
1147,370,1447,29
1148,371,1448,12
1149,371,1449,37
1150,371,1450,21
1151,371,1451,20
1152,371,1452,2
1153,372,1464,28
1154,372,1465,10
1155,372,1466,5
1156,373,1467,21.600
1157,373,1468,10.920
1158,373,1469,3.800
1159,374,1470,6.840
1160,374,1471,6.110
1161,374,1472,5.040
1162,374,1473,1.120
1163,374,1474,10.730
1164,375,1475,12
1165,375,1476,1
1166,375,1477,6
1167,375,1478,46
1168,375,1479,11
1169,376,1480,35
1170,376,1481,16
1171,377,1484,6.460
1172,377,1485,11.390
1173,378,1486,49
1174,378,1487,5
1175,379,1488,14.100
1176,379,1489,0.370
1177,380,1494,45
1178,380,1495,38
1179,380,1496,12
1180,380,1497,43
1181,380,1498,45
1182,381,1499,29
1183,382,1500,36
1184,382,1501,49
1185,383,1502,49
1186,383,1503,16
1187,383,1504,28
1188,383,1505,5
1189,384,1506,48
1190,384,1507,47
1191,384,1508,33
1192,384,1509,46
1193,385,1510,18.630
1194,385,1511,26.970
1195,385,1512,5.500
1196,385,1513,9.240
1197,386,1514,15.770
1198,386,1515,10.000
1199,386,1516,26.180
1200,386,1517,3.900
1201,386,1518,18.600
1202,387,1519,24
1203,387,1520,12
1204,387,1521,41
1205,387,1522,1
1206,387,1523,47
1207,388,1524,25
1208,388,1525,45
1209,388,1526,18
1210,388,1527,7
1211,389,1528,5
1212,389,1529,42
1213,389,1530,31
1214,389,1531,45
1215,390,1537,4
1216,390,1538,23
1217,391,1539,22
1218,391,1540,41
1219,391,1541,32
1220,391,1542,28
1221,392,1543,46
1222,393,1545,20
1223,393,1546,19
1224,394,1547,29
1225,394,1548,46
1226,394,1549,11
1227,395,1553,41
1228,396,1554,49
1229,396,1555,44
1230,397,1556,5.200
1231,397,1557,12.480
1232,398,1558,21.390
1233,398,1559,18.000
1234,398,1560,15.200
1235,398,1561,18.300
1236,399,1562,14
1237,399,1563,28
1238,399,1564,16
1239,399,1565,2
1240,399,1566,30
1241,400,1567,0.520
1242,400,1568,7.990
1243,400,1569,24.480
1244,400,1570,12.420
1245,400,1571,11.500
1246,401,1572,39
1247,401,1573,39
1248,401,1574,7
1249,401,1575,4
1250,401,1576,27
1251,402,1582,46
1252,402,1583,5
1253,403,1584,47
1254,403,1585,33
1255,403,1586,14
1256,403,1587,39
1257,404,1593,25.810
1258,404,1594,3.190
1259,404,1595,0.440
1260,405,1597,43
1261,406,1598,39
1262,406,1599,43
1263,407,1606,6
1264,408,1607,9
1265,408,1608,49
1266,408,1609,31
1267,408,1610,9
1268,408,1611,31
1269,409,1612,1
1270,410,1613,34.080
1271,411,1614,42
1272,411,1615,20
1273,412,1619,30
1274,412,1620,16
1275,412,1621,48
1276,413,1622,38
1277,413,1623,23
1278,413,1624,26
1279,414,1627,7.000
1280,414,1628,24.750
1281,414,1629,1.680
1282,414,1630,0.340
1283,415,1631,47
1284,415,1632,21
1285,415,1633,44
1286,416,1637,13
1287,416,1638,2
1288,416,1639,18
1289,416,1640,41
1290,417,1643,27
1291,417,1644,16
1292,417,1645,39
1293,417,1646,39
1294,418,1655,28.700
1295,418,1656,11.040
1296,418,1657,3.630
1297,418,1658,3.950
1298,418,1659,2.400
1299,419,1662,50
1300,419,1663,26
1301,420,1668,36
1302,420,1669,22
1303,420,1670,32
1304,420,1671,24
1305,421,1676,8
1306,421,1677,40
1307,421,1678,31
1308,422,1679,23
1309,422,1680,13
1310,422,1681,29
1311,422,1682,50
1312,423,1683,22
1313,423,1684,6
1314,423,1685,40
1315,424,1686,20
1316,424,1687,40
1317,425,1688,36
1318,425,1689,36
1319,425,1690,8
1320,425,1691,5
1321,425,1692,30
1322,426,1693,47
1323,426,1694,25
1324,427,1695,3
1325,427,1696,13
1326,427,1697,49
1327,427,1698,48
1328,427,1699,21
1329,428,1700,26
1330,429,1701,14
1331,429,1702,50
1332,430,1703,7
1333,430,1704,30
1334,431,1705,12.760
1335,431,1706,2.700
1336,431,1707,14.430
1337,431,1708,8.000
1338,431,1709,5.600
1339,432,1710,33
1340,432,1711,9
1341,432,1712,48
1342,432,1713,16
1343,432,1714,41
1344,433,1715,25.300
1345,433,1716,31.050
1346,433,1717,17.550
1347,433,1718,4.080
1348,434,1719,34
1349,434,1720,1
1350,434,1721,38
1351,435,1723,1
1352,436,1724,5.850
1353,436,1725,23.680
1354,436,1726,12.240
1355,436,1727,5.180
1356,437,1728,14
1357,438,1729,35
1358,438,1730,14
1359,439,1734,35
1360,440,1735,1
1361,440,1736,38
1362,440,1737,11
1363,440,1738,40
1364,441,1739,35
1365,441,1740,18
1366,441,1741,40
1367,441,1742,48
1368,441,1743,31
1369,442,1744,24
1370,442,1745,30
1371,442,1746,14
1372,442,1747,44
1373,443,1748,15.300
1374,443,1749,1.750
1375,443,1750,23.800
1376,444,1751,23
1377,444,1752,10
1378,444,1753,43
1379,444,1754,20
1380,445,1755,14
1381,445,1756,37
1382,445,1757,3
1383,445,1758,4
1384,445,1759,48
1385,446,1763,13
1386,446,1764,35
1387,446,1765,29
1388,446,1766,39
1389,446,1767,50
1390,447,1768,15
1391,447,1769,21
1392,447,1770,11
1393,447,1771,14
1394,447,1772,5
1395,448,1773,45
1396,449,1774,29
1397,449,1775,40
1398,449,1776,35
1399,449,1777,44
1400,450,1778,10
1401,450,1779,18
1402,450,1780,21
1403,450,1781,14
1404,451,1782,33
1405,451,1783,13
1406,451,1784,27
1407,451,1785,40
1408,451,1786,11
1409,452,1787,8
1410,452,1788,22
1411,452,1789,36
1412,452,1790,3
1413,452,1791,33
1414,453,1792,38
1415,453,1793,20
1416,453,1794,38
1417,454,1801,5.400
1418,455,1803,10.560
1419,455,1804,23.430
1420,455,1805,10.320
1421,455,1806,11.020
1422,455,1807,10.800
1423,456,1808,40
1424,456,1809,4
1425,456,1810,19
1426,456,1811,6
1427,456,1812,18
1428,457,1813,34.080
1429,458,1817,46
1430,459,1818,23.180
1431,459,1819,20.090
1432,460,1820,25.080
1433,460,1821,3.990
1434,460,1822,18.500
1435,460,1823,9.880
1436,461,1824,48
1437,461,1825,41
1438,461,1826,38
1439,462,1827,22
1440,462,1828,39
1441,462,1829,22
1442,462,1830,41
1443,463,1831,12
1444,463,1832,37
1445,463,1833,19
1446,463,1834,38
1447,463,1835,7
1448,464,1836,16
1449,464,1837,50
1450,464,1838,47
1451,465,1842,2
1452,465,1843,35
1453,465,1844,36
1454,465,1845,22
1455,465,1846,21
1456,466,1851,0.640
1457,466,1852,12.400
1458,467,1853,44
1459,467,1854,43
1460,467,1855,35
1461,467,1856,30
1462,467,1857,15
1463,468,1862,30
1464,468,1863,37
1465,468,1864,26
1466,468,1865,38
1467,468,1866,32
1468,469,1872,22.200
1469,469,1873,14.400
1470,469,1874,5.180
1471,469,1875,3.640
1472,469,1876,5.280
1473,470,1892,38
1474,470,1893,23
1475,470,1894,46
1476,471,1895,15
1477,471,1896,1
1478,471,1897,8
1479,471,1898,32
1480,472,1900,1
1481,472,1901,20
1482,472,1902,37
1483,472,1903,9
1484,473,1904,27
1485,473,1905,30
1486,473,1906,41
1487,473,1907,17
1488,474,1908,42
1489,474,1909,4
1490,474,1910,24
1491,474,1911,13
1492,474,1912,12
1493,475,1913,12.600
1494,475,1914,1.700
1495,476,1918,38
1496,476,1919,10
1497,476,1920,22
1498,476,1921,36
1499,477,1922,15
1500,477,1923,20
1501,477,1924,22
