id,return_number,order_id,customer_id,received_at_location_id,status,reason,total_refund_amount,created_at,updated_at
22,RT-000022,41662,355,5,completed,Item não corresponde à descrição,3536.51,2024-03-20 22:27:23,2024-03-20 22:27:23
23,RT-000023,43248,960,4,completed,Outros,1228.35,2026-02-23 22:40:41,2026-02-23 22:40:41
24,RT-000024,4261,1698,2,completed,Produto com defeito de fábrica,0.00,2025-05-11 09:37:10,2025-05-11 09:37:10
25,RT-000025,39133,1762,6,completed,Cliente desistiu da compra,18844.70,2026-10-21 02:12:38,2026-10-21 02:12:38
26,RT-000026,7457,760,4,completed,Item não corresponde à descrição,10974.88,2025-05-07 17:56:56,2025-05-07 17:56:56
27,RT-000027,3569,510,5,completed,Cliente desistiu da compra,18211.36,2026-05-07 10:17:05,2026-05-07 10:17:05
28,RT-000028,20621,1294,2,completed,Produto avariado no transporte,5382.40,2022-08-23 22:37:00,2022-08-23 22:37:00
29,RT-000029,32710,1246,2,open,Tamanho/cor incorretos,1276.93,2024-08-15 10:54:20,2024-08-15 10:54:20
30,RT-000030,1664,1821,2,completed,Tamanho/cor incorretos,10481.04,2025-11-26 23:19:56,2025-11-26 23:19:56
31,RT-000031,42909,946,2,completed,Cliente desistiu da compra,0.00,2025-01-11 15:59:04,2025-01-11 15:59:04
32,RT-000032,25871,1129,2,completed,Compra duplicada,2501.65,2024-01-02 07:40:37,2024-01-02 07:40:37
33,RT-000033,178,1734,3,completed,Cliente desistiu da compra,3478.05,2025-04-29 12:21:14,2025-04-29 12:21:14
34,RT-000034,49550,1292,5,completed,Produto avariado no transporte,8259.40,2024-03-01 15:16:03,2024-03-01 15:16:03
35,RT-000035,845,730,4,open,Compra duplicada,0.00,2026-12-28 06:31:01,2026-12-28 06:31:01
36,RT-000036,43953,1625,3,completed,Produto avariado no transporte,2529.43,2024-06-27 09:26:33,2024-06-27 09:26:33
37,RT-000037,312,588,5,completed,Produto com defeito de fábrica,0.00,2026-04-26 12:02:52,2026-04-26 12:02:52
38,RT-000038,43653,1707,2,open,Produto com defeito de fábrica,23871.21,2024-06-06 13:57:46,2024-06-06 13:57:46
39,RT-000039,43115,133,6,completed,Compra duplicada,4963.82,2026-04-25 07:46:27,2026-04-25 07:46:27
40,RT-000040,20543,1294,5,open,Tamanho/cor incorretos,3019.22,2024-06-30 14:22:43,2024-06-30 14:22:43
41,RT-000041,13985,1045,1,open,—,3708.24,2026-12-02 23:09:29,2026-12-02 23:09:29
42,RT-000042,9209,821,4,completed,Cliente desistiu da compra,1612.24,2021-01-13 07:31:04,2021-01-13 07:31:04
43,RT-000043,4111,1423,6,completed,Tamanho/cor incorretos,539.43,2024-03-22 18:30:59,2024-03-22 18:30:59
44,RT-000044,46889,186,6,completed,Tamanho/cor incorretos,2097.84,2024-02-11 22:58:19,2024-02-11 22:58:19
45,RT-000045,19804,162,1,open,Cliente desistiu da compra,6567.66,2020-09-18 15:00:31,2020-09-18 15:00:31
47,RT-000047,11601,114,2,cancelled,Tamanho/cor incorretos,2156.00,2025-04-23 23:10:02,2025-04-23 23:10:02
48,RT-000048,18842,67,2,completed,Compra duplicada,2866.44,2022-04-30 19:15:38,2022-04-30 19:15:38
49,RT-000049,46165,1269,6,completed,Produto avariado no transporte,4878.71,2025-11-22 14:01:20,2025-11-22 14:01:20
50,RT-000050,12685,471,5,completed,Cliente desistiu da compra,391.94,2024-03-21 03:51:34,2024-03-21 03:51:34
51,RT-000051,25890,461,2,completed,?,26978.16,2025-01-25 11:00:06,2025-01-25 11:00:06
52,RT-000052,46768,1738,1,completed,Tamanho/cor incorretos,14946.27,2025-03-30 03:34:16,2025-03-30 03:34:16
53,RT-000053,44257,1079,6,open,Tamanho/cor incorretos,8942.78,2023-03-09 03:16:15,2023-03-09 03:16:15
54,RT-000054,31908,1333,2,cancelled,Cliente desistiu da compra,207.90,2026-02-09 10:21:12,2026-02-09 10:21:12
55,RT-000055,25006,794,6,cancelled,Compra duplicada,2138.38,2024-03-03 07:18:16,2024-03-03 07:18:16
56,RT-000056,23205,350,5,cancelled,Item não corresponde à descrição,9642.03,2021-02-02 21:26:05,2021-02-02 21:26:05
57,RT-000057,33608,446,2,cancelled,Produto avariado no transporte,13008.40,2021-11-02 15:38:51,2021-11-02 15:38:51
58,RT-000058,31816,1320,4,completed,Produto com defeito de fábrica,8761.30,2026-12-01 23:07:06,2026-12-01 23:07:06
59,RT-000059,49583,671,1,completed,Item não corresponde à descrição,2526.33,2026-05-16 19:08:14,2026-05-16 19:08:14
60,RT-000060,40015,1838,2,completed,Compra duplicada,22304.22,2021-01-14 09:11:47,2021-01-14 09:11:47
61,RT-000061,28038,1108,1,completed,Produto avariado no transporte,21062.96,2026-12-30 16:30:10,2026-12-30 16:30:10
62,RT-000062,5584,828,3,open,Produto avariado no transporte,7611.32,2024-11-17 12:06:07,2024-11-17 12:06:07
63,RT-000063,29718,1776,2,completed,Produto avariado no transporte,10459.28,2024-05-06 21:19:07,2024-05-06 21:19:07
64,RT-000064,32529,550,5,completed,Compra duplicada,14997.50,2025-02-02 08:02:12,2025-02-02 08:02:12
65,RT-000065,32794,129,6,completed,Compra duplicada,3685.42,2021-04-25 04:02:39,2021-04-25 04:02:39
66,RT-000066,36723,555,2,completed,Cliente desistiu da compra,3119.13,2025-02-25 01:54:23,2025-02-25 01:54:23
67,RT-000067,35516,427,2,completed,Compra duplicada,1028.21,2023-04-01 10:00:13,2023-04-01 10:00:13
68,RT-000068,597,1209,1,completed,Item não corresponde à descrição,522.87,2023-12-22 00:55:50,2023-12-22 00:55:50
69,RT-000069,46276,979,3,completed,Produto avariado no transporte,25525.30,2024-01-03 22:36:56,2024-01-03 22:36:56
70,RT-000070,5309,1208,1,completed,Produto com defeito de fábrica,0.00,2021-02-08 00:43:49,2021-02-08 00:43:49
71,RT-000071,22766,22,2,completed,Compra duplicada,1110.12,2025-10-13 07:12:58,2025-10-13 07:12:58
72,RT-000072,7651,406,4,completed,Cliente desistiu da compra,22779.00,2026-01-21 16:43:37,2026-01-21 16:43:37
73,RT-000073,20316,346,6,completed,Compra duplicada,3233.34,2020-11-10 15:27:38,2020-11-10 15:27:38
74,RT-000074,6308,1130,5,completed,Item não corresponde à descrição,1521.36,2022-03-26 09:02:24,2022-03-26 09:02:24
75,RT-000075,25450,686,6,completed,Tamanho/cor incorretos,31461.27,2024-05-06 07:54:19,2024-05-06 07:54:19
76,RT-000076,26589,61,4,completed,Compra duplicada,0.00,2022-07-30 11:54:25,2022-07-30 11:54:25
77,RT-000077,30200,615,5,completed,Compra duplicada,3072.26,2020-09-22 03:29:03,2020-09-22 03:29:03
78,RT-000078,15243,587,1,completed,Item não corresponde à descrição,4266.68,2026-11-20 16:01:56,2026-11-20 16:01:56
80,RT-000080,13118,835,3,completed,Cliente desistiu da compra,2945.18,2020-03-17 17:21:20,2020-03-17 17:21:20
81,RT-000081,20764,1481,2,completed,Compra duplicada,2301.52,2026-01-06 18:39:37,2026-01-06 18:39:37
82,RT-000082,48501,1451,4,completed,Cliente desistiu da compra,0.00,2023-10-13 01:06:14,2023-10-13 01:06:14
83,RT-000083,20142,1927,4,completed,Item não corresponde à descrição,2402.23,2024-01-17 15:05:48,2024-01-17 15:05:48
84,RT-000084,37579,1986,3,completed,Item não corresponde à descrição,0.00,2025-05-08 04:11:26,2025-05-08 04:11:26
85,RT-000085,38395,1039,5,completed,Tamanho/cor incorretos,5213.04,2021-12-08 14:27:58,2021-12-08 14:27:58
86,RT-000086,3193,808,3,open,Compra duplicada,3529.00,2023-01-20 00:52:05,2023-01-20 00:52:05
87,RT-000087,18831,1589,3,cancelled,Tamanho/cor incorretos,2963.37,2026-12-28 14:39:12,2026-12-28 14:39:12
88,RT-000088,19399,1626,1,completed,Tamanho/cor incorretos,2868.84,2022-12-23 10:06:04,2022-12-23 10:06:04
89,RT-000089,40710,944,5,completed,Produto avariado no transporte,9841.44,2023-12-30 15:13:01,2023-12-30 15:13:01
90,RT-000090,48474,464,4,cancelled,Produto avariado no transporte,12871.32,2025-01-24 06:20:15,2025-01-24 06:20:15
91,RT-000091,47005,1989,1,completed,Produto com defeito de fábrica,5958.40,2026-12-11 04:04:35,2026-12-11 04:04:35
92,RT-000092,14666,963,5,completed,Cliente desistiu da compra,1621.91,2022-02-04 00:54:05,2022-02-04 00:54:05
93,RT-000093,33664,977,1,completed,Cliente desistiu da compra,6348.71,2023-01-16 07:06:35,2023-01-16 07:06:35
94,RT-000094,9678,193,4,completed,Produto com defeito de fábrica,52.57,2026-01-12 10:41:50,2026-01-12 10:41:50
95,RT-000095,26806,1993,4,completed,Cliente desistiu da compra,3478.08,2021-12-02 07:31:22,2021-12-02 07:31:22
96,RT-000096,43712,1991,4,completed,Produto avariado no transporte,9853.98,2024-02-13 19:36:13,2024-02-13 19:36:13
97,RT-000097,35742,1360,6,completed,Produto avariado no transporte,138.66,2025-02-20 14:23:45,2025-02-20 14:23:45
98,RT-000098,42109,227,3,completed,Cliente desistiu da compra,7696.44,2026-01-02 13:21:06,2026-01-02 13:21:06
99,RT-000099,5866,345,6,completed,Tamanho/cor incorretos,1653.20,2022-10-25 13:20:08,2022-10-25 13:20:08
100,RT-000100,38127,1747,1,completed,Outros,2135.61,2022-05-08 13:00:15,2022-05-08 13:00:15
101,RT-000101,46187,359,3,completed,Produto avariado no transporte,1832.08,2025-05-04 16:33:34,2025-05-04 16:33:34
102,RT-000102,48693,557,1,completed,Produto com defeito de fábrica,658.74,2024-07-10 12:54:27,2024-07-10 12:54:27
103,RT-000103,41961,445,6,cancelled,Compra duplicada,2300.24,2024-08-21 23:02:05,2024-08-21 23:02:05
104,RT-000104,3330,224,2,completed,Cliente desistiu da compra,6537.09,2021-11-09 11:32:55,2021-11-09 11:32:55
105,RT-000105,7830,1941,4,completed,Tamanho/cor incorretos,0.00,2026-03-16 08:28:10,2026-03-16 08:28:10
106,RT-000106,34785,1588,1,completed,Produto avariado no transporte,2563.85,2021-12-22 18:52:02,2021-12-22 18:52:02
107,RT-000107,22190,1293,4,open,Compra duplicada,0.00,2021-04-04 20:01:55,2021-04-04 20:01:55
108,RT-000108,45393,1070,1,completed,Cliente desistiu da compra,0.00,2025-12-20 13:17:22,2025-12-20 13:17:22
109,RT-000109,19572,47,6,completed,Cliente desistiu da compra,18578.35,2026-07-01 16:16:50,2026-07-01 16:16:50
110,RT-000110,40459,1592,5,completed,Item não corresponde à descrição,6502.36,2022-05-30 07:22:14,2022-05-30 07:22:14
111,RT-000111,48236,270,3,completed,Compra duplicada,0.00,2026-12-15 08:06:54,2026-12-15 08:06:54
112,RT-000112,32503,151,5,completed,Compra duplicada,6027.34,2021-03-26 18:00:31,2021-03-26 18:00:31
113,RT-000113,41864,794,1,cancelled,Compra duplicada,1362.27,2025-01-07 18:35:53,2025-01-07 18:35:53
114,RT-000114,27600,1988,6,completed,Item não corresponde à descrição,2761.54,2022-12-01 10:22:54,2022-12-01 10:22:54
115,RT-000115,17780,215,1,completed,Produto com defeito de fábrica,1149.14,2026-05-05 19:40:16,2026-05-05 19:40:16
116,RT-000116,26408,351,4,cancelled,Cliente desistiu da compra,5678.22,2024-03-21 17:11:11,2024-03-21 17:11:11
117,RT-000117,29579,953,6,completed,Cliente desistiu da compra,16553.46,2024-01-25 20:01:49,2024-01-25 20:01:49
118,RT-000118,12875,1791,4,completed,Item não corresponde à descrição,6439.32,2024-03-07 12:07:47,2024-03-07 12:07:47
119,RT-000119,35931,68,2,completed,Compra duplicada,20134.05,2020-06-18 07:39:15,2020-06-18 07:39:15
120,RT-000120,525,563,5,completed,Compra duplicada,3840.30,2026-11-28 01:20:42,2026-11-28 01:20:42
121,RT-000121,7526,1265,3,completed,Compra duplicada,4784.06,2026-02-21 01:35:17,2026-02-21 01:35:17
122,RT-000122,3369,13,6,completed,Produto com defeito de fábrica,8274.60,2025-11-05 08:57:21,2025-11-05 08:57:21
123,RT-000123,26761,103,2,completed,Compra duplicada,7161.09,2021-03-13 14:32:33,2021-03-13 14:32:33
124,RT-000124,48992,313,2,completed,Produto avariado no transporte,2138.76,2022-03-13 12:25:07,2022-03-13 12:25:07
125,RT-000125,43195,1731,4,completed,Compra duplicada,36.65,2023-01-24 05:11:06,2023-01-24 05:11:06
126,RT-000126,37230,340,6,completed,Produto avariado no transporte,2247.99,2026-03-19 23:46:06,2026-03-19 23:46:06
127,RT-000127,32968,1854,5,completed,Tamanho/cor incorretos,594.44,2024-03-08 01:01:03,2024-03-08 01:01:03
128,RT-000128,15039,1055,6,completed,Item não corresponde à descrição,0.00,2023-11-23 04:10:29,2023-11-23 04:10:29
129,RT-000129,32646,142,1,cancelled,Produto com defeito de fábrica,0.00,2022-11-22 07:10:01,2022-11-22 07:10:01
130,RT-000130,14888,1397,4,cancelled,Tamanho/cor incorretos,4303.06,2026-03-06 15:41:08,2026-03-06 15:41:08
131,RT-000131,26638,451,5,completed,Item não corresponde à descrição,0.00,2027-01-17 08:39:53,2027-01-17 08:39:53
132,RT-000132,48570,40,1,open,Produto com defeito de fábrica,2880.87,2024-10-30 03:39:30,2024-10-30 03:39:30
133,RT-000133,6997,337,5,cancelled,Tamanho/cor incorretos,17187.12,2025-10-19 10:47:22,2025-10-19 10:47:22
134,RT-000134,26764,1480,4,completed,Compra duplicada,4459.59,2024-04-23 22:19:59,2024-04-23 22:19:59
135,RT-000135,8119,1156,1,completed,Produto avariado no transporte,2783.63,2022-07-16 00:30:54,2022-07-16 00:30:54
136,RT-000136,1803,241,5,completed,Cliente desistiu da compra,0.00,2022-01-05 22:41:38,2022-01-05 22:41:38
137,RT-000137,12192,269,6,completed,Produto com defeito de fábrica,0.00,2024-04-13 20:49:20,2024-04-13 20:49:20
138,RT-000138,17522,1687,4,open,Produto avariado no transporte,0.00,2026-04-10 10:40:47,2026-04-10 10:40:47
139,RT-000139,46570,1933,6,completed,Tamanho/cor incorretos,1725.92,2025-12-15 11:52:20,2025-12-15 11:52:20
140,RT-000140,15827,942,6,completed,Compra duplicada,15535.80,2021-04-08 02:46:43,2021-04-08 02:46:43
141,RT-000141,35837,287,6,cancelled,cliente desistiu,2363.80,2024-10-01 06:16:37,2024-10-01 06:16:37
142,RT-000142,22734,1160,1,completed,Produto avariado no transporte,10386.00,2026-11-14 20:12:14,2026-11-14 20:12:14
143,RT-000143,11091,1503,3,completed,Produto avariado no transporte,4866.10,2023-01-15 17:15:05,2023-01-15 17:15:05
144,RT-000144,6515,356,2,completed,Tamanho/cor incorretos,6229.49,2024-03-20 22:52:55,2024-03-20 22:52:55
145,RT-000145,6475,519,6,completed,Cliente desistiu da compra,0.00,2025-11-07 16:09:20,2025-11-07 16:09:20
146,RT-000146,12993,328,3,open,Tamanho/cor incorretos,3708.24,2023-06-05 22:57:28,2023-06-05 22:57:28
147,RT-000147,6512,316,3,completed,Compra duplicada,2721.70,2020-03-27 08:58:07,2020-03-27 08:58:07
148,RT-000148,43129,1325,6,completed,Item não corresponde à descrição,0.00,2020-04-14 12:46:33,2020-04-14 12:46:33
149,RT-000149,24793,1355,1,completed,Produto com defeito de fábrica,0.00,2025-12-24 10:32:01,2025-12-24 10:32:01
150,RT-000150,37825,93,3,completed,Compra duplicada,11056.26,2026-07-23 21:20:36,2026-07-23 21:20:36
151,RT-000151,29514,528,6,completed,Compra duplicada,964.88,2021-11-07 15:03:59,2021-11-07 15:03:59
153,RT-000153,5339,152,4,completed,Compra duplicada,920.67,2023-01-09 09:03:38,2023-01-09 09:03:38
154,RT-000154,20709,671,3,completed,Compra duplicada,760.92,2024-12-04 05:29:12,2024-12-04 05:29:12
155,RT-000155,4653,1423,1,completed,Produto com defeito de fábrica,17248.00,2020-03-24 20:20:18,2020-03-24 20:20:18
156,RT-000156,26392,260,3,completed,Tamanho/cor incorretos,8112.72,2022-11-09 09:26:48,2022-11-09 09:26:48
157,RT-000157,5104,1287,5,completed,Compra duplicada,9293.95,2022-11-17 14:29:45,2022-11-17 14:29:45
158,RT-000158,9585,1821,5,completed,Cliente desistiu da compra,12156.32,2026-09-27 15:53:21,2026-09-27 15:53:21
159,RT-000159,37724,115,1,completed,Produto com defeito de fábrica,868.09,2023-01-20 08:45:02,2023-01-20 08:45:02
160,RT-000160,18910,1258,4,completed,Cliente desistiu da compra,1425.15,2021-02-10 17:15:46,2021-02-10 17:15:46
161,RT-000161,44820,1381,5,completed,Compra duplicada,865.53,2022-02-09 13:23:39,2022-02-09 13:23:39
162,RT-000162,12401,571,4,open,Tamanho/cor incorretos,2079.95,2022-05-20 15:06:16,2022-05-20 15:06:16
163,RT-000163,33924,882,2,completed,Cliente desistiu da compra,0.00,2026-10-23 11:10:16,2026-10-23 11:10:16
164,RT-000164,21584,544,4,completed,Tamanho/cor incorretos,2761.54,2021-05-14 09:14:24,2021-05-14 09:14:24
165,RT-000165,19285,384,4,completed,Cliente desistiu da compra,2806.26,2022-07-01 03:56:33,2022-07-01 03:56:33
166,RT-000166,41883,359,5,completed,Produto com defeito de fábrica,509.32,2023-12-18 07:19:29,2023-12-18 07:19:29
167,RT-000167,36751,527,5,cancelled,Tamanho/cor incorretos,0.00,2024-09-12 19:35:52,2024-09-12 19:35:52
168,RT-000168,20576,85,3,completed,Compra duplicada,984.70,2026-12-13 01:48:59,2026-12-13 01:48:59
169,RT-000169,41693,716,6,open,Produto com defeito de fábrica,0.00,2021-12-20 09:45:59,2021-12-20 09:45:59
170,RT-000170,46412,740,6,completed,Compra duplicada,0.00,2021-05-06 10:46:11,2021-05-06 10:46:11
171,RT-000171,13269,1449,3,completed,Compra duplicada,1639.82,2023-03-10 20:41:22,2023-03-10 20:41:22
172,RT-000172,20362,1031,1,completed,Produto avariado no transporte,7384.05,2022-05-10 00:11:18,2022-05-10 00:11:18
173,RT-000173,42739,1627,6,completed,Tamanho/cor incorretos,2647.26,2024-02-22 09:16:46,2024-02-22 09:16:46
176,RT-000176,48927,476,5,completed,Produto avariado no transporte,2612.73,2023-03-03 23:37:26,2023-03-03 23:37:26
177,RT-000177,33732,202,4,open,Produto avariado no transporte,14276.41,2022-03-07 19:18:50,2022-03-07 19:18:50
178,RT-000178,8903,1739,6,cancelled,Cliente desistiu da compra,3148.53,2025-12-15 14:27:00,2025-12-15 14:27:00
179,RT-000179,34135,799,2,completed,Produto avariado no transporte,0.00,2025-01-23 00:48:08,2025-01-23 00:48:08
180,RT-000180,14740,1125,2,completed,Compra duplicada,5744.05,2025-01-10 15:48:54,2025-01-10 15:48:54
181,RT-000181,31562,8,1,open,Compra duplicada,23189.49,2024-02-13 06:57:33,2024-02-13 06:57:33
182,RT-000182,20258,1457,1,open,Item não corresponde à descrição,0.00,2021-05-15 05:56:43,2021-05-15 05:56:43
183,RT-000183,44606,915,3,completed,Produto com defeito de fábrica,2763.78,2026-11-25 15:27:04,2026-11-25 15:27:04
184,RT-000184,44347,248,4,completed,Cliente desistiu da compra,2845.64,2020-06-22 10:34:38,2020-06-22 10:34:38
185,RT-000185,40195,1228,6,completed,Produto com defeito de fábrica,7107.63,2025-11-30 05:39:13,2025-11-30 05:39:13
186,RT-000186,37813,1421,1,completed,Item não corresponde à descrição,11523.75,2027-01-06 12:06:03,2027-01-06 12:06:03
187,RT-000187,37156,968,2,completed,Item não corresponde à descrição,0.00,2023-03-07 22:46:15,2023-03-07 22:46:15
188,RT-000188,49418,804,5,completed,Compra duplicada,12124.12,2026-12-29 20:40:49,2026-12-29 20:40:49
189,RT-000189,15523,1102,6,completed,Compra duplicada,9881.68,2025-11-13 21:14:22,2025-11-13 21:14:22
190,RT-000190,27551,1904,3,completed,Compra duplicada,518.20,2025-02-21 18:59:10,2025-02-21 18:59:10
191,RT-000191,24908,256,6,cancelled,Tamanho/cor incorretos,0.00,2021-07-08 07:26:29,2021-07-08 07:26:29
192,RT-000192,28451,437,6,cancelled,Item não corresponde à descrição,6943.12,2023-01-06 05:13:14,2023-01-06 05:13:14
193,RT-000193,21540,1114,2,completed,Tamanho/cor incorretos,11447.46,2020-02-19 13:06:23,2020-02-19 13:06:23
194,RT-000194,25828,1966,6,completed,Produto avariado no transporte,2916.36,2025-04-02 08:16:10,2025-04-02 08:16:10
195,RT-000195,37165,238,4,completed,Produt oavariado no transporte,4668.90,2025-05-19 13:39:58,2025-05-19 13:39:58
196,RT-000196,6322,224,3,completed,Produto avariado no transporte,3127.34,2024-01-01 13:35:39,2024-01-01 13:35:39
197,RT-000197,21202,373,1,cancelled,Item não corresponde à descrição,2548.26,2023-02-04 11:57:32,2023-02-04 11:57:32
198,RT-000198,18509,81,2,completed,Tamanho/cor incorretos,3930.39,2024-04-06 00:36:36,2024-04-06 00:36:36
199,RT-000199,45346,676,4,cancelled,Compra duplicada,4990.38,2022-06-22 23:14:00,2022-06-22 23:14:00
200,RT-000200,35974,366,1,completed,Item não corresponde à descrição,18959.32,2026-12-02 00:31:04,2026-12-02 00:31:04
201,RT-000201,31188,1893,6,completed,Cliente desistiu da compra,1891.34,2024-03-31 13:14:30,2024-03-31 13:14:30
202,RT-000202,40253,757,6,completed,Item não corresponde à descrição,0.00,2021-08-07 23:46:44,2021-08-07 23:46:44
203,RT-000203,47558,1354,1,completed,Produto com defeito de fábrica,27883.80,2026-02-21 12:19:20,2026-02-21 12:19:20
204,RT-000204,18037,1283,4,cancelled,Item não corresponde à descrição,0.00,2022-12-30 04:31:15,2022-12-30 04:31:15
205,RT-000205,7339,110,2,completed,Cliente desistiu da compra,0.00,2025-11-05 07:49:22,2025-11-05 07:49:22
206,RT-000206,586,1994,1,completed,Produto avariado no transporte,2428.81,2026-05-22 03:11:58,2026-05-22 03:11:58
207,RT-000207,8765,71,4,completed,Produto com defeito de fábrica,12972.60,2024-07-12 22:07:40,2024-07-12 22:07:40
208,RT-000208,5341,656,6,completed,Item não corresponde à descrição,9732.20,2026-02-07 12:54:56,2026-02-07 12:54:56
209,RT-000209,44369,471,3,completed,Produto com defeito de fábrica,2189.02,2025-03-29 01:10:02,2025-03-29 01:10:02
211,RT-000211,34551,896,1,completed,Produto avariado no transporte,6315.38,2021-06-12 12:32:02,2021-06-12 12:32:02
212,RT-000212,47619,722,3,open,Item não corresponde à descrição,14028.12,2026-04-22 09:57:21,2026-04-22 09:57:21
213,RT-000213,26300,888,5,open,Tamanho/cor incorretos,0.00,2024-01-02 22:37:15,2024-01-02 22:37:15
214,RT-000214,47302,295,2,completed,Cliente desistiu da compra,0.00,2026-09-25 12:29:12,2026-09-25 12:29:12
215,RT-000215,15455,370,1,completed,Cliente desistiu da compra,0.00,2023-09-06 17:26:27,2023-09-06 17:26:27
216,RT-000216,18026,1244,1,completed,Cliente desistiu da compra,2217.71,2024-03-20 15:13:08,2024-03-20 15:13:08
217,RT-000217,19857,1500,2,completed,Produto com defeito de fábrica,0.00,2025-03-09 02:38:38,2025-03-09 02:38:38
218,RT-000218,49535,786,1,completed,Tamanho/cor incorretos,0.00,2023-09-06 12:08:30,2023-09-06 12:08:30
219,RT-000219,12802,1699,2,completed,Produto com defeito de fábrica,15082.02,2024-12-09 16:10:35,2024-12-09 16:10:35
220,RT-000220,16406,1094,5,completed,Tamanho/cor incorretos,0.00,2024-04-04 00:11:32,2024-04-04 00:11:32
221,RT-000221,18365,23,3,completed,Cliente desistiu da compra,212.31,2021-05-09 08:11:16,2021-05-09 08:11:16
222,RT-000222,34765,329,6,open,Cliente desistiu da compra,4312.76,2025-02-19 05:35:32,2025-02-19 05:35:32
223,RT-000223,37544,873,3,open,Item não corresponde à descrição,5298.34,2021-03-18 13:52:53,2021-03-18 13:52:53
224,RT-000224,18287,1941,1,completed,Cliente desistiu da compra,7299.15,2023-12-21 06:54:54,2023-12-21 06:54:54
225,RT-000225,679,1374,4,completed, Compra duplicada,0.00,2027-01-13 02:07:27,2027-01-13 02:07:27
226,RT-000226,48688,625,4,completed,Cliente desistiu da compra,1359.18,2024-11-23 22:37:20,2024-11-23 22:37:20
227,RT-000227,12800,2,1,completed,Cliente desistiu da compra,6008.40,2021-04-06 08:52:05,2021-04-06 08:52:05
228,RT-000228,33774,1309,6,completed,Produto com defeito de fábrica,13560.42,2024-12-26 04:12:46,2024-12-26 04:12:46
229,RT-000229,36375,685,4,completed,Compra duplicada,26374.32,2025-06-25 20:28:39,2025-06-25 20:28:39
230,RT-000230,49587,956,5,completed,Item não corresponde à descrição,2785.44,2025-01-23 05:31:40,2025-01-23 05:31:40
231,RT-000231,28112,1091,1,completed,Produto com defeito de fábrica,3357.11,2021-03-20 21:21:15,2021-03-20 21:21:15
232,RT-000232,17579,446,4,completed,Produto avariado no transporte,0.00,2022-04-30 18:10:11,2022-04-30 18:10:11
233,RT-000233,4881,1269,5,completed,Produto com defeito de fábrica,0.00,2023-12-01 07:07:14,2023-12-01 07:07:14
234,RT-000234,1994,1262,3,completed,Produto avariado no transporte,3412.83,2025-05-15 00:14:50,2025-05-15 00:14:50
235,RT-000235,40647,1720,3,completed,Item não corresponde à descrição,3732.21,2021-01-02 10:18:39,2021-01-02 10:18:39
236,RT-000236,2094,1364,4,completed,,27037.80,2023-03-28 06:35:35,2023-03-28 06:35:35
