id,name,description,brand_id,category_id,ncm_code,unit_of_measure,is_active,created_at,updated_at
19,Âncora Bruce 4405,Âncora de garra tipo Bruce em aço galvanizado,6,14,43098343,UN,TRUE,2024-04-11 03:04:26,2026-08-28 01:13:32
20,GPS Plotter 7169,GPS chartplotter com cartografia,7,6,71298225,UN,TRUE,2026-06-14 10:10:02,2026-09-22 21:02:27
21,Âncora Bruce 6850,Âncora de garra tipo Bruce em aço galvanizado,2,12,60395870,UN,TRUE,2025-12-18 22:23:48,2026-06-12 02:46:38
22,Vela Mestra 7039,Vela mestra em dacron para veleiros 32 pés,5,9,64388226,UN,TRUE,2024-10-25 01:55:19,2025-12-10 20:53:28
23,Âncora Bruce 4975,Âncora de garra tipo Bruce em aço galvanizado,5,2,95095446,UN,TRUE,2022-08-01 03:25:12,2025-08-17 22:41:05
24,Colete Salva-Vidas 3398,Colete homologado classe III,10,5,64834488,UN,TRUE,2023-01-23 02:34:17,2023-05-09 10:21:54
25,Bússola de Bordo 799,Bússola magnética líquida com iluminação,4,7,60029856,UN,TRUE,2020-04-07 12:04:54,2026-11-21 19:53:40
26,Bússola de Bordo 3795,Bússola magnética líquida com iluminação,6,12,52325309,UN,TRUE,2023-07-12 12:19:16,2025-02-07 09:30:03
27,Colete Salva-Vidas 7001,Colete homologado classe III,3,6,81669019,UN,TRUE,2021-08-16 15:56:25,2022-09-23 02:15:15
28,Colete Salva-Vidas 1890,Colete homologado classe III,12,3,51088849,UN,TRUE,2026-01-09 05:49:29,2026-10-31 18:48:44
29,Defensa Náutica 3153,Defensa cilíndrica em PVC,6,10,21302420,PC,TRUE,2020-12-11 05:37:55,2025-12-27 21:51:54
30,Colete Salva-Vidas 8612,Colete homologado classe III,2,10,52979348,UN,TRUE,2021-07-31 05:21:39,2026-06-24 22:55:13
31,Sonar Transducer 4635,Transdutor de sonar para profundidade,3,4,81807314,UN,TRUE,2022-11-14 16:13:14,2026-02-19 10:44:53
32,Defensa Náutica 793,Defensa cilíndrica em PVC,9,6,29488584,PC,TRUE,2022-11-28 16:59:03,2023-02-05 02:29:22
33,Hélice de Alumínio 7117,Hélice 3 pás para motor de popa,11,5,13391884,UN,TRUE,2021-02-16 20:34:51,2026-06-25 05:48:30
34,Defensa Náutica 5959,Defensa cilíndrica em PVC,7,14,52963458,PC,TRUE,2022-12-18 01:39:06,2026-07-01 21:47:59
35,Colete Salva-Vidas 8211,Colete homologado classe III,2,1,67937611,UN,TRUE,2026-07-13 04:57:48,2026-10-27 01:58:22
36,GPS Plotter 8951,,11,11,34113573,UN,TRUE,2025-02-17 20:06:01,2026-11-14 15:18:00
37,Âncora Bruce 3597,Âncora de garra tipo Bruce em aço galvanizado,11,13,71673210,UN,TRUE,2026-12-09 07:12:10,2026-12-13 23:56:24
38,Sonar Transducer 7290,Transdutor de sonar para profundidade,5,6,77592988,UN,TRUE,2021-12-22 05:03:01,2022-02-20 04:12:13
39,Bateria Náutica 3427,Bateria estacionária 105Ah náutica,7,7,35734374,UN,TRUE,2023-05-22 00:19:36,2026-11-05 14:59:52
40,Tinta Antifouling 4321,Tinta antiincrustante 3.6L para casco,4,11,85345895,L,TRUE,2024-06-26 14:04:53,2026-12-15 06:40:20
41,Âncora Bruce 2416,Âncora de garra tipo Bruce em aço galvanizado,12,8,84914514,UN,TRUE,2022-05-22 22:41:33,2022-08-27 00:57:19
42,Tinta Antifouling 503,Tinta antiincrustante 3.6L para casco,10,9,10032928,L,TRUE,2020-02-22 13:52:08,2024-08-24 04:36:59
43,Defensa Náutica 9513,Defensa cilíndrica em PVC,10,1,86849289,PC,TRUE,2024-11-26 22:54:15,2025-01-25 02:13:20
44,Motor de Popa 9645,Motor de popa 4 tempos para embarcações de lazer,7,9,46650771,UN,TRUE,2026-02-09 15:59:24,2026-03-29 10:39:56
45,Tinta Antifouling 3620,Tinta antiincrustante 3.6L para casco,5,8,60564651,L,TRUE,2022-02-15 15:30:19,2026-01-13 19:51:14
46,Defensa Náutica 5036,Defensa cilíndrica em PVC,10,10,67890393,PC,TRUE,2023-08-28 20:28:01,2023-11-18 20:25:43
47,Motor de Popa 5561,Motor de popa 4 tempos para embarcações de lazer,10,7,29031648,UN,TRUE,2025-08-04 17:36:48,2025-09-28 17:58:14
48,Bússola de Bordo 6684,Bússola magnética líquida com iluminação,8,4,25861491,UN,TRUE,2020-01-03 21:57:17,2024-02-07 01:13:36
49,Bússola de Bordo 5407,Bússola magnética líquida com iluminação,3,11,95280616,UN,TRUE,2025-12-08 14:17:26,2026-01-09 00:16:11
50,Vela Mestra 1577,Vela mestra em dacron para veleiros 32 pés,1,13,93898745,UN,TRUE,2026-05-23 17:24:23,2026-10-04 18:11:14
51,Defensa Náutica 9969,Defensa cilíndrica em PVC,11,8,10618495,PC,TRUE,2022-12-17 06:16:09,2025-03-26 17:31:04
52,Bateria Náutica 8532,Bateria estacionária 105Ah náutica,6,11,86377937,UN,TRUE,2024-11-24 06:42:17,2025-05-23 15:19:52
53,Sonar Transducer 6909,Transdutor de sonar para profundidade,11,8,50781923,UN,TRUE,2026-07-16 02:51:16,2026-12-22 21:09:02
54,Colete Salva-Vidas 6302,Colete homologado classe III,2,2,19008486,UN,TRUE,2020-10-31 01:49:54,2025-02-21 05:46:20
55,GPS Plotter 6249,GPS chartplotter com cartografia,6,7,29094966,UN,TRUE,2026-03-08 06:33:57,2026-12-17 02:42:23
56,Sonar Transducer 4571,Transdutor de sonar para profundidade,4,7,16386633,UN,TRUE,2025-07-27 05:48:11,2026-07-08 02:23:39
57,Vela Mestra 6445,Vela mestra em dacron para veleiros 32 pés,11,1,68104273,UN,TRUE,2020-09-15 03:15:11,2022-04-16 21:23:19
58,Sonar Transducer 3832,Transdutor de sonar para profundidade,9,1,20312754,UN,TRUE,2026-02-25 06:30:01,2026-09-17 18:12:13
59,Bateria Náutica 8789,Bateria estacionária 105Ah náutica,11,3,91840820,UN,TRUE,2020-10-25 05:06:59,2026-05-27 05:47:10
60,Vela Mestra 2410,Vela mestra em dacron para veleiros 32 pés,6,12,23510590,UN,TRUE,2020-03-28 15:40:54,2024-03-31 06:41:43
61,Tinta Antifouling 693,Tinta antiincrustante 3.6L para casco,8,2,92156269,L,TRUE,2020-02-28 13:08:38,2023-04-06 05:33:49
62,Defensa Náutica 3549,Defensa cilíndrica em PVC,12,1,14655251,PC,TRUE,2026-02-20 14:20:24,2026-12-21 12:40:02
63,Colete Salva-Vidas 4753,Colete homologado classe III,1,11,90000712,UN,TRUE,2024-06-05 15:32:59,2024-12-06 23:42:55
64,Tinta Antifouling 9693,,6,1,53138513,L,TRUE,2026-10-25 04:11:34,2026-11-28 00:08:33
65,Colete Salva-Vidas 1933,Colete homologado classe III,12,6,16278731,UN,TRUE,2024-01-20 18:23:34,2026-10-22 02:31:51
66,TBD,GPS chartplotter com cartografia,2,9,48573072,UN,TRUE,2022-06-20 03:03:01,2023-09-14 07:13:23
67,Sonar Transducer 3474,Transdutor de sonar para profundidade,9,12,15583969,UN,TRUE,2025-11-01 09:51:44,2026-08-17 00:58:29
68,Âncora Bruce 2455,Âncora de garra tipo Bruce em aço galvanizado,1,14,56961646,UN,TRUE,2023-06-22 07:38:23,2026-02-19 13:28:51
69,Motor de Popa 2195,Motor de popa 4 tempos para embarcações de lazer,3,4,28195485,UN,TRUE,2025-05-09 08:51:33,2026-06-04 16:01:58
70,Motor de Popa 1845,Motor de popa 4 tempos para embarcações de lazer,3,1,17494612,UN,TRUE,2022-04-12 18:03:56,2023-03-13 09:21:58
71,Hélice de Alumínio 4633,Hélice 3 pás para motor de popa,12,14,42894142,UN,TRUE,2020-05-19 10:04:54,2022-12-29 05:38:07
72,Motor de Popa 9771,Motor de popa 4 tempos para embarcações de lazer,1,5,51293276,UN,TRUE,2023-04-29 12:31:51,2023-11-03 10:51:36
73,Hélice de Alumínio 3700,Hélice 3 pás para motor de popa,2,9,73651611,UN,TRUE,2025-09-13 01:07:34,2025-12-09 02:47:26
74,Bússola de Bordo 702,Bússola magnética líquida com iluminação,12,8,18607512,UN,TRUE,2025-01-27 17:41:23,2025-04-09 17:31:25
75,Vela Mestra 1913,Vela mestra em dacron para veleiros 32 pés,12,1,57272581,UN,TRUE,2024-07-25 11:40:13,2025-02-28 05:10:06
76,Sonar Transducer 9995,Transdutor de sonar para profundidade,1,4,77559964,UN,TRUE,2023-07-19 07:14:36,2024-02-11 21:41:10
77,Bateria Náutica 1945,Bateria estacionária 105Ah náutica,7,5,50274772,UN,TRUE,2022-03-07 14:58:45,2023-03-13 22:00:20
78,Colete Salva-Vidas 8571,Colete homologado classe III,3,10,43150129,UN,FALSE,2026-10-21 00:30:25,2026-12-31 09:03:03
79,Sonar Transducer 5255,Transdutor de sonar para profundidade,11,2,58025885,UN,TRUE,2023-04-06 19:01:55,2024-09-13 11:39:02
80,Hélice de Alumínio 6964,Hélice 3 pás para motor de popa,9,7,77080035,UN,TRUE,2024-03-20 01:14:15,2025-02-10 01:04:03
81,Motor de Popa 7678,Motor de popa 4 tempos para embarcações de lazer,4,5,52049999,UN,TRUE,2025-08-31 06:22:42,2026-05-03 04:39:03
82,Bússola de Bordo 3993,Bússola magnética líquida com iluminação,6,11,40046509,UN,TRUE,2025-07-24 09:13:56,2026-05-06 19:39:38
83,Bússola de Bordo 7257,Bússola magnética líquida com iluminação,6,10,60855553,UN,TRUE,2021-12-03 15:45:30,2024-06-06 12:19:09
84,Defensa Náutica 656,Defensa cilíndrica em PVC,7,14,85610479,PC,TRUE,2026-07-07 12:59:40,2026-07-30 16:10:22
85,Hélice de Alumínio 6549,Hélice 3 pás para motor de popa,2,14,72722927,UN,TRUE,2024-05-20 04:40:52,2026-06-03 15:15:13
86,GPS Plotter 4446,GPS chartplotter com cartografia,10,3,53622414,UN,TRUE,2025-09-18 19:26:57,2026-09-30 03:42:22
87,Vela Mestra 9995,Vela mestra em dacron para veleiros 32 pés,5,8,10803352,UN,TRUE,2022-06-12 00:52:10,2025-03-12 01:23:46
88,Tinta Antifouling 6853,Tinta antiincrustante 3.6L para casco,3,8,49726301,L,TRUE,2025-10-30 05:56:19,2025-12-10 14:47:04
89,Âncora Bruce 2687,Âncora de garra tipo Bruce em aço galvanizado,5,10,93414869,UN,TRUE,2023-07-28 08:33:33,2023-11-09 03:49:06
90,Âncora Bruce 9445,Âncora de garra tipo Bruce em aço galvanizado,11,1,61682920,UN,TRUE,2020-09-12 23:54:47,2024-07-07 01:19:30
91,Hélice de Alumínio 8603,Hélice 3 pás para motor de popa,4,3,81353036,UN,TRUE,2025-05-19 09:12:11,2025-07-16 15:45:50
92,Sonar Transducer 1236,Transdutor de sonar para profundidade,12,6,73785003,UN,TRUE,2025-12-15 15:49:48,2026-03-15 00:23:07
93,Bússola de Bordo 2692,Bússola magnética líquida com iluminação,11,6,57508865,UN,TRUE,2024-08-26 17:39:34,2026-07-08 19:58:58
94,Tinta Antifouling 569,Tinta antiincrustante 3.6L para casco,2,12,26404077,L,TRUE,2023-08-03 18:06:41,2023-12-01 02:39:06
95,Vela Mestra 6861,Vela mestra em dacron para veleiros 32 pés,9,11,21360133,UN,TRUE,2026-05-12 11:40:56,2026-07-03 09:32:04
96,GPS Plotter 5928,GPS chartplotter com cartografia,1,8,30846746,UN,TRUE,2025-12-12 08:06:55,2026-03-28 20:08:14
97,Motor de Popa 5396,Motor de popa 4 tempos para embarcações de lazer,2,12,70088431,UN,TRUE,2026-05-09 09:45:26,2026-08-12 15:04:59
98,Bússola de Bordo 2458,Bússola magnética líquida com iluminação,3,1,30665833,UN,TRUE,2023-09-28 00:28:07,2024-11-22 20:33:17
99,Âncora Bruce 2417,Âncora de garra tipo Bruce em aço galvanizado,1,5,44604461,UN,TRUE,2025-11-11 08:39:29,2026-04-25 14:25:29
100,Defensa Náutica 2321,Defensa cilíndrica em PVC,2,7,23340899,PC,TRUE,2025-05-18 14:02:55,2025-07-24 05:02:32
101,Defensa Náutica 3482,Defensa cilíndrica em PVC,5,6,61693992,PC,TRUE,2021-02-11 23:25:54,2023-08-01 07:06:31
102,Bateria Náutica 3506,Bateria estacionária 105Ah náutica,10,7,72606095,UN,TRUE,2023-10-04 08:18:48,2024-06-28 13:26:21
103,GPS Plotter 3183,GPS chartplotter com cartografia,3,3,21965947,UN,TRUE,2022-09-27 14:54:46,2026-07-31 13:41:27
104,Bússola de Bordo 7303,Bússola magnética líquida com iluminação,7,10,39135186,UN,TRUE,2023-05-15 20:01:30,2026-11-19 21:18:47
105,Defensa Náutica 1200,Defensa cilíndrica em PVC,4,9,55939931,PC,TRUE,2025-03-01 12:45:14,2026-05-02 20:50:05
106,Hélice de Alumínio 2016,Hélice 3 pás para motor de popa,10,6,82115196,UN,TRUE,2020-02-10 18:28:03,2020-07-10 03:09:16
107,Tinta Antifouling 5097,Tinta antiincrustante 3.6L para casco,9,10,18368744,L,TRUE,2020-09-03 04:24:20,2020-10-14 21:14:47
108,Âncora Bruce 326,Âncora de garra tipo Bruce em aço galvanizado,3,13,59628963,UN,TRUE,2024-03-05 16:36:02,2024-08-09 22:43:17
109,Âncora Bruce 8139,Âncora de garra tipo Bruce em aço galvanizado,11,5,20483595,UN,TRUE,2022-04-30 02:47:38,2023-08-11 01:46:30
110,Hélice de Alumínio 1155,Hélice 3 pás para motor de popa,9,14,87556202,UN,TRUE,2026-04-02 06:24:32,2026-07-30 15:03:44
111,Sonar Transducer 5950,Transdutor de sonar para profundidade,6,12,60141445,UN,TRUE,2024-08-22 12:37:14,2025-07-21 09:11:42
112,Âncora Bruce 7692,Âncora de garra tipo Bruce em aço galvanizado,4,3,52782581,UN,TRUE,2022-08-09 11:19:19,2026-06-03 17:45:53
113,Hélice de Alumínio 1281,Hélice 3 pás para motor de popa,7,11,75681256,UN,TRUE,2026-11-18 10:56:22,2026-11-25 07:49:16
114,Tinta Antifouling 3228,Tinta antiincrustante 3.6L para casco,3,4,32641501,L,TRUE,2021-03-18 13:59:24,2023-10-19 00:34:12
115,Bateria Náutica 8635,Bateria estacionária 105Ah náutica,6,11,67238862,UN,TRUE,2022-05-10 00:08:06,2026-06-28 22:38:13
116,Colete Salva-Vidas 280,Colete homologado classe III,9,8,17505125,UN,TRUE,2020-08-28 23:55:02,2021-11-10 19:38:09
117,Sonar Transducer 869,Transdutor de sonar para profundidade,5,9,48835718,UN,TRUE,2021-01-13 15:20:30,2026-12-14 11:59:42
118,Vela Mestra 5825,Vela mestra em dacron para veleiros 32 pés,9,14,78963334,UN,TRUE,2020-06-02 06:44:18,2020-10-10 23:49:59
119,Motor de Popa 2911,Motor de popa 4 tempos para embarcações de lazer,12,7,37112742,UN,TRUE,2024-02-23 22:19:02,2026-11-08 15:06:15
120,Motor de Popa 8681,Motor de popa 4 tempos para embarcações de lazer,5,2,72151121,UN,TRUE,2020-02-19 04:11:02,2022-12-20 13:20:44
121,GPS Plotter 1152,GPS chartplotter com cartografia,7,14,33353535,UN,TRUE,2023-02-13 03:42:04,2025-05-22 13:45:30
122,Vela Mestra 7742,Vela mestra em dacron para veleiros 32 pés,4,7,93581343,UN,TRUE,2024-07-26 09:15:39,2025-03-10 12:37:43
123,Bateria Náutica 6577,Bateria estacionária 105Ah náutica,6,13,47054948,UN,TRUE,2024-05-27 14:28:10,2024-09-03 20:06:44
124,Âncora Bruce 9985,Âncora de garra tipo Bruce em aço galvanizado,11,4,22176821,UN,TRUE,2021-09-27 01:27:23,2024-04-11 23:26:56
125,Âncora Bruce 9236,Âncora de garra tipo Bruce em aço galvanizado,8,14,93062294,UN,TRUE,2020-01-08 23:13:57,2026-08-10 07:16:45
126,Hélice de Alumínio 9713,Hélice 3 pás para motor de popa,12,10,84517271,UN,TRUE,2025-01-20 12:03:24,2026-02-22 11:19:30
127,Defensa Náutica 6521,Defensa cilíndrica em PVC,8,10,30757790,PC,TRUE,2025-08-18 03:42:12,2026-10-20 05:19:08
128,Cabo Náutico 7174,Cabo de polipropileno trançado,6,8,39856733,M,TRUE,2021-09-04 10:02:02,2025-03-14 04:33:34
129,Defensa Náutica 4517,Defensa cilíndrica em PVC,1,10,43783129,PC,TRUE,2020-01-05 16:52:52,2026-06-25 10:31:46
130,Tinta Antifouling 9285,Tinta antiincrustante 3.6L para casco,1,13,11241322,L,TRUE,2022-09-03 18:42:43,2023-02-26 11:24:05
131,Âncora Bruce 7031,Âncora de garra tipo Bruce em aço galvanizado,5,1,70800144,UN,TRUE,2025-01-27 04:02:41,2026-06-18 20:47:13
132,Tinta Antifouling 7287,Tinta antiincrustante 3.6L para casco,6,11,24414511,L,TRUE,2026-11-25 07:57:55,2026-12-21 09:51:14
133,Âncora Bruce 7309,Âncora de garra tipo Bruce em aço galvanizado,10,12,19667984,UN,TRUE,2021-03-12 03:41:52,2024-12-29 02:18:59
134,Cabo Náutico 5788,Cabo de polipropileno trançado,5,2,55373450,M,TRUE,2024-07-09 19:13:52,2024-07-28 10:51:51
135,GPS Plotter 3319,GPS chartplotter com cartografia,6,2,51515748,UN,TRUE,2022-10-23 00:29:58,2026-02-12 04:21:05
136,Colete Salva-Vidas 9822,Colete homologado classe III,4,13,12145016,UN,TRUE,2026-10-30 02:07:18,2026-11-16 12:51:59
137,Motor de Popa 8544,Motor de popa 4 tempos para embarcações de lazer,11,10,91371416,UN,TRUE,2023-03-26 17:53:42,2026-03-29 11:08:19
138,Cabo Náutico 3217,Cabo de polipropileno trançado,8,2,87710436,M,TRUE,2023-09-01 22:36:46,2026-07-04 05:15:43
139,Sonar Transducer 7171,Transdutor de sonar para profundidade,10,5,41386041,UN,TRUE,2024-07-18 11:30:06,2025-05-01 02:00:31
140,Bússola de Bordo 5528,Bússola magnética líquida com iluminação,11,7,88384276,UN,TRUE,2024-10-28 16:34:33,2026-03-09 00:45:37
141,Motor de Popa 5440,Motor de popa 4 tempos para embarcações de lazer,5,4,96711406,UN,FALSE,2025-04-21 11:47:08,2025-08-31 07:12:31
142,Cabo Náutico 3932,Cabo de polipropileno trançado,10,7,89277433,M,TRUE,2025-08-27 03:14:47,2026-01-30 15:08:35
143,Tinta Antifouling 849,Tinta antiincrustante 3.6L para casco,9,2,11159458,L,TRUE,2020-11-03 17:49:25,2024-07-17 14:06:03
144,Vela Mestra 7171,Vela mestra em dacron para veleiros 32 pés,11,11,40194566,UN,TRUE,2024-02-15 08:19:36,2025-02-04 00:17:43
145,Sonar Transducer 1176,Transdutor de sonar para profundidade,4,8,39299173,UN,TRUE,2021-12-01 15:20:34,2023-08-06 13:57:17
146,Cabo Náutico 7323,Cabo de polipropileno trançado,6,2,10813652,M,TRUE,2026-10-30 06:39:37,2026-12-29 21:53:20
147,Motor de Popa 1923,Motor de popa 4 tempos para embarcações de lazer,7,10,45121469,UN,TRUE,2023-09-24 15:01:14,2025-02-05 14:38:38
148,Colete Salva-Vidas 8269,Colete homologado classe III,6,9,78082384,UN,TRUE,2022-11-28 21:48:37,2023-04-08 04:48:13
149,Bateria Náutica 948,Bateria estacionária 105Ah náutica,7,3,32948149,UN,TRUE,2025-04-11 03:21:47,2026-03-15 18:43:57
150,Defensa Náutica 2783,Defensa cilíndrica em PVC,10,13,76325224,PC,FALSE,2026-12-17 14:49:08,2026-12-30 00:31:24
151,Hélice de Alumínio 7225,Hélice 3 pás para motor de popa,2,8,65552323,UN,TRUE,2020-05-17 19:03:42,2024-12-08 17:11:37
152,Caboo Náutico 4942,Cabo de polipropileno trançado,7,4,28176555,M,TRUE,2023-02-07 10:42:06,2026-09-16 17:24:51
153,Motor de Popa 9201,Motor de popa 4 tempos para embarcações de lazer,12,2,26334578,UN,TRUE,2026-06-06 01:39:15,2026-08-09 03:33:27
154,Hélice de Alumínio 549,—,5,11,50637805,UN,TRUE,2022-05-29 09:21:38,2026-07-06 16:46:03
155,Bateria Náutica 5487,Bateria estacionária 105Ah náutica,12,2,51094549,UN,TRUE,2023-05-09 05:02:36,2026-06-09 02:30:04
156,GPS Plotter 2111,GPS chartplotter com cartografia,9,6,46389915,UN,TRUE,2022-01-07 13:45:07,2026-05-30 13:25:02
157,Bússola de Bordo 1248,Bússola magnética líquida com iluminação,3,1,77579048,UN,TRUE,2023-06-23 06:55:40,2023-10-07 07:20:35
158,Vela Mestra 8056,Vela mestra em dacron para veleiros 32 pés,7,10,71315786,UN,TRUE,2023-12-31 02:29:56,2025-03-23 00:49:34
159,GPS Plotter 2508,,1,5,46787181,UN,TRUE,2023-10-11 15:19:35,2025-02-26 02:06:14
160,Tinta Antifouling 901,Tinta antiincrustante 3.6L para casco,9,11,75198356,L,TRUE,2026-07-26 05:14:55,2026-10-18 17:43:17
161,Bússola de Bordo 5772,Lorem ipsum dolor sit amet.,2,8,79562172,UN,TRUE,2024-02-08 17:15:48,2024-03-02 08:07:56
162,Bateria Náutica 2654,Bateria estacionária 105Ah náutica,3,4,36899922,UN,TRUE,2023-08-27 00:26:17,2024-12-22 09:28:26
163,Defensa Náutica 1277,Defensa cilíndrica em PVC,6,9,42987182,PC,TRUE,2026-09-03 20:02:40,2026-12-07 01:45:33
164,Bateria Náutica 2738,Bateria estacionária 105Ah náutica,1,2,29901192,UN,TRUE,2025-01-24 01:48:10,2026-04-09 12:39:34
165,GPS Plotter 6840,GPS chartplotter com cartografia,10,12,29649690,UN,TRUE,2021-07-15 00:39:05,2026-09-24 10:48:10
166,GPS Plotter 7150,GPS chartplotter com cartografia,5,5,93161278,UN,TRUE,2020-09-07 04:05:43,2021-06-06 16:27:52
167,GPS Plotter 2659,GPS chartplotter com cartografia,5,5,21885920,UN,TRUE,2023-03-16 08:07:37,2025-05-23 02:45:50
168,Âncora Bruce 7525,,8,10,58857930,UN,TRUE,2023-04-25 16:11:32,2024-12-24 16:44:40
169,Hélice de Alumínio 1674,Hélice 3 pás para motor de popa,1,2,98669716,UN,TRUE,2022-04-27 21:25:59,2025-11-28 19:16:52
170,Bateria Náutica 834,Bateria estacionária 105Ah náutica,1,9,32283281,UN,TRUE,2020-11-14 01:31:00,2022-08-12 11:55:37
171,Motor de Popa 6225,Motor de popa 4 tempos para embarcações de lazer,6,13,24291072,UN,TRUE,2023-08-29 07:00:21,2025-08-06 05:39:15
172,Defensa Náutica 2684,Defensa cilíndrica em PVC,2,5,80680590,PC,TRUE,2024-06-16 08:00:54,2025-08-05 19:17:15
173,Bateria Náutica 2569,Bateria estacionária 105Ah náutica,4,8,85205934,UN,TRUE,2020-06-27 23:52:12,2020-11-30 02:56:50
174,Bússola de Bordo 755,Bússola magnética líquida com iluminação,4,5,49052504,UN,TRUE,2025-07-20 23:55:55,2026-04-08 14:35:07
175,Hélice de Alumínio 7706,Hélice 3 pás para motor de popa,6,1,23185993,UN,TRUE,2026-05-20 00:14:05,2026-09-26 03:27:05
176,Vela Mestra 1834,Vela mestra em dacron para veleiros 32 pés,7,12,28442224,UN,TRUE,2025-03-06 22:43:14,2026-02-21 21:37:28
177,GPS Plotter 8413,GPS chartplotter com cartografia,9,7,62387423,UN,TRUE,2021-11-22 04:42:58,2022-04-24 15:51:30
178,Cabo Náutico 6215,Cabo de polipropileno trançado,10,3,29162115,M,TRUE,2023-01-16 21:38:00,2024-11-12 17:38:01
179,Bateria Náutica 4055,Bateria estacionária 105Ah náutica,4,10,63616516,UN,TRUE,2021-08-03 01:18:50,2023-03-11 22:27:52
180,Motor de Popa 1949,Motor de popa 4 tempos para embarcações de lazer,7,13,22146679,UN,TRUE,2024-11-01 07:14:54,2024-11-10 04:23:05
181,Bateria Náutica 7848,Bateria estacionária 105Ah náutica,3,11,64239440,UN,TRUE,2022-02-17 07:47:37,2022-09-11 14:46:50
182,Vela Mestra 3395,Vela mestra em dacron para veleiros 32 pés,2,12,61980660,UN,TRUE,2024-09-20 05:01:23,2024-10-28 08:40:18
183,Cabo Náutico 394,Cabo de polipropileno trançado,1,3,26544865,M,TRUE,2020-01-29 17:22:33,2026-11-09 17:42:18
184,Tinta Antifouling 8753,Tinta antiincrustante 3.6L para casco,3,5,51333598,L,TRUE,2026-10-31 14:17:37,2026-12-09 07:45:27
185,Motor de Popa 2690,Motor de popa 4 tempos para embarcações de lazer,1,8,53678429,UN,TRUE,2026-11-17 00:12:24,2026-11-19 02:53:35
186,Motor de Popa 4710,Motor de popa 4 tempos para embarcações de lazer,2,1,75430794,UN,TRUE,2022-11-07 05:53:52,2023-02-15 00:56:45
187,asdf,Defensa cilíndrica em PVC,12,10,17916578,PC,TRUE,2022-05-13 14:11:50,2023-09-09 02:20:19
188,Sonar Transducer 9366,Transdutor de sonar para profundidade,5,13,73809871,UN,TRUE,2021-02-20 11:59:53,2023-05-30 17:12:00
189,Cabo Náutico 8341,Cabo de polipropileno trançado,2,14,48723755,M,TRUE,2021-05-26 22:23:40,2024-01-20 04:32:58
190,GPS Plotter 3107,GPS chartplotter com cartografia,9,4,95845129,UN,TRUE,2023-06-04 14:31:13,2023-08-28 18:39:31
191,Bússola de Bordo 8959,Bússola magnética líquida com iluminação,4,9,48478702,UN,TRUE,2022-07-15 09:33:06,2023-11-20 14:49:54
