id,order_id,product_variant_id,quantity,unit_price,icms_rate,ipi_rate,line_total
144,45,623,7,1848.51,17.00,0.00,12939.57
145,45,276,5,1828.85,18.00,5.00,9144.25
146,45,45,5,2765.04,17.00,10.00,13825.20
147,46,407,9,2324.71,12.00,0.00,20922.39
148,46,178,1,2799.66,17.00,5.00,2799.66
149,46,119,10,1569.62,17.00,0.00,15696.20
150,47,828,2,3368.43,17.00,5.00,6736.86
151,47,191,5,518.09,12.00,10.00,2590.45
152,47,715,4,2036.26,12.00,5.00,8145.04
153,47,18,6,973.54,12.00,10.00,5841.24
154,47,820,4,1735.78,12.00,0.00,6943.12
155,48,832,3,1858.79,17.00,0.00,5576.37
156,48,918,9,1109.29,18.00,0.00,9983.61
157,48,837,6,848.55,18.00,5.00,5091.30
158,48,73,7,755.45,12.00,5.00,5288.15
159,48,644,10,2127.27,17.00,0.00,21272.70
160,49,825,1,1742.58,12.00,5.00,1742.58
161,49,647,8,432.55,17.00,10.00,3460.40
162,49,229,4,3854.29,12.00,0.00,15417.16
163,50,166,7,3069.18,17.00,10.00,21484.26
164,50,244,5,3983.40,17.00,5.00,19917.00
165,50,17,10,1238.93,12.00,10.00,12389.30
166,51,872,5,4128.07,17.00,5.00,20640.35
167,52,1002,4,2757.24,17.00,0.00,11028.96
168,52,47,3,3896.09,12.00,0.00,11688.27
169,52,623,7,1848.51,17.00,0.00,12939.57
170,52,108,5,1501.07,18.00,5.00,7505.35
171,53,441,2,538.84,18.00,0.00,1077.68
172,53,876,7,1041.97,18.00,10.00,7293.79
173,53,629,9,1049.34,12.00,0.00,9444.06
174,53,480,1,850.69,12.00,10.00,850.69
175,53,307,5,984.70,12.00,5.00,4923.50
176,54,755,6,2481.91,12.00,10.00,14891.46
177,54,956,1,2369.21,18.00,10.00,2369.21
178,54,12,6,817.89,12.00,0.00,4907.34
179,54,712,10,1839.49,17.00,5.00,18394.90
180,55,326,7,2882.29,17.00,0.00,20176.03
181,55,297,10,635.92,18.00,5.00,6359.20
182,55,355,4,407.01,18.00,10.00,1628.04
183,56,857,8,2426.65,17.00,5.00,19413.20
184,56,665,2,406.78,17.00,5.00,813.56
185,56,9,10,3194.63,18.00,10.00,31946.30
186,56,452,2,1251.11,17.00,5.00,2502.22
187,57,490,8,2428.81,12.00,0.00,19430.48
188,58,531,9,1052.78,17.00,0.00,9475.02
189,58,732,6,1274.13,18.00,10.00,7644.78
190,58,396,2,677.01,18.00,5.00,1354.02
191,59,935,8,286.64,12.00,10.00,2293.12
192,60,38,4,2178.52,18.00,10.00,8714.08
193,60,340,8,1119.77,12.00,10.00,8958.16
194,60,818,3,2561.11,12.00,10.00,7683.33
195,61,817,4,1954.94,17.00,5.00,7819.76
196,62,701,5,1036.97,12.00,0.00,5184.85
197,62,554,1,1121.67,12.00,0.00,1121.67
198,63,615,5,2256.51,18.00,10.00,11282.55
199,63,338,4,311.37,17.00,10.00,1245.48
200,63,245,7,2325.80,12.00,5.00,16280.60
201,63,488,7,3166.59,18.00,5.00,22166.13
202,64,649,8,3063.60,12.00,0.00,24508.80
203,65,76,7,1096.27,18.00,5.00,7673.89
204,66,1002,5,2757.24,17.00,0.00,13786.20
205,66,170,10,101.75,17.00,0.00,1017.50
206,66,908,2,1959.04,18.00,10.00,3918.08
207,67,849,6,383.90,12.00,10.00,2303.40
208,67,718,5,2091.57,12.00,0.00,10457.85
209,67,658,9,3840.35,12.00,0.00,34563.15
210,67,405,8,2954.61,17.00,5.00,23636.88
211,68,918,4,1109.29,18.00,0.00,4437.16
212,68,785,2,450.85,18.00,5.00,901.70
213,68,421,1,2199.80,18.00,5.00,2199.80
214,68,141,8,2126.12,18.00,5.00,17008.96
215,68,175,5,916.04,12.00,5.00,4580.20
216,69,538,7,2358.30,12.00,0.00,16508.10
217,69,503,8,2245.27,17.00,5.00,17962.16
218,69,441,3,538.84,18.00,0.00,1616.52
219,69,67,6,2159.89,18.00,10.00,12959.34
220,70,574,4,2342.19,17.00,5.00,9368.76
221,70,758,5,2929.87,18.00,10.00,14649.35
222,70,777,7,54.38,17.00,10.00,380.66
223,70,580,3,1589.69,18.00,10.00,4769.07
224,71,149,4,406.56,17.00,10.00,1626.24
225,71,184,10,269.50,17.00,0.00,2695.00
226,71,78,8,3365.40,18.00,10.00,26923.20
227,71,588,2,3211.23,12.00,0.00,6422.46
228,71,521,2,1707.44,12.00,0.00,3414.88
229,72,325,6,311.98,17.00,10.00,1871.88
230,73,186,10,1771.29,17.00,5.00,17712.90
231,73,678,6,977.01,18.00,10.00,5862.06
232,74,74,4,1603.57,17.00,10.00,6414.28
233,75,696,5,2868.84,17.00,0.00,14344.20
234,75,513,9,2632.87,12.00,0.00,23695.83
235,75,596,5,2495.20,18.00,10.00,12476.00
236,75,152,8,1625.27,17.00,0.00,13002.16
237,75,870,6,1480.82,12.00,10.00,8884.92
238,76,359,4,2446.29,12.00,10.00,9785.16
239,76,184,4,269.50,17.00,0.00,1078.00
240,76,469,8,2123.83,18.00,0.00,16990.64
241,76,589,5,1148.81,12.00,10.00,5744.05
242,77,58,7,717.98,17.00,5.00,5025.86
243,77,670,5,1483.18,17.00,0.00,7415.90
244,78,616,7,1920.15,12.00,5.00,13441.05
245,79,944,8,2247.99,18.00,0.00,17983.92
246,79,514,8,2369.19,18.00,10.00,18953.52
247,79,941,6,1826.97,18.00,5.00,10961.82
248,79,620,7,3138.93,18.00,10.00,21972.51
249,79,278,10,1751.22,12.00,5.00,17512.20
250,80,457,1,1414.55,12.00,0.00,1414.55
251,81,695,5,2518.29,18.00,10.00,12591.45
252,81,599,6,1785.47,17.00,10.00,10712.82
253,81,998,9,2874.99,18.00,10.00,25874.91
254,81,677,3,586.74,12.00,0.00,1760.22
255,81,270,7,103.60,17.00,0.00,725.20
256,82,560,2,2092.58,12.00,5.00,4185.16
257,82,610,9,1191.46,17.00,0.00,10723.14
258,82,204,2,62.69,18.00,10.00,125.38
259,83,257,10,69.33,18.00,10.00,693.30
260,83,15,1,725.45,12.00,5.00,725.45
261,83,68,8,381.63,18.00,10.00,3053.04
262,83,138,6,2710.10,18.00,10.00,16260.60
263,84,731,1,2414.72,12.00,0.00,2414.72
264,84,906,2,2223.68,17.00,5.00,4447.36
265,84,36,2,2563.85,17.00,0.00,5127.70
266,85,957,3,1915.60,12.00,5.00,5746.80
267,85,944,7,2247.99,18.00,0.00,15735.93
268,86,971,6,1149.60,12.00,10.00,6897.60
269,86,575,2,2522.95,17.00,0.00,5045.90
270,86,727,6,1343.06,12.00,10.00,8058.36
271,86,468,2,593.69,17.00,10.00,1187.38
272,86,581,8,1781.99,17.00,5.00,14255.92
273,87,137,5,1038.34,18.00,0.00,5191.70
274,88,641,7,409.45,12.00,5.00,2866.15
275,88,862,2,3102.21,18.00,5.00,6204.42
276,88,586,5,2142.50,18.00,0.00,10712.50
277,88,927,10,2506.19,18.00,0.00,25061.90
278,88,167,5,414.66,18.00,0.00,2073.30
279,89,823,8,2460.16,18.00,0.00,19681.28
280,89,126,3,1045.61,17.00,5.00,3136.83
281,90,590,1,1446.19,12.00,5.00,1446.19
282,90,331,4,1832.14,18.00,0.00,7328.56
283,90,979,10,2115.76,18.00,0.00,21157.60
284,91,437,7,860.44,12.00,10.00,6023.08
285,92,1002,5,2757.24,17.00,0.00,13786.20
286,92,718,8,2091.57,12.00,0.00,16732.56
287,93,959,3,1674.37,18.00,10.00,5023.11
288,93,665,1,406.78,17.00,5.00,406.78
289,93,439,10,178.58,17.00,10.00,1785.80
290,93,747,10,3184.94,17.00,0.00,31849.40
291,93,497,7,420.07,18.00,10.00,2940.49
292,94,261,5,2489.83,17.00,0.00,12449.15
293,94,117,2,1262.96,17.00,0.00,2525.92
294,94,750,4,868.09,12.00,0.00,3472.36
295,95,22,9,1541.60,18.00,0.00,13874.40
296,95,454,4,2770.40,12.00,5.00,11081.60
297,95,302,2,2557.48,17.00,10.00,5114.96
298,95,520,1,71.33,12.00,0.00,71.33
299,95,858,1,1953.89,12.00,0.00,1953.89
300,96,375,3,2207.21,17.00,5.00,6621.63
301,96,54,3,2767.51,17.00,5.00,8302.53
302,96,304,8,2646.56,18.00,10.00,21172.48
303,96,765,8,3936.09,17.00,5.00,31488.72
304,97,270,9,103.60,17.00,0.00,932.40
305,97,81,3,2483.80,17.00,0.00,7451.40
306,98,113,9,53.89,12.00,0.00,485.01
307,98,96,2,1553.87,12.00,10.00,3107.74
308,98,160,5,843.86,17.00,0.00,4219.30
309,98,224,7,3157.67,17.00,10.00,22103.69
310,99,707,9,314.18,17.00,0.00,2827.62
311,99,629,6,1049.34,12.00,0.00,6296.04
312,99,855,4,256.62,12.00,5.00,1026.48
313,99,1004,2,3533.76,17.00,0.00,7067.52
314,99,687,9,1168.61,17.00,5.00,10517.49
315,100,607,4,2276.42,12.00,10.00,9105.68
316,100,138,7,2710.10,18.00,10.00,18970.70
317,100,233,10,2415.40,17.00,5.00,24154.00
318,100,322,2,3581.44,17.00,5.00,7162.88
319,100,883,4,401.36,18.00,10.00,1605.44
320,101,18,6,973.54,12.00,10.00,5841.24
321,101,393,1,1380.77,18.00,10.00,1380.77
322,101,945,10,2508.07,12.00,10.00,25080.70
323,101,613,9,3651.21,12.00,10.00,32860.89
324,101,47,8,3896.09,12.00,0.00,31168.72
325,102,971,8,1149.60,12.00,10.00,9196.80
326,102,370,3,1711.73,18.00,0.00,5135.19
327,102,284,4,2079.95,18.00,10.00,8319.80
328,102,35,10,1255.65,18.00,5.00,12556.50
329,103,593,5,2583.58,17.00,0.00,12917.90
330,103,110,10,2749.57,12.00,10.00,27495.70
331,103,909,1,2990.59,18.00,0.00,2990.59
332,104,619,2,988.70,12.00,10.00,1977.40
333,104,814,2,2696.67,18.00,10.00,5393.34
334,104,55,5,2780.63,18.00,5.00,13903.15
335,104,79,6,983.07,12.00,10.00,5898.42
336,105,723,2,1586.88,12.00,0.00,3173.76
337,105,168,7,1528.74,18.00,0.00,10701.18
338,105,561,7,3757.73,18.00,0.00,26304.11
339,106,327,5,2109.45,12.00,5.00,10547.25
340,107,742,9,2179.03,12.00,10.00,19611.27
341,107,599,3,1785.47,17.00,10.00,5356.41
342,107,57,5,3035.13,12.00,10.00,15175.65
343,107,829,5,2736.28,17.00,10.00,13681.40
344,107,69,5,301.17,18.00,10.00,1505.85
345,108,977,4,2124.36,12.00,5.00,8497.44
346,108,183,8,818.75,12.00,0.00,6550.00
347,108,645,5,2300.24,12.00,5.00,11501.20
348,108,789,10,815.67,17.00,5.00,8156.70
349,108,927,10,2506.19,18.00,0.00,25061.90
350,109,315,10,3084.28,18.00,0.00,30842.80
351,109,30,7,1029.86,18.00,5.00,7209.02
352,109,590,6,1446.19,12.00,5.00,8677.14
353,110,245,9,2325.80,12.00,5.00,20932.20
354,110,626,2,1705.10,17.00,0.00,3410.20
355,110,338,5,311.37,17.00,10.00,1556.85
356,111,876,8,1041.97,18.00,10.00,8335.76
357,112,779,5,61.22,12.00,10.00,306.10
358,112,36,2,2563.85,17.00,0.00,5127.70
359,112,402,6,1676.19,17.00,0.00,10057.14
360,112,126,1,1045.61,17.00,5.00,1045.61
361,112,558,3,1757.24,18.00,10.00,5271.72
362,113,662,10,2501.65,18.00,5.00,25016.50
363,114,352,8,2094.66,18.00,5.00,16757.28
364,114,740,1,2350.30,18.00,5.00,2350.30
365,115,924,10,2247.91,12.00,10.00,22479.10
366,115,478,10,2565.48,17.00,0.00,25654.80
367,115,916,2,1243.36,17.00,0.00,2486.72
368,115,837,10,848.55,18.00,5.00,8485.50
369,115,408,1,364.81,18.00,5.00,364.81
370,116,97,1,3055.12,12.00,5.00,3055.12
371,116,881,2,2109.81,12.00,10.00,4219.62
372,116,669,8,2612.73,18.00,10.00,20901.84
373,116,748,4,1049.06,18.00,0.00,4196.24
374,116,779,2,61.22,12.00,10.00,122.44
375,117,243,6,400.85,18.00,10.00,2405.10
376,117,209,8,1476.81,18.00,5.00,11814.48
377,117,977,7,2124.36,12.00,5.00,14870.52
378,117,173,9,1352.38,12.00,5.00,12171.42
379,118,11,9,1838.76,12.00,10.00,16548.84
380,118,904,3,1196.51,12.00,5.00,3589.53
381,118,586,3,2142.50,18.00,0.00,6427.50
382,118,321,4,1972.57,17.00,10.00,7890.28
383,118,485,8,1610.84,17.00,0.00,12886.72
384,119,422,4,806.12,12.00,10.00,3224.48
385,120,607,2,2276.42,12.00,10.00,4552.84
386,120,729,10,970.92,17.00,0.00,9709.20
387,120,702,5,1993.48,18.00,5.00,9967.40
388,121,688,8,3648.57,17.00,10.00,29188.56
389,122,366,2,2697.71,17.00,10.00,5395.42
390,123,122,2,887.99,18.00,5.00,1775.98
391,124,335,10,1034.23,12.00,10.00,10342.30
392,124,947,10,1463.75,17.00,0.00,14637.50
393,124,775,4,1432.75,17.00,10.00,5731.00
394,125,783,3,2301.52,12.00,10.00,6904.56
395,125,16,1,1705.81,18.00,10.00,1705.81
396,125,565,4,3816.76,12.00,10.00,15267.04
397,126,288,7,45.56,12.00,5.00,318.92
398,127,752,10,1997.91,12.00,0.00,19979.10
399,127,888,6,539.47,12.00,5.00,3236.82
400,128,64,4,2665.92,17.00,10.00,10663.68
401,128,724,9,2622.09,18.00,5.00,23598.81
402,128,432,1,884.04,12.00,0.00,884.04
403,128,868,5,246.02,17.00,10.00,1230.10
404,129,333,6,1071.58,18.00,0.00,6429.48
405,130,67,8,2159.89,18.00,10.00,17279.12
406,131,999,4,3280.48,17.00,5.00,13121.92
407,131,145,4,2690.81,17.00,10.00,10763.24
408,132,836,2,3757.03,17.00,0.00,7514.06
409,132,1003,4,2068.61,17.00,10.00,8274.44
410,132,44,1,143.69,12.00,0.00,143.69
411,133,177,2,959.76,12.00,0.00,1919.52
412,133,288,9,45.56,12.00,5.00,410.04
413,133,940,10,1035.00,17.00,0.00,10350.00
414,133,986,6,293.35,17.00,0.00,1760.10
415,133,434,9,103.95,17.00,0.00,935.55
416,134,605,7,730.26,12.00,5.00,5111.82
417,134,817,3,1954.94,17.00,5.00,5864.82
418,134,369,1,3696.81,18.00,10.00,3696.81
419,134,26,10,1726.63,17.00,5.00,17266.30
420,134,951,10,3708.51,17.00,0.00,37085.10
421,135,357,2,323.50,17.00,10.00,647.00
422,135,698,1,1208.32,12.00,5.00,1208.32
423,135,255,9,3662.67,17.00,5.00,32964.03
424,135,219,10,2189.02,12.00,5.00,21890.20
425,136,516,2,410.74,17.00,10.00,821.48
426,137,559,7,893.57,12.00,0.00,6254.99
427,138,401,9,2763.78,18.00,5.00,24874.02
428,138,825,7,1742.58,12.00,5.00,12198.06
429,138,896,4,2916.30,12.00,5.00,11665.20
430,139,112,8,549.47,17.00,10.00,4395.76
431,139,118,1,885.32,12.00,0.00,885.32
432,139,82,10,1719.63,17.00,10.00,17196.30
433,139,353,1,371.77,18.00,5.00,371.77
434,139,589,7,1148.81,12.00,10.00,8041.67
435,140,707,7,314.18,17.00,0.00,2199.26
436,140,47,10,3896.09,12.00,0.00,38960.90
437,140,30,4,1029.86,18.00,5.00,4119.44
438,141,682,3,3599.89,17.00,10.00,10799.67
439,142,118,2,885.32,12.00,0.00,1770.64
440,142,567,6,146.48,12.00,5.00,878.88
441,143,859,10,1826.88,12.00,10.00,18268.80
443,145,500,2,1654.94,18.00,5.00,3309.88
444,145,719,3,590.95,17.00,10.00,1772.85
445,146,669,5,2612.73,18.00,10.00,13063.65
446,147,41,5,2069.89,12.00,5.00,10349.45
447,147,323,5,2902.38,18.00,10.00,14511.90
448,147,459,7,381.17,18.00,5.00,2668.19
449,147,7,3,136.02,18.00,10.00,408.06
450,148,935,1,286.64,12.00,10.00,286.64
451,148,417,8,2063.82,17.00,10.00,16510.56
452,148,533,9,1796.67,18.00,10.00,16170.03
453,149,84,10,841.59,17.00,10.00,8415.90
454,149,628,5,2933.46,17.00,5.00,14667.30
455,150,876,2,1041.97,18.00,10.00,2083.94
456,150,602,10,2133.34,18.00,5.00,21333.40
457,150,148,2,1235.13,17.00,10.00,2470.26
458,150,991,2,3266.89,18.00,0.00,6533.78
459,151,219,9,2189.02,12.00,5.00,19701.18
460,151,549,1,2616.52,18.00,0.00,2616.52
461,152,306,3,501.46,17.00,10.00,1504.38
462,152,991,3,3266.89,18.00,0.00,9800.67
463,152,178,4,2799.66,17.00,5.00,11198.64
464,152,130,1,669.60,12.00,5.00,669.60
465,152,726,8,218.97,12.00,5.00,1751.76
466,153,271,7,46.79,18.00,10.00,327.53
467,153,489,9,1239.53,17.00,0.00,11155.77
468,153,784,3,1752.63,18.00,10.00,5257.89
469,153,269,4,1022.89,17.00,5.00,4091.56
470,154,295,6,2261.84,12.00,5.00,13571.04
471,154,538,1,2358.30,12.00,0.00,2358.30
472,154,737,4,2907.49,18.00,10.00,11629.96
473,154,222,10,1843.68,12.00,5.00,18436.80
474,155,50,2,547.88,12.00,0.00,1095.76
475,156,96,2,1553.87,12.00,10.00,3107.74
476,156,964,8,1178.62,17.00,5.00,9428.96
477,156,181,8,1476.72,17.00,5.00,11813.76
478,156,296,9,811.16,17.00,5.00,7300.44
479,157,82,5,1719.63,17.00,10.00,8598.15
480,158,755,3,2481.91,12.00,10.00,7445.73
481,158,461,3,1315.58,12.00,5.00,3946.74
482,158,323,8,2902.38,18.00,10.00,23219.04
483,158,692,1,1636.08,12.00,10.00,1636.08
484,158,86,6,3751.57,17.00,5.00,22509.42
485,159,982,8,588.46,17.00,5.00,4707.68
486,159,840,7,3049.10,17.00,10.00,21343.70
487,159,163,6,1827.76,12.00,5.00,10966.56
488,160,298,7,1028.21,17.00,10.00,7197.47
489,160,646,8,3118.42,12.00,10.00,24947.36
490,160,875,3,951.05,17.00,5.00,2853.15
491,160,790,3,3901.40,17.00,10.00,11704.20
492,160,888,4,539.47,12.00,5.00,2157.88
493,161,313,3,2778.30,12.00,10.00,8334.90
494,161,754,10,2879.74,17.00,0.00,28797.40
495,161,559,6,893.57,12.00,0.00,5361.42
496,162,172,1,439.93,12.00,10.00,439.93
497,162,846,1,1326.12,12.00,0.00,1326.12
498,162,1005,5,1320.30,12.00,5.00,6601.50
499,163,925,8,134.34,17.00,10.00,1074.72
500,163,28,6,1614.87,18.00,0.00,9689.22
501,163,919,1,685.52,18.00,5.00,685.52
502,163,941,5,1826.97,18.00,5.00,9134.85
503,163,644,2,2127.27,17.00,0.00,4254.54
504,164,713,6,2771.91,18.00,5.00,16631.46
505,164,141,3,2126.12,18.00,5.00,6378.36
506,164,913,4,391.96,18.00,5.00,1567.84
507,165,317,1,253.19,17.00,5.00,253.19
508,165,36,8,2563.85,17.00,0.00,20510.80
509,165,85,6,2235.99,18.00,0.00,13415.94
510,165,356,9,410.03,12.00,10.00,3690.27
511,165,414,3,387.96,12.00,10.00,1163.88
516,167,456,8,1303.68,18.00,0.00,10429.44
517,167,759,6,1563.67,17.00,10.00,9382.02
518,167,395,5,3373.90,12.00,10.00,16869.50
519,167,71,1,1571.43,17.00,10.00,1571.43
520,167,134,3,993.85,18.00,5.00,2981.55
521,168,40,3,1813.06,12.00,5.00,5439.18
522,168,26,5,1726.63,17.00,5.00,8633.15
523,169,999,4,3280.48,17.00,5.00,13121.92
524,169,651,5,1317.12,18.00,5.00,6585.60
525,169,485,7,1610.84,17.00,0.00,11275.88
526,170,859,7,1826.88,12.00,10.00,12788.16
527,170,568,6,731.85,12.00,5.00,4391.10
528,170,235,2,947.52,12.00,5.00,1895.04
529,170,888,2,539.47,12.00,5.00,1078.94
530,170,591,9,2199.16,12.00,0.00,19792.44
531,171,544,6,1536.13,17.00,10.00,9216.78
532,172,760,6,3179.38,12.00,10.00,19076.28
533,172,476,10,2951.54,12.00,5.00,29515.40
534,173,43,3,1032.64,18.00,5.00,3097.92
535,173,490,9,2428.81,12.00,0.00,21859.29
536,173,843,4,2953.89,18.00,10.00,11815.56
537,173,694,5,1330.20,18.00,0.00,6651.00
538,173,62,7,2219.20,17.00,0.00,15534.40
539,174,99,5,1078.27,18.00,5.00,5391.35
540,175,986,9,293.35,17.00,0.00,2640.15
541,175,844,9,2462.33,12.00,0.00,22160.97
542,175,305,3,3102.51,12.00,5.00,9307.53
543,175,200,1,2300.30,17.00,5.00,2300.30
544,176,678,3,977.01,18.00,10.00,2931.03
545,176,828,3,3368.43,17.00,5.00,10105.29
546,176,925,7,134.34,17.00,10.00,940.38
547,177,817,9,1954.94,17.00,5.00,17594.46
548,177,111,1,917.10,18.00,0.00,917.10
549,178,343,7,695.61,18.00,10.00,4869.27
550,178,308,7,1905.32,17.00,5.00,13337.24
