id,po_number,supplier_id,buyer_id,destination_location_id,status,currency,subtotal,total,placed_at,expected_delivery_at,created_at,updated_at
81,PO-000081,14,13,5,received,BRL,54357.21,54357.21,2023-05-19 03:07:40,2023-07-13,2023-05-19 03:07:40,2023-05-19 03:07:40
82,PO-000082,3,13,3,partially_received,BRL,14930.98,14930.98,2025-01-03 07:27:13,2025-01-06,2025-01-03 07:27:13,2025-01-03 07:27:13
83,PO-000083,15,13,2,received,BRL,147323.36,147323.36,2023-08-10 20:56:31,2023-10-05,2023-08-10 20:56:31,2023-08-10 20:56:31
84,PO-000084,3,5,2,received,BRL,45039.50,45039.50,2026-09-20 22:33:17,2026-10-17,2026-09-20 22:33:17,2026-09-20 22:33:17
85,PO-000085,15,13,1,received,BRL,77603.49,77603.49,2023-11-21 08:05:49,2023-12-24,2023-11-21 08:05:49,2023-11-21 08:05:49
86,PO-000086,16,5,3,received,BRL,9487.20,9487.20,2021-07-30 02:27:27,2021-08-15,2021-07-30 02:27:27,2021-07-30 02:27:27
87,PO-000087,12,13,3,cancelled,USD,53362.18,53362.18,2023-08-03 08:10:56,2023-09-07,2023-08-03 08:10:56,2023-08-03 08:10:56
88,PO-000088,18,13,4,partially_received,BRL,177730.22,177730.22,2026-11-16 16:17:59,2026-12-28,2026-11-16 16:17:59,2026-11-16 16:17:59
89,PO-000089,1,13,3,received,BRL,10831.20,10831.20,2022-12-27 08:52:24,2023-02-18,2022-12-27 08:52:24,2022-12-27 08:52:24
90,PO-000090,8,5,2,received,EUR,9913.95,9913.95,2021-08-11 21:15:28,2021-08-22,2021-08-11 21:15:28,2021-08-11 21:15:28
91,PO-000091,13,13,5,partially_received,BRL,194902.70,194902.70,2026-09-24 04:55:41,2026-10-05,2026-09-24 04:55:41,2026-09-24 04:55:41
92,PO-000092,10,5,5,sent,BRL,54239.22,54239.22,2021-10-31 09:24:35,2021-11-03,2021-10-31 09:24:35,2021-10-31 09:24:35
93,PO-000093,9,13,2,cancelled,BRL,129784.66,129784.66,2023-11-15 03:27:11,2024-01-13,2023-11-15 03:27:11,2023-11-15 03:27:11
94,PO-000094,19,13,5,received,BRL,73138.19,73138.19,2024-07-29 13:56:39,2024-08-12,2024-07-29 13:56:39,2024-07-29 13:56:39
95,PO-000095,23,13,5,received,BRL,105971.66,105971.66,2024-06-23 11:31:09,,2024-06-23 11:31:09,2024-06-23 11:31:09
96,PO-000096,1,13,3,received,BRL,91435.95,91435.95,2026-01-21 00:23:38,2026-02-22,2026-01-21 00:23:38,2026-01-21 00:23:38
97,PO-000097,12,5,3,received,USD,62614.52,62614.52,2024-10-11 03:00:56,2024-11-21,2024-10-11 03:00:56,2024-10-11 03:00:56
98,PO-000098,3,13,3,received,BRL,117501.57,117501.57,2024-07-29 13:07:43,2024-08-14,2024-07-29 13:07:43,2024-07-29 13:07:43
99,PO-000099,14,13,2,partially_received,BRL,35870.08,35870.08,2020-09-23 11:38:24,,2020-09-23 11:38:24,2020-09-23 11:38:24
100,PO-000100,7,13,2,received,BRL,60345.56,60345.56,2021-10-11 12:16:46,2021-10-18,2021-10-11 12:16:46,2021-10-11 12:16:46
101,PO-000101,21,5,1,sent,BRL,58111.18,58111.18,2023-11-04 07:44:57,2023-11-22,2023-11-04 07:44:57,2023-11-04 07:44:57
102,PO-000102,7,5,6,cancelled,BRL,40810.60,40810.60,2022-11-19 06:14:32,2022-11-30,2022-11-19 06:14:32,2022-11-19 06:14:32
103,PO-000103,22,5,1,partially_received,BRL,107733.41,107733.41,2020-09-22 02:26:16,2020-10-07,2020-09-22 02:26:16,2020-09-22 02:26:16
104,PO-000104,19,5,3,partially_received,BRL,120851.94,120851.94,2025-09-11 09:03:56,,2025-09-11 09:03:56,2025-09-11 09:03:56
105,PO-000105,17,5,6,received,BRL,158031.23,158031.23,2021-06-18 19:04:56,2021-07-02,2021-06-18 19:04:56,2021-06-18 19:04:56
106,PO-000106,6,5,3,received,BRL,74654.44,74654.44,2024-03-14 14:29:38,2024-04-25,2024-03-14 14:29:38,2024-03-14 14:29:38
107,PO-000107,16,13,1,partially_received,BRL,30605.28,30605.28,2024-12-13 06:29:14,2025-01-17,2024-12-13 06:29:14,2024-12-13 06:29:14
108,PO-000108,9,13,4,received,BRL,111268.99,111268.99,2025-11-29 05:25:41,2026-01-04,2025-11-29 05:25:41,2025-11-29 05:25:41
109,PO-000109,2,5,2,received,BRL,54601.44,54601.44,2020-11-26 22:38:21,2021-01-21,2020-11-26 22:38:21,2020-11-26 22:38:21
110,PO-000110,14,13,6,received,BRL,45784.32,45784.32,2025-06-15 15:27:46,2025-08-14,2025-06-15 15:27:46,2025-06-15 15:27:46
111,PO-000111,9,13,3,received,BRL,222136.92,222136.92,2022-05-23 09:28:11,2022-05-30,2022-05-23 09:28:11,2022-05-23 09:28:11
112,PO-000112,14,13,5,partially_received,BRL,87267.02,87267.02,2023-08-08 23:29:48,2023-08-14,2023-08-08 23:29:48,2023-08-08 23:29:48
113,PO-000113,25,13,3,received,BRL,88453.20,88453.20,2021-08-23 04:21:26,2021-09-22,2021-08-23 04:21:26,2021-08-23 04:21:26
114,PO-000114,9,5,6,draft,BRL,90594.24,90594.24,2025-01-18 18:28:19,2025-02-28,2025-01-18 18:28:19,2025-01-18 18:28:19
115,PO-000115,9,5,4,received,BRL,98991.21,98991.21,2020-03-06 01:48:26,2020-04-02,2020-03-06 01:48:26,2020-03-06 01:48:26
116,PO-000116,7,5,4,received,BRL,115045.06,115045.06,2021-11-20 11:00:25,2021-12-06,2021-11-20 11:00:25,2021-11-20 11:00:25
117,PO-000117,13,13,4,sent,BRL,42573.93,42573.93,2024-10-11 06:13:59,2024-11-18,2024-10-11 06:13:59,2024-10-11 06:13:59
118,PO-000118,22,5,1,received,BRL,59827.20,59827.20,2022-06-06 22:00:49,2022-07-26,2022-06-06 22:00:49,2022-06-06 22:00:49
119,PO-000119,6,5,5,cancelled,BRL,85300.78,85300.78,2022-07-24 08:34:35,2022-08-06,2022-07-24 08:34:35,2022-07-24 08:34:35
120,PO-000120,2,5,6,received,BRL,28781.20,28781.20,2026-06-22 08:56:22,2026-07-05,2026-06-22 08:56:22,2026-06-22 08:56:22
121,PO-000121,23,5,4,draft,BRL,9071.37,9071.37,2026-01-03 06:28:58,2026-01-26,2026-01-03 06:28:58,2026-01-03 06:28:58
122,PO-000122,6,5,3,received,BRL,50926.94,50926.94,2025-11-26 22:30:50,2025-12-10,2025-11-26 22:30:50,2025-11-26 22:30:50
123,PO-000123,1,13,6,received,BRL,133287.38,133287.38,2026-11-01 16:38:28,2026-11-06,2026-11-01 16:38:28,2026-11-01 16:38:28
124,PO-000124,11,5,3,received,BRL,117043.71,117043.71,2022-11-02 06:17:41,2022-12-25,2022-11-02 06:17:41,2022-11-02 06:17:41
125,PO-000125,22,5,1,received,BRL,30737.65,30737.65,2024-10-24 05:57:53,2024-10-30,2024-10-24 05:57:53,2024-10-24 05:57:53
126,PO-000126,20,5,2,sent,BRL,85049.79,85049.79,2024-11-21 15:42:01,2024-12-28,2024-11-21 15:42:01,2024-11-21 15:42:01
127,PO-000127,25,5,4,sent,BRL,65762.50,65762.50,2026-12-07 03:40:05,,2026-12-07 03:40:05,2026-12-07 03:40:05
128,PO-000128,22,5,3,partially_received,BRL,33007.46,33007.46,2022-07-14 16:04:21,,2022-07-14 16:04:21,2022-07-14 16:04:21
129,PO-000129,17,5,5,received,BRL,174998.98,174998.98,2022-07-09 20:52:05,,2022-07-09 20:52:05,2022-07-09 20:52:05
130,PO-000130,13,5,1,sent,BRL,162215.24,162215.24,2024-06-29 14:49:33,2024-07-26,2024-06-29 14:49:33,2024-06-29 14:49:33
131,PO-000131,8,5,2,sent,BRL,77268.99,77268.99,2024-03-12 15:56:15,,2024-03-12 15:56:15,2024-03-12 15:56:15
132,PO-000132,25,5,2,sent,BRL,102981.50,102981.50,2025-05-05 17:15:10,2025-06-23,2025-05-05 17:15:10,2025-05-05 17:15:10
133,PO-000133,24,13,3,received,BRL,116566.59,116566.59,2021-08-18 11:56:46,2021-09-27,2021-08-18 11:56:46,2021-08-18 11:56:46
134,PO-000134,10,5,3,sent,BRL,3932.48,3932.48,2025-07-24 21:47:44,,2025-07-24 21:47:44,2025-07-24 21:47:44
135,PO-000135,14,13,3,received,BRL,68686.93,68686.93,2025-08-23 21:46:55,2025-10-09,2025-08-23 21:46:55,2025-08-23 21:46:55
136,PO-000136,5,13,2,draft,BRL,256491.03,256491.03,2025-07-25 00:52:41,,2025-07-25 00:52:41,2025-07-25 00:52:41
137,PO-000137,23,13,6,received,BRL,105304.17,105304.17,2022-11-29 09:44:56,2023-01-01,2022-11-29 09:44:56,2022-11-29 09:44:56
138,PO-000138,5,13,6,received,BRL,34680.22,34680.22,2020-10-05 16:25:14,2020-11-01,2020-10-05 16:25:14,2020-10-05 16:25:14
139,PO-000139,24,5,3,received,BRL,83717.40,83717.40,2023-08-29 16:41:19,2023-09-13,2023-08-29 16:41:19,2023-08-29 16:41:19
140,PO-000140,1,5,1,received,BRL,106296.26,106296.26,2021-10-20 01:31:06,2021-11-16,2021-10-20 01:31:06,2021-10-20 01:31:06
141,PO-000141,9,13,5,received,BRL,30783.58,30783.58,2025-12-11 09:02:30,2025-12-31,2025-12-11 09:02:30,2025-12-11 09:02:30
142,PO-000142,7,13,3,received,BRL,15052.41,15052.41,2026-08-28 05:45:38,2026-10-27,2026-08-28 05:45:38,2026-08-28 05:45:38
143,PO-000143,24,5,3,received,BRL,144501.88,144501.88,2025-10-23 11:41:26,2025-11-26,2025-10-23 11:41:26,2025-10-23 11:41:26
144,PO-000144,9,13,2,received,BRL,100964.83,100964.83,2023-11-02 22:11:35,2023-11-10,2023-11-02 22:11:35,2023-11-02 22:11:35
145,PO-000145,24,13,4,received,BRL,123421.79,123421.79,2026-12-10 05:29:27,2026-12-13,2026-12-10 05:29:27,2026-12-10 05:29:27
146,PO-000146,16,5,4,partially_received,BRL,28211.37,28211.37,2020-08-09 05:32:37,2020-08-28,2020-08-09 05:32:37,2020-08-09 05:32:37
147,PO-000147,15,5,5,received,BRL,121447.10,121447.10,2023-10-22 23:23:17,2023-11-12,2023-10-22 23:23:17,2023-10-22 23:23:17
148,PO-000148,24,13,3,received,BRL,43594.44,43594.44,2024-11-02 08:49:39,2024-12-29,2024-11-02 08:49:39,2024-11-02 08:49:39
149,PO-000149,4,13,1,received,BRL,150773.18,150773.18,2022-09-04 05:32:16,2022-10-17,2022-09-04 05:32:16,2022-09-04 05:32:16
150,PO-000150,10,5,1,received,BRL,48974.72,48974.72,2025-09-07 01:21:11,,2025-09-07 01:21:11,2025-09-07 01:21:11
151,PO-000151,25,5,2,received,BRL,58907.18,58907.18,2023-12-17 17:27:30,2024-01-02,2023-12-17 17:27:30,2023-12-17 17:27:30
152,PO-000152,13,13,2,received,BRL,100524.30,100524.30,2026-04-14 19:16:33,2026-06-01,2026-04-14 19:16:33,2026-04-14 19:16:33
153,PO-000153,4,5,5,received,BRL,51542.98,51542.98,2022-09-25 10:32:17,2022-10-16,2022-09-25 10:32:17,2022-09-25 10:32:17
154,PO-000154,24,5,1,received,BRL,42868.55,42868.55,2026-01-30 04:06:35,2026-02-19,2026-01-30 04:06:35,2026-01-30 04:06:35
155,PO-000155,12,5,2,sent,BRL,54003.93,54003.93,2026-10-24 07:51:52,2026-11-14,2026-10-24 07:51:52,2026-10-24 07:51:52
156,PO-000156,11,5,1,partially_received,BRL,16127.20,16127.20,2024-09-20 03:51:56,,2024-09-20 03:51:56,2024-09-20 03:51:56
157,PO-000157,9,13,6,cancelled,BRL,31588.37,31588.37,2020-04-13 00:30:42,2020-06-03,2020-04-13 00:30:42,2020-04-13 00:30:42
158,PO-000158,25,5,4,received,BRL,138740.34,138740.34,2026-11-13 03:29:24,2027-01-05,2026-11-13 03:29:24,2026-11-13 03:29:24
159,PO-000159,18,13,3,received,BRL,88432.22,88432.22,2026-01-07 08:08:50,2026-03-08,2026-01-07 08:08:50,2026-01-07 08:08:50
160,PO-000160,6,13,4,received,BRL,69680.25,69680.25,2026-12-24 00:30:32,2027-01-23,2026-12-24 00:30:32,2026-12-24 00:30:32
161,PO-000161,2,5,6,received,BRL,48861.99,48861.99,2026-12-08 08:30:31,2026-12-23,2026-12-08 08:30:31,2026-12-08 08:30:31
162,PO-000162,19,5,2,received,BRL,39262.02,39262.02,2025-08-24 14:22:25,,2025-08-24 14:22:25,2025-08-24 14:22:25
163,PO-000163,15,13,2,partially_received,BRL,139768.39,139768.39,2026-08-17 06:43:57,2026-09-19,2026-08-17 06:43:57,2026-08-17 06:43:57
164,PO-000164,22,13,2,received,BRL,73529.54,73529.54,2026-08-10 06:37:52,2026-08-17,2026-08-10 06:37:52,2026-08-10 06:37:52
165,PO-000165,15,13,5,sent,BRL,98358.78,98358.78,2021-03-08 15:16:59,2021-04-28,2021-03-08 15:16:59,2021-03-08 15:16:59
166,PO-000166,23,5,2,received,BRL,110072.78,110072.78,2023-08-30 20:01:12,2023-09-19,2023-08-30 20:01:12,2023-08-30 20:01:12
167,PO-000167,1,13,4,sent,BRL,39283.48,39283.48,2020-01-02 23:06:10,,2020-01-02 23:06:10,2020-01-02 23:06:10
168,PO-000168,22,13,6,received,BRL,88993.04,88993.04,2020-08-08 06:53:54,2020-10-03,2020-08-08 06:53:54,2020-08-08 06:53:54
169,PO-000169,21,5,1,received,BRL,156368.95,156368.95,2024-11-22 17:01:46,,2024-11-22 17:01:46,2024-11-22 17:01:46
170,PO-000170,1,13,5,received,BRL,162530.64,162530.64,2024-08-25 13:57:29,2024-10-15,2024-08-25 13:57:29,2024-08-25 13:57:29
171,PO-000171,17,13,1,received,BRL,13316.73,13316.73,2026-12-16 19:00:40,2027-01-01,2026-12-16 19:00:40,2026-12-16 19:00:40
172,PO-000172,16,13,5,draft,BRL,93315.50,93315.50,2020-07-02 03:12:39,2020-07-08,2020-07-02 03:12:39,2020-07-02 03:12:39
173,PO-000173,13,13,2,received,BRL,52110.43,52110.43,2024-12-12 00:10:08,2024-12-16,2024-12-12 00:10:08,2024-12-12 00:10:08
174,PO-000174,12,5,5,partially_received,USD,123209.34,123209.34,2022-03-16 06:18:47,2022-05-14,2022-03-16 06:18:47,2022-03-16 06:18:47
175,PO-000175,11,13,2,sent,BRL,72945.42,72945.42,2026-09-12 19:36:58,2026-10-22,2026-09-12 19:36:58,2026-09-12 19:36:58
176,PO-000176,21,5,3,received,BRL,13933.90,13933.90,2023-07-25 11:10:52,2023-08-11,2023-07-25 11:10:52,2023-07-25 11:10:52
177,PO-000177,23,13,4,received,BRL,59044.97,59044.97,2025-06-06 15:44:55,2025-07-05,2025-06-06 15:44:55,2025-06-06 15:44:55
178,PO-000178,18,5,6,received,BRL,33588.00,33588.00,2024-07-26 13:05:30,2024-09-18,2024-07-26 13:05:30,2024-07-26 13:05:30
179,PO-000179,11,5,6,received,BRL,5737.79,5737.79,2026-12-12 03:40:51,2027-01-22,2026-12-12 03:40:51,2026-12-12 03:40:51
180,PO-000180,3,5,4,partially_received,BRL,62242.12,62242.12,2025-05-31 04:31:02,2025-06-18,2025-05-31 04:31:02,2025-05-31 04:31:02
181,PO-000181,7,13,4,received,BRL,86181.07,86181.07,2026-11-18 13:06:47,2027-01-02,2026-11-18 13:06:47,2026-11-18 13:06:47
182,PO-000182,22,5,2,sent,BRL,4056.39,4056.39,2020-12-31 16:28:01,2021-01-06,2020-12-31 16:28:01,2020-12-31 16:28:01
